Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) 
1174,10/1/16,,0,0
1174,10/2/16,,0,0.1
1174,10/3/16,,0,0.1
1174,10/4/16,,0,0.1
1174,10/5/16,,0,0.1
1174,10/6/16,,0,0.1
1174,10/7/16,,0,0.1
1174,10/8/16,,0,0.1
1174,10/9/16,,0,0.1
1174,10/10/16,,0,0.1
1174,10/11/16,,0,0.1
1174,10/12/16,,0,0.1
1174,10/13/16,,0,0.1
1174,10/14/16,,0,0.1
1174,10/15/16,,0,0.1
1174,10/16/16,,0,0.1
1174,10/17/16,,0,0.1
1174,10/18/16,,0,0.1
1174,10/19/16,,0,0.1
1174,10/20/16,,0,0.1
1174,10/21/16,,0,0.1
1174,10/22/16,,0,0.1
1174,10/23/16,,0,0.1
1174,10/24/16,,0,0.1
1174,10/25/16,,0,0.1
1174,10/26/16,,0,0.1
1174,10/27/16,,0,0.1
1174,10/28/16,,0,0.1
1174,10/29/16,,0,0.1
1174,10/30/16,,0,0.1
1174,10/31/16,,0,0.1
1174,11/1/16,,0,0.1
1174,11/2/16,,0,0.1
1174,11/3/16,,0,0.1
1174,11/4/16,,0,0.1
1174,11/5/16,,0,0.1
1174,11/6/16,,0.2,0.3
1174,11/7/16,,0.2,0.3
1174,11/8/16,,0.2,0.3
1174,11/9/16,,0.2,0.3
1174,11/10/16,,0.2,0.3
1174,11/11/16,,0.3,0.4
1174,11/12/16,,0.3,0.4
1174,11/13/16,,0.3,0.4
1174,11/14/16,,0.3,0.4
1174,11/15/16,,0.3,0.4
1174,11/16/16,,0.3,0.4
1174,11/17/16,,0.3,0.4
1174,11/18/16,,0.3,0.4
1174,11/19/16,,0.3,0.4
1174,11/20/16,,0.3,0.4
1174,11/21/16,,0.3,0.4
1174,11/22/16,,0.3,0.4
1174,11/23/16,,0.3,0.4
1174,11/24/16,,0.3,0.4
1174,11/25/16,,0.3,0.4
1174,11/26/16,,0.3,0.4
1174,11/27/16,,0.3,0.4
1174,11/28/16,,0.4,0.5
1174,11/29/16,,0.4,0.5
1174,11/30/16,,0.4,0.5
1174,12/1/16,,0.4,0.5
1174,12/2/16,,0.6,0.8
1174,12/3/16,,0.8,1
1174,12/4/16,,0.8,1
1174,12/5/16,,0.8,1
1174,12/6/16,,0.8,1
1174,12/7/16,,0.8,1
1174,12/8/16,,0.8,1
1174,12/9/16,,0.8,1
1174,12/10/16,,0.8,1
1174,12/11/16,,0.8,1
1174,12/12/16,,0.8,1
1174,12/13/16,,0.8,1
1174,12/14/16,,0.8,1
1174,12/15/16,,0.8,1
1174,12/16/16,,0.8,1
1174,12/17/16,,0.9,1
1174,12/18/16,,1.1,1.2
1174,12/19/16,,1.1,1.2
1174,12/20/16,,1.1,1.2
1174,12/21/16,,1.1,1.2
1174,12/22/16,,1.2,1.3
1174,12/23/16,,1.2,1.3
1174,12/24/16,,1.3,1.4
1174,12/25/16,,1.3,1.4
1174,12/26/16,,1.3,1.4
1174,12/27/16,,1.3,1.4
1174,12/28/16,,1.4,1.5
1174,12/29/16,,1.6,1.7
1174,12/30/16,,2.6,2.7
1174,12/31/16,,2.8,3.4
1174,1/1/17,,2.8,3.4
1174,1/2/17,,2.8,3.4
1174,1/3/17,,2.8,3.4
1174,1/4/17,,2.8,3.5
1174,1/5/17,,2.9,3.6
1174,1/6/17,,3,3.7
1174,1/7/17,,3,3.7
1174,1/8/17,,3,3.7
1174,1/9/17,,3,3.7
1174,1/10/17,,3,3.7
1174,1/11/17,,3,3.7
1174,1/12/17,,3,3.7
1174,1/13/17,,3.1,3.8
1174,1/14/17,,3.1,3.8
1174,1/15/17,,3.3,4
1174,1/16/17,,3.3,4
1174,1/17/17,,3.5,4.2
1174,1/18/17,,3.5,4.2
1174,1/19/17,,3.5,4.2
1174,1/20/17,,3.5,4.2
1174,1/21/17,,3.5,4.4
1174,1/22/17,,3.5,4.4
1174,1/23/17,,3.5,4.4
1174,1/24/17,,3.5,4.4
1174,1/25/17,,3.5,4.4
1174,1/26/17,,3.5,4.4
1174,1/27/17,,3.5,4.4
1174,1/28/17,,3.5,4.4
1174,1/29/17,,3.7,4.6
1174,1/30/17,,3.7,4.6
1174,1/31/17,,3.7,4.6
1174,2/1/17,,3.7,4.6
1174,2/2/17,,3.7,4.6
1174,2/3/17,,3.7,4.6
1174,2/4/17,,3.7,4.6
1174,2/5/17,,3.7,4.6
1174,2/6/17,,3.7,4.6
1174,2/7/17,,3.7,4.6
1174,2/8/17,,3.7,4.6
1174,2/9/17,,3.8,4.8
1174,2/10/17,,3.8,4.8
1174,2/11/17,,3.8,4.8
1174,2/12/17,,3.8,4.8
1174,2/13/17,,3.8,4.8
1174,2/14/17,,3.8,4.8
1174,2/15/17,,3.9,4.8
1174,2/16/17,,3.9,4.8
1174,2/17/17,,3.9,4.8
1174,2/18/17,,3.9,4.8
1174,2/19/17,,3.9,4.8
1174,2/20/17,,3.9,4.8
1174,2/21/17,,3.9,4.8
1174,2/22/17,,3.9,4.8
1174,2/23/17,,4,4.9
1174,2/24/17,,4.3,5.1
1174,2/25/17,,4.7,5.7
1174,2/26/17,,5.1,6.3
1174,2/27/17,,5.2,6.4
1174,2/28/17,,5.2,6.4
1174,3/1/17,,5.2,6.4
1174,3/2/17,,5.2,6.4
1174,3/3/17,,5.2,6.4
1174,3/4/17,,5.2,6.4
1174,3/5/17,,5.2,6.4
1174,3/6/17,,5.2,6.4
1174,3/7/17,,5.2,6.4
1174,3/8/17,,5.2,6.4
1174,3/9/17,,5.2,6.4
1174,3/10/17,,5.2,6.4
1174,3/11/17,,5.2,6.4
1174,3/12/17,,5.2,6.4
1174,3/13/17,,5.2,6.4
1174,3/14/17,,5.2,6.4
1174,3/15/17,,5.2,6.4
1174,3/16/17,,5.2,6.4
1174,3/17/17,,5.2,6.4
1174,3/18/17,,5.2,6.4
1174,3/19/17,,5.2,6.4
1174,3/20/17,,5.2,6.4
1174,3/21/17,,5.2,6.4
1174,3/22/17,,5.2,6.4
1174,3/23/17,,5.2,6.4
1174,3/24/17,,5.2,6.4
1174,3/25/17,,5.2,6.4
1174,3/26/17,,5.2,6.4
1174,3/27/17,,5.2,6.4
1174,3/28/17,,5.3,6.4
1174,3/29/17,,5.3,6.4
1174,3/30/17,,5.3,6.4
1174,3/31/17,,5.5,6.5
1174,4/1/17,,5.5,6.5
1174,4/2/17,,5.5,6.5
1174,4/3/17,,5.5,6.5
1174,4/4/17,,5.5,6.5
1174,4/5/17,,5.5,6.5
1174,4/6/17,,5.5,6.5
1174,4/7/17,,5.5,6.5
1174,4/8/17,,5.5,6.5
1174,4/9/17,,5.5,6.5
1174,4/10/17,,5.5,6.5
1174,4/11/17,,5.5,6.5
1174,4/12/17,,5.5,6.5
1174,4/13/17,,5.6,6.5
1174,4/14/17,,5.6,6.5
1174,4/15/17,,5.6,6.5
1174,4/16/17,,5.6,6.5
1174,4/17/17,,5.6,6.5
1174,4/18/17,,5.6,6.5
1174,4/19/17,,5.6,6.5
1174,4/20/17,,5.5,6.5
1174,4/21/17,,5.5,6.5
1174,4/22/17,,5.5,6.5
1174,4/23/17,,5.5,6.5
1174,4/24/17,,5.5,6.5
1174,4/25/17,,5.3,6.5
1174,4/26/17,,5,6.5
1174,4/27/17,,4.7,6.5
1174,4/28/17,,4.4,6.5
1174,4/29/17,,4.1,6.5
1174,4/30/17,,3.7,6.5
1174,5/1/17,,3.1,6.5
1174,5/2/17,,2.7,6.5
1174,5/3/17,,2.2,6.5
1174,5/4/17,,1.3,6.5
1174,5/5/17,,0,6.5
1174,5/6/17,,0,6.5
1174,5/7/17,,0,6.5
1174,5/8/17,,0,6.5
1174,5/9/17,,0,6.5
1174,5/10/17,,0,6.5
1174,5/11/17,,0,6.6
1174,5/12/17,,0,6.6
1174,5/13/17,,0,6.6
1174,5/14/17,,0,6.6
1174,5/15/17,,0,6.6
1174,5/16/17,,0,6.6
1174,5/17/17,,0,6.6
1174,5/18/17,,0,6.6
1174,5/19/17,,0,6.6
1174,5/20/17,,0,6.6
1174,5/21/17,,0,6.6
1174,5/22/17,,0,6.6
1174,5/23/17,,0,7
1174,5/24/17,,0,7.2
1174,5/25/17,,0,7.2
1174,5/26/17,,0,7.3
1174,5/27/17,,0,7.3
1174,5/28/17,,0,7.3
1174,5/29/17,,0,7.3
1174,5/30/17,,0,7.3
1174,5/31/17,,0,7.3
1174,6/1/17,,0,7.3
1174,6/2/17,,0,7.3
1174,6/3/17,,0,7.3
1174,6/4/17,,0,7.3
1174,6/5/17,,0,7.3
1174,6/6/17,,0,7.3
1174,6/7/17,,0,7.3
1174,6/8/17,,0,7.3
1174,6/9/17,,0,7.3
1174,6/10/17,,0,7.3
1174,6/11/17,,0,7.3
1174,6/12/17,,0,8.4
1174,6/13/17,,0,8.9
1174,6/14/17,,0,8.9
1174,6/15/17,,0,8.9
1174,6/16/17,,0,8.9
1174,6/17/17,,0,9
1174,6/18/17,,0,9
1174,6/19/17,,0,9
1174,6/20/17,,0,9.1
1174,6/21/17,,0,9.1
1174,6/22/17,,0,9.1
1174,6/23/17,,0,9.1
1174,6/24/17,,0,9.1
1174,6/25/17,,0,9.1
1174,6/26/17,,0,9.2
1174,6/27/17,,0,9.2
1174,6/28/17,,0,9.2
1174,6/29/17,,0,9.2
1174,6/30/17,,0,9.2
1174,7/1/17,,0,9.2
1174,7/2/17,,0,9.2
1174,7/3/17,,0,10.7
1174,7/4/17,,0,10.8
1174,7/5/17,,0,10.8
1174,7/6/17,,0,10.8
1174,7/7/17,,0,10.8
1174,7/8/17,,0,10.8
1174,7/9/17,,0,10.8
1174,7/10/17,,0,10.9
1174,7/11/17,,0,11.2
1174,7/12/17,,0,11.2
1174,7/13/17,,0,11.2
1174,7/14/17,,0,11.2
1174,7/15/17,,0,11.2
1174,7/16/17,,0,11.2
1174,7/17/17,,0,11.2
1174,7/18/17,,0,11.2
1174,7/19/17,,0,11.2
1174,7/20/17,,0,11.2
1174,7/21/17,,0,11.2
1174,7/22/17,,0,11.2
1174,7/23/17,,0,11.2
1174,7/24/17,,0,11.2
1174,7/25/17,,0,11.3
1174,7/26/17,,0,11.3
1174,7/27/17,,0,11.3
1174,7/28/17,,0,11.3
1174,7/29/17,,0,11.5
1174,7/30/17,,0,11.5
1174,7/31/17,,0,11.5
1174,8/1/17,,0,11.5
1174,8/2/17,,0,11.5
1174,8/3/17,,0,11.7
1174,8/4/17,,0,11.7
1174,8/5/17,,0,11.7
1174,8/6/17,,0,11.7
1174,8/7/17,,0,11.7
1174,8/8/17,,0,11.9
1174,8/9/17,,0,11.9
1174,8/10/17,,0,11.9
1174,8/11/17,,0,11.9
1174,8/12/17,,0,11.9
1174,8/13/17,,0,12.1
1174,8/14/17,,0,12.5
1174,8/15/17,,0,12.7
1174,8/16/17,,0,12.9
1174,8/17/17,,0,13.1
1174,8/18/17,,0,13.2
1174,8/19/17,,0,13.4
1174,8/20/17,,0,13.6
1174,8/21/17,,0,13.7
1174,8/22/17,,0,13.7
1174,8/23/17,,0,13.7
1174,8/24/17,,0,13.7
1174,8/25/17,,0,13.8
1174,8/26/17,,0,13.8
1174,8/27/17,,0,13.8
1174,8/28/17,,0,14
1174,8/29/17,,0,14.1
1174,8/30/17,,0,14.1
1174,8/31/17,,0,14.1
1174,9/1/17,,0,14.1
1174,9/2/17,,0,14.3
1174,9/3/17,,0,14.3
1174,9/4/17,,0,14.3
1174,9/5/17,,0,14.3
1174,9/6/17,,0,14.4
1174,9/7/17,,0,14.4
1174,9/8/17,,0,14.4
1174,9/9/17,,0,14.4
1174,9/10/17,,0,14.5
1174,9/11/17,,0,14.6
1174,9/12/17,,0,14.6
1174,9/13/17,,0,14.6
1174,9/14/17,,0,14.6
1174,9/15/17,,0,14.6
1174,9/16/17,,0,14.6
1174,9/17/17,,0,14.6
1174,9/18/17,,0,14.6
1174,9/19/17,,0,14.6
1174,9/20/17,,0,14.6
1174,9/21/17,,0,14.7
1174,9/22/17,,0,14.7
1174,9/23/17,,0,14.9
1174,9/24/17,,0,14.9
1174,9/25/17,,0,14.9
1174,9/26/17,,0,15.5
1174,9/27/17,,0,15.6
1174,9/28/17,,0,15.6
1174,9/29/17,,0,16.2
1174,9/30/17,,0,16.2
1174,9/30/17,23:59,-99.9,16.2
