"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response"
"Interpolated HI for 2% discharge...1","1",0.271630991860115,2,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 4% discharge...2","1",0.271630991860115,4,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 6% discharge...3","1",0.271630991860115,6,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 8% discharge...4","1",0.271630991860115,8,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 10% discharge...5","1",0.271630991860115,10,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 12% discharge...6","1",0.286252637925831,12,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 14% discharge...7","1",-0.0165812481157525,14,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 16% discharge...8","1",-0.0165812481157525,16,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 18% discharge...9","1",-0.0422068133855842,18,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 20% discharge...10","1",-0.127223394633692,20,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 22% discharge...11","1",-0.152848959903524,22,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 24% discharge...12","1",-0.0942116370214034,24,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 26% discharge...13","1",0.061049140789861,26,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 28% discharge...14","1",-0.16445583358456,28,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 30% discharge...15","1",-0.16445583358456,30,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 32% discharge...16","1",0.073861923424777,32,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 34% discharge...17","1",0.113355441664168,34,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 36% discharge...18","1",0.113355441664168,36,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 38% discharge...19","1",-0.170334639734687,38,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 40% discharge...20","1",-0.241332529394018,40,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 42% discharge...21","1",-0.177419354838692,42,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 44% discharge...22","1",-0.248417244498024,44,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 46% discharge...23","1",-0.309315646668669,46,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 48% discharge...24","1",-0.309315646668669,48,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 50% discharge...25","1",-0.309315646668669,50,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 52% discharge...26","1",-0.309315646668669,52,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 54% discharge...27","1",-0.332830871269211,54,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 56% discharge...28","1",-0.339614109134765,56,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 58% discharge...29","1",-0.363129333735307,58,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 60% discharge...30","1",-0.298462466083807,60,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 62% discharge...31","1",-0.384082001808855,62,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 64% discharge...32","1",-0.320771781730469,64,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 66% discharge...33","1",-0.320771781730469,66,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 68% discharge...34","1",-0.331172746457626,68,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 70% discharge...35","1",-0.284142297256542,70,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 72% discharge...36","1",-0.37398251432015,72,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 74% discharge...37","1",-0.410461260174843,74,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 76% discharge...38","1",-0.436388302683126,76,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 78% discharge...39","1",-0.440156768163981,78,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 80% discharge...40","1",-0.455532107325873,80,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 82% discharge...41","1",-0.462918299668367,82,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 84% discharge...42","1",0.0134157371118375,84,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 86% discharge...43","1",0.00482363581548184,86,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 88% discharge...44","1",0.0158275550195965,88,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 90% discharge...45","1",-0.00406994271932504,90,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 92% discharge...46","1",0.120892372625861,92,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
"Interpolated HI for 94% discharge...47","1",0.120892372625861,94,"FRCH_storm1_06_21_NO3","FRCH","storm1","06","21","NO3"
