"","column_label","HI_mean_Interp","HI_sd_with_Interp","N.S.","Max_width_Interp","Min_response","Max_response","Peak_Q","ShapiroTest.W","ShapiroTest.p","t.test.stat","t.test.p","t.test.CIlow","t.test.CIhigh","wilcox.test.stat","wilcox.test.p","storm.ID","site.ID"
"1","1",0.513699157641402,0.213235082637555,-0.616125150421196,0.837063778580025,12.688906444806,17.604365514652,1432.57463895355,0.9349,0.0085,16.8635,0,0.4525,0.5749,1275,0,"MOOS_storm3_07_09_NO3","MOOS"
"2","2",-0.53609962782708,0.209523635883029,0.697280274835383,-0.783796163756079,0.244333333333333,0.438388888888889,1432.57463895355,0.8698,1e-04,-17.9106,0,-0.5963,-0.4759,0,0,"MOOS_storm3_07_09_abs","MOOS"
"3","3",0.321324851569128,0.142854481809306,-0.83002544529263,0.469465648854955,9.52550390503025,16.4994223687468,2011.75108175643,0.7818,0,15.7452,0,0.2803,0.3623,1263,0,"MOOS_storm5_08_05_NO3","MOOS"
"4","4",-0.62066357516585,0.23471046032655,0.783861341326434,-0.889465022728539,87.6059403038646,217.080585672639,2011.75108175643,0.8614,0,-18.5107,0,-0.688,-0.5533,0,0,"MOOS_storm5_08_05_fDOM","MOOS"
"5","5",0.614741379310345,0.09785316520589,-0.876436781609195,0.722701149425287,98.2,133,2011.75108175643,0.797,0,43.976,0,0.5866,0.6428,1275,0,"MOOS_storm5_08_05_SPC","MOOS"
"6","6",-0.049581881533101,0.0532786604993314,0.282625910674691,-0.220106113398796,2.54,128.82,2011.75108175643,0.8132,0,-6.5143,0,-0.0649,-0.0343,2,0,"MOOS_storm5_08_05_turb","MOOS"
"7","7",-0.5020960227929,0.200637193460464,NA,-0.920475108766796,0.215744444444444,0.792922222222222,2011.75108175643,0.8743,1e-04,-17.5176,0,-0.5597,-0.4445,0,0,"MOOS_storm5_08_05_abs","MOOS"
"8","8",0.369533994087982,0.197450841150744,NA,0.601025908537649,10.7073435225456,17.5109067260797,2408.90064253565,0.8065,0,13.1007,0,0.3128,0.4262,1256,0,"MOOS_storm6_08_13_NO3","MOOS"
"9","9",-0.585192580746799,0.20585886006829,0.696252273548665,-0.773014454684766,122.70687564345,247.56553777376,2408.90064253565,0.7964,0,-19.8988,0,-0.6443,-0.5261,1,0,"MOOS_storm6_08_13_fDOM","MOOS"
"10","10",0.571007751937985,0.122898566232522,-0.930232558139535,0.70671834625323,87.7,126.4,2408.90064253565,0.8726,1e-04,32.5232,0,0.5357,0.6063,1275,0,"MOOS_storm6_08_13_SPC","MOOS"
"11","11",-0.0911744869447924,0.115878829269314,0.859427690528953,-0.45235571827729,3.71,107.5,2408.90064253565,0.7649,0,-5.5077,0,-0.1244,-0.0579,26,0,"MOOS_storm6_08_13_turb","MOOS"
"12","12",-0.41147441318674,0.184512918515195,NA,-0.618838660262646,0.307544444444444,1.00386666666667,2408.90064253565,0.8342,0,-15.6104,0,-0.4644,-0.3585,0,0,"MOOS_storm6_08_13_abs","MOOS"
"13","13",0.606040468161086,0.0775004020222927,-0.822455861932146,0.747173179924633,11.6064407290637,17.5700578580874,1790.00924365479,0.8153,0,54.7389,0,0.5838,0.6283,1275,0,"MOOS_storm7_08_23_NO3","MOOS"
"14","14",-0.530282428121549,0.220014320538855,0.481131390530698,-0.831605231448545,139.430284039212,235.315560468644,1790.00924365479,0.7593,0,-16.8715,0,-0.5934,-0.4671,0,0,"MOOS_storm7_08_23_fDOM","MOOS"
"15","15",0.727837837837838,0.095993897419864,-0.621621621621621,0.858108108108108,99.5,121.7,1790.00924365479,0.7218,0,53.0749,0,0.7003,0.7554,1275,0,"MOOS_storm7_08_23_SPC","MOOS"
"16","16",-0.0405934065934066,0.0970609578707274,0.673541842772612,-0.388503803888419,4.55,63.7,1790.00924365479,0.8823,1e-04,-2.9276,0.0052,-0.0685,-0.0127,316,0.0019,"MOOS_storm7_08_23_turb","MOOS"
"17","17",-0.434020913059883,0.1856353185915,0.734571228372769,-0.710087317414974,0.378311111111111,0.7906,1790.00924365479,0.8187,0,-16.3662,0,-0.4873,-0.3807,0,0,"MOOS_storm7_08_23_abs","MOOS"
"18","18",-0.0218088451058484,0.226546133979651,NA,-0.295849926640115,12.3481959244412,17.992396940623,2478.40181567194,0.7645,0,-0.6739,0.5036,-0.0868,0.0432,670,0.756,"MOOS_storm8a_08_26_NO3","MOOS"
