"","column_label","HI_mean_Interp","HI_sd_with_Interp","N.S.","Max_width_Interp","Min_response","Max_response","Peak_Q","ShapiroTest.W","ShapiroTest.p","t.test.stat","t.test.p","t.test.CIlow","t.test.CIhigh","wilcox.test.stat","wilcox.test.p","storm.ID","site.ID"
"1","1",-0.227986080904714,0.283638893088926,0.157024793388392,-0.690082644628064,16.303340188228,17.6354156418771,2203.36338650525,0.92,0.0024,-5.6265,0,-0.3094,-0.1466,190,0,"STRT_storm1_05_31_NO3","STRT"
"2","2",-0.0977998718770015,0.176952084387265,0.975067264573991,-0.469167200512491,0.279071428571429,0.836571428571429,2203.36338650525,0.8359,0,-3.8688,3e-04,-0.1486,-0.047,386,0.0154,"STRT_storm1_05_31_abs","STRT"
"3","3",-0.253083233419586,0.197817571760548,0.634126333059906,-0.568740665951481,10.2015191345621,12.320440375969,1186.24335937469,0.916,0.0017,-8.9556,0,-0.3099,-0.1963,48,0,"STRT_storm2_07_12_NO3","STRT"
"4","4",-0.302620334629751,0.205655300127308,0.842743955522161,-0.566870037477551,44.2027034520888,59.7626105588749,1186.24335937469,0.8819,1e-04,-10.3005,0,-0.3617,-0.2436,10,0,"STRT_storm2_07_12_fDOM","STRT"
"5","5",0.373293115684916,0.143675841215975,-0.731724627395345,0.603264726756629,131.445454545455,144.254545454545,1186.24335937469,0.9476,0.0273,18.1871,0,0.332,0.4145,1275,0,"STRT_storm2_07_12_SPC","STRT"
"6","6",0.0075708535971826,0.142259811825317,0.254360221365083,0.442772094583263,4.78545454545455,26.4690909090909,1186.24335937469,0.9255,0.0037,0.3725,0.7111,-0.0333,0.0484,691,0.6089,"STRT_storm2_07_12_turb","STRT"
"7","7",-0.241033255082261,0.11969605423676,0.684183867291373,-0.357540838293019,0.2212,0.334014285714286,1186.24335937469,0.8257,0,-14.096,0,-0.2754,-0.2067,16,0,"STRT_storm2_07_12_abs","STRT"
"8","8",-0.344937006610084,0.137424090601395,0.749098723553216,-0.642692024868226,43.5811348002354,109.534398344403,4076.21539218109,0.8212,0,-17.5701,0,-0.3844,-0.3055,1,0,"STRT_storm3a_07_25_fDOM","STRT"
"9","9",0.69867051122195,0.124359276640537,-0.96508728179552,0.826995012468832,90.9636363636364,149.290909090909,4076.21539218109,0.838,0,39.3271,0,0.663,0.7344,1275,0,"STRT_storm3a_07_25_SPC","STRT"
"10","10",-0.0167658759257898,0.076924743554282,0.820451712253427,-0.347345457211997,5.33090909090909,104.509090909091,4076.21539218109,0.7185,0,-1.5257,0.1335,-0.0388,0.0053,408,0.0271,"STRT_storm3a_07_25_turb","STRT"
"11","11",-0.368146991121332,0.242984553451395,NA,-0.863531732982556,20.0834446943639,23.6074476996243,4451.5364354027,0.9306,0.0058,-10.6057,0,-0.4379,-0.2984,31,0,"STRT_storm3b_08_05_NO3","STRT"
"12","12",-0.308954442179864,0.283903174315882,0.497865966099935,-0.851026022350451,82.1405503718469,117.299685036847,4451.5364354027,0.9086,9e-04,-7.6177,0,-0.3905,-0.2275,153,0,"STRT_storm3b_08_05_fDOM","STRT"
"13","13",0.659605633802817,0.108249125942464,-0.988476312419974,0.819718309859155,75.1727272727273,110.672727272727,4451.5364354027,0.9341,0.0079,42.6538,0,0.6285,0.6907,1275,0,"STRT_storm3b_08_05_SPC","STRT"
"14","14",-0.00333746288897833,0.0515054114507651,0.609954916981269,-0.217637356595682,13.4827272727273,137.496363636364,4451.5364354027,0.8889,2e-04,-0.4536,0.6521,-0.0181,0.0114,636,0.9923,"STRT_storm3b_08_05_turb","STRT"
"15","15",0.0136070486693843,0.232285557035791,NA,-0.39750659314313,0.521428571428571,0.819357142857143,4451.5364354027,0.8405,0,0.4101,0.6836,-0.0531,0.0803,701,0.5415,"STRT_storm3b_08_05_abs","STRT"
"16","16",0.145226897941734,0.169954189634481,NA,0.344103096561408,14.4805000937609,23.9672645142028,4988.24552720961,0.8772,1e-04,5.9815,0,0.0964,0.194,1110,0,"STRT_storm3c_08_12_NO3","STRT"
"17","17",-0.423830113680503,0.220804718017829,0.851354075214173,-0.735839280977757,62.109154888181,115.938007738715,4988.24552720961,0.9196,0.0023,-13.4364,0,-0.4872,-0.3604,3,0,"STRT_storm3c_08_12_fDOM","STRT"
"18","18",0.649403573915064,0.119892671070083,-0.951961011835692,0.842074727314933,65.4818181818182,104.654545454545,4988.24552720961,0.9219,0.0028,37.9158,0,0.615,0.6838,1275,0,"STRT_storm3c_08_12_SPC","STRT"
"19","19",-0.115831023537564,0.09479753526748,0.541442206674566,-0.501651317701232,11.5227272727273,174.202727272727,4988.24552720961,0.8183,0,-8.5531,0,-0.143,-0.0886,9,0,"STRT_storm3c_08_12_turb","STRT"
"20","20",-0.211400839049958,0.123694195947553,0.991213098869156,-0.484876179569905,0.289292857142857,0.937985714285714,4988.24552720961,0.9764,0.4113,-11.9634,0,-0.2469,-0.1759,3,0,"STRT_storm3c_08_12_abs","STRT"
"21","21",0.625231484700974,0.154010484764354,NA,0.921027468706539,17.0594769724873,23.7250689771757,6876.11037461431,0.8107,0,28.4177,0,0.581,0.6694,1275,0,"STRT_storm4_08_15_NO3","STRT"
"22","22",0.334418269177642,0.207691640464921,0.175865699420489,0.66463395860922,66.0172052594077,110.353481837324,6876.11037461431,0.9303,0.0057,11.2712,0,0.2748,0.394,1239,0,"STRT_storm4_08_15_fDOM","STRT"
"23","23",0.448717948717948,0.1464205163732,-0.989693313222724,0.961789844142785,40.6909090909091,76.8545454545455,6876.11037461431,0.6921,0,21.4521,0,0.4067,0.4908,1275,0,"STRT_storm4_08_15_SPC","STRT"
"24","24",0.194083971083928,0.111197554437754,0.264950923236734,0.365261495410316,18.8527272727273,104.618181818182,6876.11037461431,0.9317,0.0064,12.2178,0,0.1622,0.226,1268,0,"STRT_storm4_08_15_turb","STRT"
"25","25",-0.438871571127784,0.218614598788877,NA,-0.771856558227814,0.488528571428571,1.13083333333333,6876.11037461431,0.869,1e-04,-14.0526,0,-0.5016,-0.3761,0,0,"STRT_storm4_08_15_abs","STRT"
"26","26",-0.118884758364324,0.182538885907223,0.307311028500615,-0.447955390334648,17.5921526432375,18.3195118078659,3993.64476267234,0.9476,0.0273,-4.559,0,-0.1713,-0.0665,241,1e-04,"STRT_storm5_08_20_NO3","STRT"
"27","27",-0.197210176461092,0.277328520271317,0.083020955282481,-0.650361197283322,64.0359473926906,65.252047860689,3993.64476267234,0.9546,0.0526,-4.9777,0,-0.2768,-0.1176,218,1e-04,"STRT_storm5_08_20_fDOM","STRT"
"28","28",0.0083453237410109,0.270021420861808,-0.136690647482032,-0.492805755395651,43,44.2636363636364,3993.64476267234,0.8649,0,0.2163,0.8296,-0.0692,0.0859,696,0.5755,"STRT_storm5_08_20_SPC","STRT"
"29","29",0.286157948717953,0.176133221900175,0.111589743589731,0.733128205128211,16.1272727272727,20.5590909090909,3993.64476267234,0.9336,0.0076,11.3727,0,0.2356,0.3367,1272,0,"STRT_storm5_08_20_turb","STRT"
"30","30",0.216212694755324,0.104851511661791,-0.173140223831474,0.399166118060137,0.8079,0.858533333333333,3993.64476267234,0.9647,0.1395,14.4346,0,0.1861,0.2463,1273,0,"STRT_storm5_08_20_abs","STRT"
"31","31",0.61935064935065,0.121802494501458,-0.75658627087198,0.780148423005555,22.0302152536841,24.4592523648038,2604.95690275238,0.9255,0.0037,35.5941,0,0.5844,0.6543,1275,0,"STRT_storm6_09_20_NO3","STRT"
"32","32",-0.501508163807006,0.239609702481291,0.52075938267972,-0.757422527914038,50.5768315847823,59.3228595743123,2604.95690275238,0.8319,0,-14.6511,0,-0.5703,-0.4327,9,0,"STRT_storm6_09_20_fDOM","STRT"
"33","33",0.608369565217391,0.0905272964296724,-0.923913043478261,0.744565217391304,109.1,118.3,2604.95690275238,0.9008,5e-04,47.042,0,0.5824,0.6344,1275,0,"STRT_storm6_09_20_SPC","STRT"
"34","34",-0.111715833835039,0.114696560872751,0.570138470800722,-0.463877182420229,7.24,23.85,2604.95690275238,0.9121,0.0012,-6.8181,0,-0.1446,-0.0788,68,0,"STRT_storm6_09_20_turb","STRT"
"35","35",-0.482788929061217,0.157586833103654,NA,-0.730893903503301,0.4082,0.497322222222222,2604.95690275238,0.9516,0.0398,-21.4455,0,-0.528,-0.4375,0,0,"STRT_storm6_09_20_abs","STRT"
"36","36",0.679364364364361,0.125611991331879,-0.926926926926924,0.810560560560563,21.2983495266974,24.8999941634449,2627.47616534567,0.8668,0,37.859,0,0.6433,0.7154,1275,0,"STRT_storm7_10_01_NO3","STRT"
"37","37",-0.430128176965245,0.168740340712374,0.811546873491663,-0.74416322921944,49.22323008227,79.0348946823516,2627.47616534567,0.8902,2e-04,-17.8434,0,-0.4786,-0.3817,0,0,"STRT_storm7_10_01_fDOM","STRT"
"38","38",0.688995044171517,0.140799108225911,-0.877828054298643,0.846719457013575,107.15,118.2,2627.47616534567,0.8808,1e-04,34.2542,0,0.6486,0.7294,1275,0,"STRT_storm7_10_01_SPC","STRT"
"39","39",0.0379140255610844,0.163901803769402,0.96271137447608,-0.354516548634193,9.945,21.4766666666667,2627.47616534567,0.7814,0,1.6193,0.1118,-0.0091,0.085,867,0.0271,"STRT_storm7_10_01_turb","STRT"
"40","40",-0.352756794691846,0.157049323970932,0.821615414061507,-0.649291820849816,0.431366666666667,0.605522222222222,2627.47616534567,0.9208,0.0025,-15.7231,0,-0.3978,-0.3077,3,0,"STRT_storm7_10_01_abs","STRT"
"41","41",-0.174246275197208,0.343924558062268,-0.0100788781770164,-0.821209465381278,22.4673518024385,24.5241468627632,2556.16516713357,0.9128,0.0013,-3.5465,9e-04,-0.273,-0.0755,349,0.0054,"STRT_storm7b_10_04_NO3","STRT"
"42","42",-0.125303736292228,0.220225285495495,0.120986600166291,-0.486947156249554,61.9147777208216,73.2940783751876,2556.16516713357,0.9549,0.0543,-3.9829,2e-04,-0.1885,-0.0621,279,5e-04,"STRT_storm7b_10_04_fDOM","STRT"
"43","43",-0.0316170510132694,0.361508034490967,-0.242138364779882,-0.674528301886812,108.1,113.881818181818,2556.16516713357,0.9222,0.0028,-0.6122,0.5432,-0.1354,0.0722,586,0.6225,"STRT_storm7b_10_04_SPC","STRT"
"44","44",-0.0998319742526493,0.120498148274787,0.412760032617941,-0.333789492860489,7.75363636363636,13.5755555555556,2556.16516713357,0.9852,0.7804,-5.7995,0,-0.1344,-0.0652,161,0,"STRT_storm7b_10_04_turb","STRT"
"45","45",-0.201363491048593,0.164953518228732,0.222346547314585,-0.531969309462913,0.507255555555556,0.576766666666667,2556.16516713357,0.9799,0.5487,-8.5451,0,-0.2487,-0.154,68,0,"STRT_storm7b_10_04_abs","STRT"
"46","46",0.636865118577087,0.111345656361305,-0.714920948616603,0.786067193675892,21.9797417552713,25.6282546405449,2586.1908505913,0.9218,0.0027,40.038,0,0.6049,0.6688,1275,0,"STRT_storm7c_10_09_NO3","STRT"
"47","47",-0.575319284409129,0.160290766698343,0.739638341773838,-0.75308419952364,55.5948433539845,79.6795395371719,2586.1908505913,0.8196,0,-25.1246,0,-0.6213,-0.5293,0,0,"STRT_storm7c_10_09_fDOM","STRT"
"48","48",0.664312668463592,0.12191477130498,-0.691823899371057,0.816711590296446,106.4,116.518181818182,2586.1908505913,0.8263,0,38.1429,0,0.6293,0.6993,1275,0,"STRT_storm7c_10_09_SPC","STRT"
"49","49",-0.107686826555441,0.147878928616304,1,-0.53680048661801,8.71363636363636,19.1754545454545,2586.1908505913,0.8148,0,-5.0975,0,-0.1501,-0.0652,124,0,"STRT_storm7c_10_09_turb","STRT"
"50","50",-0.517943391326926,0.143366549854687,0.934995239331771,-0.651216134337396,0.494311111111111,0.622677777777778,2586.1908505913,0.7571,0,-25.289,0,-0.5591,-0.4768,0,0,"STRT_storm7c_10_09_abs","STRT"
