"","column_label","HI","Q_interval","storm.ID","site.ID","storm.num","month","day","response","date","doy"
"Interpolated HI for 2% discharge...1","1",0.492215302491093,2,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 4% discharge...2","1",0.97153024911032,4,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 6% discharge...3","1",0.966637010676149,6,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 8% discharge...4","1",0.95796263345194,8,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 10% discharge...5","1",0.933162811387889,10,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 12% discharge...6","1",0.951512455516,12,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 14% discharge...7","1",0.950622775800699,14,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 16% discharge...8","1",0.930827402135227,16,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 18% discharge...9","1",0.946174377224179,18,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 20% discharge...10","1",0.946174377224179,20,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 22% discharge...11","1",0.945840747330937,22,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 24% discharge...12","1",0.945840747330937,24,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 26% discharge...13","1",0.945840747330937,26,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 28% discharge...14","1",0.954403914590722,28,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 30% discharge...15","1",0.954403914590722,30,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 32% discharge...16","1",0.953847864768662,32,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 34% discharge...17","1",0.946174377224179,34,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 36% discharge...18","1",0.952958185053361,36,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 38% discharge...19","1",0.94550711743771,38,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 40% discharge...20","1",0.942393238434156,40,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 42% discharge...21","1",0.930716192170803,42,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 44% discharge...22","1",0.942170818505324,44,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 46% discharge...23","1",0.928825622775778,46,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 48% discharge...24","1",0.907362099644112,48,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 50% discharge...25","1",0.898798932384328,50,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 52% discharge...26","1",0.898798932384328,52,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 54% discharge...27","1",0.87800266903913,54,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 56% discharge...28","1",0.85409252669038,56,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 58% discharge...29","1",0.85409252669038,58,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 60% discharge...30","1",0.85409252669038,60,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 62% discharge...31","1",0.842081850533799,62,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 64% discharge...32","1",0.842081850533799,64,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 66% discharge...33","1",0.842081850533799,66,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
"Interpolated HI for 68% discharge...34","1",0.820173487544469,68,"STRT_storm1a_06_18_NO3","STRT","storm1a","06","18","NO3",2023-06-18,169
