,column_label,HI,Q_interval,storm.ID,site.ID,storm.num,month,day,response,
Interpolated HI for 2% discharge...1,1,0.059242554,2,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 4% discharge...2,1,-0.241659507,4,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 6% discharge...3,1,-0.260345074,6,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 8% discharge...4,1,-0.264628675,8,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 10% discharge...5,1,-0.273076556,10,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 12% discharge...6,1,-0.281631825,12,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 14% discharge...7,1,-0.282037514,14,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 16% discharge...8,1,-0.285187572,16,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 18% discharge...9,1,-0.285927358,18,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 20% discharge...10,1,-0.301582188,20,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 22% discharge...11,1,-0.296093452,22,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 24% discharge...12,1,-0.291893375,24,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 26% discharge...13,1,0.065208572,26,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 28% discharge...14,1,0.045878675,28,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 30% discharge...15,1,0.001575029,30,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 32% discharge...16,1,-0.004713154,32,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 34% discharge...17,1,-0.128567679,34,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 36% discharge...18,1,-0.137445113,36,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 38% discharge...19,1,-0.128018805,38,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 40% discharge...20,1,-0.177799255,40,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 42% discharge...21,1,-0.196341638,42,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 44% discharge...22,1,-0.160056319,44,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 46% discharge...23,1,-0.148482245,46,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 48% discharge...24,1,-0.162239882,48,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 50% discharge...25,1,-0.103116648,50,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 52% discharge...26,1,-0.040676308,52,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 54% discharge...27,1,-0.021441867,54,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 56% discharge...28,1,0.021203226,56,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 58% discharge...29,1,0.095575601,58,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 60% discharge...30,1,0.100945017,60,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 62% discharge...31,1,0.163158648,62,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 64% discharge...32,1,0.080887266,64,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 66% discharge...33,1,0.046869034,66,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 68% discharge...34,1,-0.082569683,68,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 70% discharge...35,1,-0.0707689,70,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 72% discharge...36,1,-0.04696449,72,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 74% discharge...37,1,-0.040938813,74,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 76% discharge...38,1,-0.015845743,76,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 78% discharge...39,1,-0.00263698,78,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 80% discharge...40,1,-0.006729668,80,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 82% discharge...41,1,0.01207522,82,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 84% discharge...42,1,0.006980241,84,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 86% discharge...43,1,0.009748473,86,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 88% discharge...44,1,0.01706281,88,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 90% discharge...45,1,0.081340683,90,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 92% discharge...46,1,0.076651394,92,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 94% discharge...47,1,0.313585815,94,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 96% discharge...48,1,0.138340015,96,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 98% discharge...49,1,-0.289685949,98,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 100% discharge...50,1,0.031977854,100,MOOS_storm1_07_23_fDOM,MOOS,storm1,7,23,fDOM,
Interpolated HI for 2% discharge...51,2,0.132246377,2,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 4% discharge...52,2,-0.169565217,4,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 6% discharge...53,2,-0.117753623,6,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 8% discharge...54,2,-0.076086957,8,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 10% discharge...55,2,-0.052173913,10,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 12% discharge...56,2,-0.02826087,12,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 14% discharge...57,2,-0.017753623,14,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 16% discharge...58,2,-0.006884058,16,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 18% discharge...59,2,0.045652174,18,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 20% discharge...60,2,0.077898551,20,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 22% discharge...61,2,0.158695652,22,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 24% discharge...62,2,0.195652174,24,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 26% discharge...63,2,0.620652174,26,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 28% discharge...64,2,0.532608696,28,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 30% discharge...65,2,0.624275362,30,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 32% discharge...66,2,0.498188406,32,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 34% discharge...67,2,0.552536232,34,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 36% discharge...68,2,0.590217391,36,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 38% discharge...69,2,0.584782609,38,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 40% discharge...70,2,0.637318841,40,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 42% discharge...71,2,0.598188406,42,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
Interpolated HI for 44% discharge...72,2,0.604710145,44,MOOS_storm1_07_23_SPC,MOOS,storm1,7,23,SPC,
