Discharge_Lsec,day
NA,2021-05-04
NA,2021-05-05
NA,2021-05-06
NA,2021-05-07
NA,2021-05-08
NA,2021-05-09
328.282732390948,2021-05-10
327.26698936625263,2021-05-11
324.70608268243114,2021-05-12
320.7315171805315,2021-05-13
315.43637339726774,2021-05-14
308.91373186934834,2021-05-15
301.2566731334834,2021-05-16
292.5582777263796,2021-05-17
282.91162618474965,2021-05-18
272.4097990452983,2021-05-19
261.14587684474037,2021-05-20
249.21294011978202,2021-05-21
236.70406940713323,2021-05-22
223.71234524350348,2021-05-23
210.33084816560526,2021-05-24
196.65265871014466,2021-05-25
182.7708574138302,2021-05-26
168.77852481337777,2021-05-27
154.76874144548674,2021-05-28
140.83458784687173,2021-05-29
127.0691445542434,2021-05-30
113.56549210430906,2021-05-31
100.4167110337806,2021-06-01
87.71588187936747,2021-06-02
75.55608517778273,2021-06-03
64.03040146572766,2021-06-04
53.231911279920496,2021-06-05
43.25369515705946,2021-06-06
34.18883363386188,2021-06-07
26.130407247034782,2021-06-08
19.17149653328306,2021-06-09
13.405182029321926,2021-06-10
8.924544271861427,2021-06-11
5.822663797605553,2021-06-12
4.192621143264053,2021-06-13
4.127496845544859,2021-06-14
5.7203714411646915,2021-06-15
9.064325466831178,2021-06-16
14.252439459250127,2021-06-17
21.37779395513341,2021-06-18
30.533469491195927,2021-06-19
41.81254660414015,2021-06-20
55.30810583067947,2021-06-21
71.11322770752122,2021-06-22
89.32099277136906,2021-06-23
110.02448155894247,2021-06-24
133.31677460695028,2021-06-25
159.29095245209496,2021-06-26
188.0400956310923,2021-06-27
219.6572846806739,2021-06-28
287.4378407635927,2021-06-29
331.3007479145217,2021-06-30
320.5650979872672,2021-07-01
319.00208128562576,2021-07-02
318.33798264009107,2021-07-03
313.7663422404456,2021-07-04
310.55592061148195,2021-07-05
310.02757693768984,2021-07-06
307.4152109950344,2021-07-07
312.2290089118351,2021-07-08
312.0308800341644,2021-07-09
305.71643932165233,2021-07-10
302.4693271597861,2021-07-11
295.49078780174375,2021-07-12
293.392089319724,2021-07-13
298.642504578063,2021-07-14
292.5848975958704,2021-07-15
282.4399652483441,2021-07-16
279.2442198325415,2021-07-17
278.7562357449355,2021-07-18
274.8633702039889,2021-07-19
275.91638849828854,2021-07-20
279.21486740622163,2021-07-21
281.91895968113033,2021-07-22
332.43081632792007,2021-07-23
970.178321131521,2021-07-24
654.4709617191995,2021-07-25
482.79595826869104,2021-07-26
409.35618761117024,2021-07-27
473.60131072333934,2021-07-28
481.3099916861448,2021-07-29
420.01845647261894,2021-07-30
376.3237008391058,2021-07-31
350.7834208857165,2021-08-01
330.2550677268022,2021-08-02
319.2919364955576,2021-08-03
313.62324916212737,2021-08-04
305.54399381701177,2021-08-05
314.4084265662385,2021-08-06
323.42695955365565,2021-08-07
335.79166914178484,2021-08-08
1222.3670299831401,2021-08-09
909.7079225575742,2021-08-10
637.2704398945356,2021-08-11
509.389256516379,2021-08-12
466.52003787316903,2021-08-13
433.0766171325952,2021-08-14
415.2156657156899,2021-08-15
618.2720819576538,2021-08-16
927.3714763942467,2021-08-17
742.5502550047931,2021-08-18
545.6725245035982,2021-08-19
569.4920184638618,2021-08-20
562.2676525353704,2021-08-21
488.1894666053519,2021-08-22
449.8625359354614,2021-08-23
493.12067422743854,2021-08-24
597.0786906724352,2021-08-25
593.7848202985678,2021-08-26
722.1870092439385,2021-08-27
727.7749774049811,2021-08-28
572.7794902119213,2021-08-29
490.4275891123971,2021-08-30
442.82162267148374,2021-08-31
413.38847717714765,2021-09-01
395.4357994279813,2021-09-02
384.80655204614817,2021-09-03
374.694641178238,2021-09-04
369.3635067475129,2021-09-05
372.8197549469244,2021-09-06
363.1664757402925,2021-09-07
353.84681377366604,2021-09-08
346.0209897149815,2021-09-09
337.6995768527087,2021-09-10
332.9371456819711,2021-09-11
327.67205421047197,2021-09-12
326.2594686937275,2021-09-13
321.24754189925403,2021-09-14
317.26661907934454,2021-09-15
314.75698662881103,2021-09-16
312.25836133815693,2021-09-17
311.286062216246,2021-09-18
310.9962070063166,2021-09-19
310.71735895625784,2021-09-20
302.58306781178715,2021-09-21
294.9991346608528,2021-09-22
312.91145282381945,2021-09-23
298.91034546825136,2021-09-24
294.6065459587942,2021-09-25
293.924102046809,2021-09-26
NA,2021-09-27
NA,2021-09-28
NA,2021-09-29
NA,2021-09-30
