"","valuedatetime","datavalue"
"7075",2015-07-26 23:45:00,0.425366666666667
"7076",2015-07-27 00:00:00,0.4262
"7077",2015-07-27 00:15:00,0.429433333333333
"7078",2015-07-27 00:30:00,0.436
"7079",2015-07-27 00:45:00,0.443833333333333
"7080",2015-07-27 01:00:00,0.4497
"7081",2015-07-27 01:15:00,0.4597
"7082",2015-07-27 01:30:00,0.4765
"7083",2015-07-27 01:45:00,0.494633333333333
"7084",2015-07-27 02:00:00,0.520533333333333
"7085",2015-07-27 02:15:00,0.542966666666667
"7086",2015-07-27 02:30:00,0.564366666666667
"7087",2015-07-27 02:45:00,0.5821
"7088",2015-07-27 03:00:00,0.598833333333333
"7089",2015-07-27 03:15:00,0.6146
"7090",2015-07-27 03:30:00,0.626466666666667
"7091",2015-07-27 03:45:00,0.638366666666667
"7092",2015-07-27 04:00:00,0.649566666666667
"7093",2015-07-27 04:15:00,0.679233333333333
"7094",2015-07-27 04:30:00,0.711366666666667
"7095",2015-07-27 04:45:00,0.740566666666667
"7096",2015-07-27 05:00:00,0.7784
"7097",2015-07-27 05:15:00,NA
"7098",2015-07-27 05:30:00,0.8306
"7099",2015-07-27 05:45:00,0.859733333333333
"7100",2015-07-27 06:00:00,NA
"7101",2015-07-27 06:15:00,0.948766666666667
"7102",2015-07-27 06:30:00,NA
"7103",2015-07-27 06:45:00,NA
"7104",2015-07-27 07:00:00,NA
"7105",2015-07-27 07:15:00,NA
"7106",2015-07-27 07:30:00,NA
"7107",2015-07-27 07:45:00,NA
"7108",2015-07-27 08:00:00,NA
"7109",2015-07-27 08:15:00,NA
"7110",2015-07-27 08:30:00,NA
"7111",2015-07-27 08:45:00,NA
"7112",2015-07-27 09:00:00,NA
"7113",2015-07-27 09:15:00,NA
"7114",2015-07-27 09:30:00,NA
"7115",2015-07-27 09:45:00,NA
"7116",2015-07-27 10:00:00,NA
"7117",2015-07-27 10:15:00,NA
"7118",2015-07-27 10:30:00,NA
"7119",2015-07-27 10:45:00,NA
"7120",2015-07-27 11:00:00,NA
"7121",2015-07-27 11:15:00,NA
"7122",2015-07-27 11:30:00,NA
"7123",2015-07-27 11:45:00,NA
"7124",2015-07-27 12:00:00,NA
"7125",2015-07-27 12:15:00,NA
"7126",2015-07-27 12:30:00,NA
"7127",2015-07-27 12:45:00,NA
"7128",2015-07-27 13:00:00,NA
"7129",2015-07-27 13:15:00,NA
"7130",2015-07-27 13:30:00,NA
"7131",2015-07-27 13:45:00,NA
"7132",2015-07-27 14:00:00,NA
"7133",2015-07-27 14:15:00,NA
"7134",2015-07-27 14:30:00,NA
"7135",2015-07-27 14:45:00,NA
"7136",2015-07-27 15:00:00,NA
"7137",2015-07-27 15:15:00,NA
"7138",2015-07-27 15:30:00,NA
"7139",2015-07-27 15:45:00,NA
"7140",2015-07-27 16:00:00,NA
"7141",2015-07-27 16:15:00,NA
"7142",2015-07-27 16:30:00,NA
"7143",2015-07-27 16:45:00,NA
"7144",2015-07-27 17:00:00,NA
"7145",2015-07-27 17:15:00,NA
"7146",2015-07-27 17:30:00,NA
"7147",2015-07-27 17:45:00,NA
"7148",2015-07-27 18:00:00,NA
"7149",2015-07-27 18:15:00,NA
"7150",2015-07-27 18:30:00,NA
"7151",2015-07-27 18:45:00,NA
"7152",2015-07-27 19:00:00,NA
"7153",2015-07-27 19:15:00,NA
"7154",2015-07-27 19:30:00,NA
"7155",2015-07-27 19:45:00,NA
"7156",2015-07-27 20:00:00,NA
"7157",2015-07-27 20:15:00,NA
"7158",2015-07-27 20:30:00,NA
"7159",2015-07-27 20:45:00,NA
"7160",2015-07-27 21:00:00,NA
"7161",2015-07-27 21:15:00,NA
"7162",2015-07-27 21:30:00,NA
"7163",2015-07-27 21:45:00,NA
"7164",2015-07-27 22:00:00,NA
"7165",2015-07-27 22:15:00,NA
"7166",2015-07-27 22:30:00,NA
"7167",2015-07-27 22:45:00,NA
"7168",2015-07-27 23:00:00,NA
"7169",2015-07-27 23:15:00,NA
"7170",2015-07-27 23:30:00,NA
"7171",2015-07-27 23:45:00,NA
"7172",2015-07-28 00:00:00,NA
"7173",2015-07-28 00:15:00,NA
"7174",2015-07-28 00:30:00,NA
"7175",2015-07-28 00:45:00,NA
"7176",2015-07-28 01:00:00,NA
"7177",2015-07-28 01:15:00,NA
"7178",2015-07-28 01:30:00,NA
"7179",2015-07-28 01:45:00,NA
"7180",2015-07-28 02:00:00,NA
"7181",2015-07-28 02:15:00,NA
"7182",2015-07-28 02:30:00,NA
"7183",2015-07-28 02:45:00,NA
"7184",2015-07-28 03:00:00,NA
"7185",2015-07-28 03:15:00,NA
"7186",2015-07-28 03:30:00,NA
"7187",2015-07-28 03:45:00,NA
"7188",2015-07-28 04:00:00,NA
"7189",2015-07-28 04:15:00,NA
"7190",2015-07-28 04:30:00,NA
"7191",2015-07-28 04:45:00,NA
"7192",2015-07-28 05:00:00,NA
"7193",2015-07-28 05:15:00,NA
"7194",2015-07-28 05:30:00,NA
"7195",2015-07-28 05:45:00,NA
"7196",2015-07-28 06:00:00,NA
"7197",2015-07-28 06:15:00,NA
"7198",2015-07-28 06:30:00,NA
"7199",2015-07-28 06:45:00,NA
"7200",2015-07-28 07:00:00,NA
"7201",2015-07-28 07:15:00,NA
"7202",2015-07-28 07:30:00,NA
"7203",2015-07-28 07:45:00,NA
"7204",2015-07-28 08:00:00,NA
"7205",2015-07-28 08:15:00,NA
"7206",2015-07-28 08:30:00,NA
"7207",2015-07-28 08:45:00,NA
"7208",2015-07-28 09:00:00,NA
"7209",2015-07-28 09:15:00,NA
"7210",2015-07-28 09:30:00,NA
"7211",2015-07-28 09:45:00,NA
"7212",2015-07-28 10:00:00,NA
"7213",2015-07-28 10:15:00,NA
"7214",2015-07-28 10:30:00,NA
"7215",2015-07-28 10:45:00,NA
"7216",2015-07-28 11:00:00,NA
"7217",2015-07-28 11:15:00,NA
"7218",2015-07-28 11:30:00,NA
"7219",2015-07-28 11:45:00,NA
"7220",2015-07-28 12:00:00,NA
"7221",2015-07-28 12:15:00,NA
"7222",2015-07-28 12:30:00,NA
"7223",2015-07-28 12:45:00,NA
"7224",2015-07-28 13:00:00,NA
"7225",2015-07-28 13:15:00,NA
"7226",2015-07-28 13:30:00,NA
"7227",2015-07-28 13:45:00,NA
"7228",2015-07-28 14:00:00,NA
"7229",2015-07-28 14:15:00,NA
"7230",2015-07-28 14:30:00,NA
"7231",2015-07-28 14:45:00,NA
"7232",2015-07-28 15:00:00,NA
"7233",2015-07-28 15:15:00,NA
"7234",2015-07-28 15:30:00,NA
"7235",2015-07-28 15:45:00,NA
"7236",2015-07-28 16:00:00,NA
"7237",2015-07-28 16:15:00,NA
"7238",2015-07-28 16:30:00,NA
"7239",2015-07-28 16:45:00,NA
"7240",2015-07-28 17:00:00,NA
"7241",2015-07-28 17:15:00,NA
"7242",2015-07-28 17:30:00,NA
"7243",2015-07-28 17:45:00,NA
"7244",2015-07-28 18:00:00,NA
"7245",2015-07-28 18:15:00,NA
"7246",2015-07-28 18:30:00,NA
"7247",2015-07-28 18:45:00,NA
"7248",2015-07-28 19:00:00,NA
"7249",2015-07-28 19:15:00,NA
"7250",2015-07-28 19:30:00,NA
"7251",2015-07-28 19:45:00,NA
"7252",2015-07-28 20:00:00,NA
"7253",2015-07-28 20:15:00,NA
"7254",2015-07-28 20:30:00,NA
"7255",2015-07-28 20:45:00,NA
"7256",2015-07-28 21:00:00,NA
"7257",2015-07-28 21:15:00,NA
"7258",2015-07-28 21:30:00,NA
"7259",2015-07-28 21:45:00,NA
"7260",2015-07-28 22:00:00,NA
"7261",2015-07-28 22:15:00,NA
"7262",2015-07-28 22:30:00,NA
"7263",2015-07-28 22:45:00,NA
"7264",2015-07-28 23:00:00,NA
"7265",2015-07-28 23:15:00,NA
"7266",2015-07-28 23:30:00,NA
"7267",2015-07-28 23:45:00,NA
"7268",2015-07-29 00:00:00,NA
"7269",2015-07-29 00:15:00,NA
"7270",2015-07-29 00:30:00,NA
"7271",2015-07-29 00:45:00,NA
"7272",2015-07-29 01:00:00,NA
"7273",2015-07-29 01:15:00,NA
"7274",2015-07-29 01:30:00,NA
"7275",2015-07-29 01:45:00,NA
"7276",2015-07-29 02:00:00,NA
"7277",2015-07-29 02:15:00,NA
"7278",2015-07-29 02:30:00,NA
"7279",2015-07-29 02:45:00,NA
"7280",2015-07-29 03:00:00,NA
"7281",2015-07-29 03:15:00,NA
"7282",2015-07-29 03:30:00,NA
"7283",2015-07-29 03:45:00,NA
"7284",2015-07-29 04:00:00,NA
"7285",2015-07-29 04:15:00,NA
"7286",2015-07-29 04:30:00,NA
"7287",2015-07-29 04:45:00,NA
"7288",2015-07-29 05:00:00,NA
"7289",2015-07-29 05:15:00,NA
"7290",2015-07-29 05:30:00,NA
"7291",2015-07-29 05:45:00,NA
"7292",2015-07-29 06:00:00,NA
"7293",2015-07-29 06:15:00,NA
"7294",2015-07-29 06:30:00,NA
"7295",2015-07-29 06:45:00,NA
"7296",2015-07-29 07:00:00,NA
"7297",2015-07-29 07:15:00,NA
"7298",2015-07-29 07:30:00,NA
"7299",2015-07-29 07:45:00,NA
"7300",2015-07-29 08:00:00,NA
"7301",2015-07-29 08:15:00,NA
"7302",2015-07-29 08:30:00,NA
"7303",2015-07-29 08:45:00,NA
"7304",2015-07-29 09:00:00,NA
"7305",2015-07-29 09:15:00,NA
"7306",2015-07-29 09:30:00,NA
"7307",2015-07-29 09:45:00,NA
"7308",2015-07-29 10:00:00,NA
"7309",2015-07-29 10:15:00,NA
"7310",2015-07-29 10:30:00,NA
"7311",2015-07-29 10:45:00,NA
"7312",2015-07-29 11:00:00,NA
"7313",2015-07-29 11:15:00,NA
"7314",2015-07-29 11:30:00,NA
"7315",2015-07-29 11:45:00,NA
