"","valuedatetime","datavalue"
"9917",2015-08-25 20:45:00,75.7
"9918",2015-08-25 21:00:00,75.7
"9919",2015-08-25 21:15:00,75.7
"9920",2015-08-25 21:30:00,75.7
"9921",2015-08-25 21:45:00,75.7
"9922",2015-08-25 22:00:00,75.8
"9923",2015-08-25 22:15:00,NA
"9924",2015-08-25 22:30:00,75.8
"9925",2015-08-25 22:45:00,75.8
"9926",2015-08-25 23:00:00,75.8
"9927",2015-08-25 23:15:00,75.8
"9928",2015-08-25 23:30:00,75.8
"9929",2015-08-25 23:45:00,75.8
"9930",2015-08-26 00:00:00,75.8
"9931",2015-08-26 00:15:00,75.8
"9932",2015-08-26 00:30:00,75.8
"9933",2015-08-26 00:45:00,75.8
"9934",2015-08-26 01:00:00,75.9
"9935",2015-08-26 01:15:00,75.9
"9936",2015-08-26 01:30:00,75.9
"9937",2015-08-26 01:45:00,75.9
"9938",2015-08-26 02:00:00,75.9
"9939",2015-08-26 02:15:00,75.9
"9940",2015-08-26 02:30:00,76
"9941",2015-08-26 02:45:00,76
"9942",2015-08-26 03:00:00,76
"9943",2015-08-26 03:15:00,76.1
"9944",2015-08-26 03:30:00,76.1
"9945",2015-08-26 03:45:00,76.2
"9946",2015-08-26 04:00:00,76.2
"9947",2015-08-26 04:15:00,76.3
"9948",2015-08-26 04:30:00,76.3
"9949",2015-08-26 04:45:00,76.3
"9950",2015-08-26 05:00:00,76.3
"9951",2015-08-26 05:15:00,76.2
"9952",2015-08-26 05:30:00,76.3
"9953",2015-08-26 05:45:00,76.3
"9954",2015-08-26 06:00:00,76.3
"9955",2015-08-26 06:15:00,76.3
"9956",2015-08-26 06:30:00,76.2
"9957",2015-08-26 06:45:00,76.2
"9958",2015-08-26 07:00:00,76.3
"9959",2015-08-26 07:15:00,76.3
"9960",2015-08-26 07:30:00,76.3
"9961",2015-08-26 07:45:00,76.3
"9962",2015-08-26 08:00:00,76.3
"9963",2015-08-26 08:15:00,76.2
"9964",2015-08-26 08:30:00,76.3
"9965",2015-08-26 08:45:00,76.2
"9966",2015-08-26 09:00:00,76.2
"9967",2015-08-26 09:15:00,76.2
"9968",2015-08-26 09:30:00,76.2
"9969",2015-08-26 09:45:00,76.2
"9970",2015-08-26 10:00:00,76.1
"9971",2015-08-26 10:15:00,76.1
"9972",2015-08-26 10:30:00,76
"9973",2015-08-26 10:45:00,76
"9974",2015-08-26 11:00:00,75.9
"9975",2015-08-26 11:15:00,75.9
"9976",2015-08-26 11:30:00,75.8
"9977",2015-08-26 11:45:00,75.7
"9978",2015-08-26 12:00:00,75.6
"9979",2015-08-26 12:15:00,75.5
"9980",2015-08-26 12:30:00,75.4
"9981",2015-08-26 12:45:00,75.3
"9982",2015-08-26 13:00:00,75.2
"9983",2015-08-26 13:15:00,75.1
"9984",2015-08-26 13:30:00,75
"9985",2015-08-26 13:45:00,75
"9986",2015-08-26 14:00:00,74.8
"9987",2015-08-26 14:15:00,74.7
"9988",2015-08-26 14:30:00,74.7
"9989",2015-08-26 14:45:00,74.6
"9990",2015-08-26 15:00:00,74.5
"9991",2015-08-26 15:15:00,74.5
"9992",2015-08-26 15:30:00,74.4
"9993",2015-08-26 15:45:00,74.3
"9994",2015-08-26 16:00:00,74.2
"9995",2015-08-26 16:15:00,74.1
"9996",2015-08-26 16:30:00,74.1
"9997",2015-08-26 16:45:00,74
"9998",2015-08-26 17:00:00,74
"9999",2015-08-26 17:15:00,73.9
"10000",2015-08-26 17:30:00,73.8
"10001",2015-08-26 17:45:00,73.6
"10002",2015-08-26 18:00:00,73.5
"10003",2015-08-26 18:15:00,73.3
"10004",2015-08-26 18:30:00,73.1
"10005",2015-08-26 18:45:00,73
"10006",2015-08-26 19:00:00,72.8
"10007",2015-08-26 19:15:00,72.6
"10008",2015-08-26 19:30:00,72.4
"10009",2015-08-26 19:45:00,72.2
"10010",2015-08-26 20:00:00,72
"10011",2015-08-26 20:15:00,71.8
"10012",2015-08-26 20:30:00,71.5
"10013",2015-08-26 20:45:00,71.3
"10014",2015-08-26 21:00:00,71.1
"10015",2015-08-26 21:15:00,70.8
"10016",2015-08-26 21:30:00,70.6
"10017",2015-08-26 21:45:00,70.3
"10018",2015-08-26 22:00:00,70
"10019",2015-08-26 22:15:00,69.8
"10020",2015-08-26 22:30:00,69.5
"10021",2015-08-26 22:45:00,69.3
