"","DateTime","Site","Discharge","NO3","fDOM","SpCond","Turb","day"
"1",2018-08-21 05:15:00,"CARI",444.55,27.5,69.96,74.85,-1.01,2018-08-21
"2",2018-08-21 05:30:00,"CARI",464.92,27.5,70.11,74.9,-1.03,2018-08-21
"3",2018-08-21 05:45:00,"CARI",472.25,27.6,69.79,74.89,-1.02,2018-08-21
"4",2018-08-21 06:00:00,"CARI",492.27,27.6,70.02,74.93,-1.05,2018-08-21
"5",2018-08-21 06:15:00,"CARI",473.2,27.6,69.99,74.96,-1.06,2018-08-21
"6",2018-08-21 06:30:00,"CARI",446.93,27.6,70.07,74.98,-1.08,2018-08-21
"7",2018-08-21 06:45:00,"CARI",451.3,27.6,69.95,74.98,-1.04,2018-08-21
"8",2018-08-21 07:00:00,"CARI",439.17,27.6,69.76,74.99,-1.13,2018-08-21
"9",2018-08-21 07:15:00,"CARI",454.82,27.6,70.05,75.02,-1.1,2018-08-21
"10",2018-08-21 07:30:00,"CARI",440.71,27.6,70.12,75.04,-1.1,2018-08-21
"11",2018-08-21 07:45:00,"CARI",463.37,27.6,70.13,75.04,-1.09,2018-08-21
"12",2018-08-21 08:00:00,"CARI",419.24,27.6,70.06,75.03,-1.08,2018-08-21
"13",2018-08-21 08:15:00,"CARI",451.34,27.5,69.51,75.03,-1.1,2018-08-21
"14",2018-08-21 08:30:00,"CARI",466.78,27.6,69.92,74.99,-1.12,2018-08-21
"15",2018-08-21 08:45:00,"CARI",430.68,27.5,69.86,74.96,-1.05,2018-08-21
"16",2018-08-21 09:00:00,"CARI",436.07,27.5,69.87,74.95,-1.12,2018-08-21
"17",2018-08-21 09:15:00,"CARI",449.91,27.5,69.93,74.93,-1.12,2018-08-21
"18",2018-08-21 09:30:00,"CARI",445.27,27.5,69.77,74.92,-1.12,2018-08-21
"19",2018-08-21 09:45:00,"CARI",463.07,27.4,69.11,74.87,-1.17,2018-08-21
"20",2018-08-21 10:00:00,"CARI",456.47,27.4,69.1,74.82,-1.13,2018-08-21
"21",2018-08-21 10:15:00,"CARI",442.45,27.4,69.54,74.81,-1.15,2018-08-21
"22",2018-08-21 10:30:00,"CARI",434.71,27.4,69.19,74.8,-1.17,2018-08-21
"23",2018-08-21 10:45:00,"CARI",445.8,27.3,69.53,74.77,-1.14,2018-08-21
"24",2018-08-21 11:00:00,"CARI",453.22,27.3,69.19,74.74,-1.2,2018-08-21
"25",2018-08-21 11:15:00,"CARI",444.6,27.3,69.63,74.71,-1.17,2018-08-21
"26",2018-08-21 11:30:00,"CARI",453.63,27.3,69.1,74.72,-1.16,2018-08-21
"27",2018-08-21 11:45:00,"CARI",429.74,27.3,69.45,74.7,-1.21,2018-08-21
"28",2018-08-21 12:00:00,"CARI",444.7,27.3,69.31,74.68,-1.17,2018-08-21
"29",2018-08-21 12:15:00,"CARI",469.79,27.2,68.96,74.63,-1.15,2018-08-21
"30",2018-08-21 12:30:00,"CARI",467.89,27.2,69.11,74.57,-1.16,2018-08-21
"31",2018-08-21 12:45:00,"CARI",461.17,27.2,68.93,74.53,-1.14,2018-08-21
"32",2018-08-21 13:00:00,"CARI",463.88,27.1,69.28,74.52,-1.14,2018-08-21
"33",2018-08-21 13:15:00,"CARI",476.41,27.1,69.08,74.5,-1.24,2018-08-21
"34",2018-08-21 13:30:00,"CARI",492.56,27.1,69.38,74.49,-1.18,2018-08-21
"35",2018-08-21 13:45:00,"CARI",452.51,27.1,69.2,74.45,-1.22,2018-08-21
"36",2018-08-21 14:00:00,"CARI",459.39,27,69.3,74.42,-1.14,2018-08-21
"37",2018-08-21 14:15:00,"CARI",500.55,27,69.35,74.4,-1.15,2018-08-21
"38",2018-08-21 14:30:00,"CARI",458.5,27,69.29,74.32,-1.11,2018-08-21
"39",2018-08-21 14:45:00,"CARI",462.78,27,69.28,74.28,-1.13,2018-08-21
"40",2018-08-21 15:00:00,"CARI",482.15,26.9,69.25,74.29,-0.92,2018-08-21
"41",2018-08-21 15:15:00,"CARI",478.46,26.9,69.28,74.31,-1.01,2018-08-21
"42",2018-08-21 15:30:00,"CARI",451.13,26.9,69.28,74.32,-1.02,2018-08-21
"43",2018-08-21 15:45:00,"CARI",471.02,26.8,69.32,74.34,-1.06,2018-08-21
"44",2018-08-21 16:00:00,"CARI",474.28,26.9,69.38,74.31,-0.72,2018-08-21
"45",2018-08-21 16:15:00,"CARI",478.34,26.8,69.41,74.25,-0.67,2018-08-21
"46",2018-08-21 16:30:00,"CARI",483.06,26.8,69.37,74.17,-0.73,2018-08-21
"47",2018-08-21 16:45:00,"CARI",493.64,26.8,69.49,74.13,-0.79,2018-08-21
"48",2018-08-21 17:00:00,"CARI",488.09,26.7,69.63,74.14,-1,2018-08-21
"49",2018-08-21 17:15:00,"CARI",477.72,26.7,69.59,74.1,-0.91,2018-08-21
"50",2018-08-21 17:30:00,"CARI",465.72,26.7,69.64,74.14,-0.96,2018-08-21
"51",2018-08-21 17:45:00,"CARI",481.06,26.6,69.66,74.17,-0.98,2018-08-21
"52",2018-08-21 18:00:00,"CARI",473.35,26.7,69.38,74.14,-0.96,2018-08-21
"53",2018-08-21 18:15:00,"CARI",471.37,26.6,69.49,74.08,-0.76,2018-08-21
"54",2018-08-21 18:30:00,"CARI",472.88,26.6,69.31,74.07,-0.6,2018-08-21
"55",2018-08-21 18:45:00,"CARI",455.1,26.6,69.49,74,-0.88,2018-08-21
"56",2018-08-21 19:00:00,"CARI",473.53,26.6,69.82,73.96,-0.36,2018-08-21
"57",2018-08-21 19:15:00,"CARI",483.29,26.5,69.67,73.94,-0.9,2018-08-21
"58",2018-08-21 19:30:00,"CARI",484.14,26.6,69.9,73.93,-0.54,2018-08-21
"59",2018-08-21 19:45:00,"CARI",490.05,26.6,70.02,73.93,-0.8,2018-08-21
"60",2018-08-21 20:00:00,"CARI",465.56,26.6,69.83,73.88,-0.73,2018-08-21
"61",2018-08-21 20:15:00,"CARI",444.25,26.5,70.26,73.87,-0.06,2018-08-21
"62",2018-08-21 20:30:00,"CARI",489.53,26.5,70.01,73.88,-0.64,2018-08-21
"63",2018-08-21 20:45:00,"CARI",481.04,26.6,70.26,73.89,-0.49,2018-08-21
"64",2018-08-21 21:00:00,"CARI",476.39,26.6,70.05,73.87,-0.59,2018-08-21
"65",2018-08-21 21:15:00,"CARI",488.44,26.5,70.07,73.85,-0.56,2018-08-21
"66",2018-08-21 21:30:00,"CARI",493.61,26.6,70.14,73.84,-0.26,2018-08-21
"67",2018-08-21 21:45:00,"CARI",502.02,26.6,70.13,73.88,-0.74,2018-08-21
"68",2018-08-21 22:00:00,"CARI",473.21,26.7,70.25,73.88,-0.86,2018-08-21
"69",2018-08-21 22:15:00,"CARI",469.4,26.6,70.45,73.88,-0.87,2018-08-21
"70",2018-08-21 22:30:00,"CARI",476.24,26.7,70.51,73.9,-0.46,2018-08-21
"71",2018-08-21 22:45:00,"CARI",492.56,26.7,70.41,73.89,-0.51,2018-08-21
"72",2018-08-21 23:00:00,"CARI",476.96,26.7,70.46,73.89,-0.92,2018-08-21
"73",2018-08-21 23:15:00,"CARI",483.84,26.7,70.38,73.91,-0.97,2018-08-21
"74",2018-08-21 23:30:00,"CARI",470.85,26.7,70.49,73.93,-0.84,2018-08-21
"75",2018-08-21 23:45:00,"CARI",504.02,26.8,70.69,73.93,-1,2018-08-21
"76",2018-08-22 00:00:00,"CARI",484.77,26.8,70.72,73.92,-0.37,2018-08-22
"77",2018-08-22 00:15:00,"CARI",487.56,26.8,70.43,73.95,-0.88,2018-08-22
"78",2018-08-22 00:30:00,"CARI",469.31,26.8,70.57,73.93,-0.4,2018-08-22
"79",2018-08-22 00:45:00,"CARI",475.48,26.8,46.26,73.98,-0.53,2018-08-22
"80",2018-08-22 01:00:00,"CARI",484.1,26.8,43.81,74.01,-0.63,2018-08-22
"81",2018-08-22 01:15:00,"CARI",482.59,26.8,43.54,74.06,-0.73,2018-08-22
"82",2018-08-22 01:30:00,"CARI",468.67,26.9,43.05,74.04,-0.69,2018-08-22
"83",2018-08-22 01:45:00,"CARI",493.37,26.9,46.52,74.04,-0.87,2018-08-22
"84",2018-08-22 02:00:00,"CARI",459.92,26.9,47.38,74,-0.65,2018-08-22
"85",2018-08-22 02:15:00,"CARI",465.37,27,48.07,74.02,-0.54,2018-08-22
"86",2018-08-22 02:30:00,"CARI",451.49,26.9,48.78,74.02,-0.45,2018-08-22
"87",2018-08-22 02:45:00,"CARI",481.3,27,48.57,74,-0.79,2018-08-22
"88",2018-08-22 03:00:00,"CARI",457.06,27,51.4,74.03,-0.6,2018-08-22
"89",2018-08-22 03:15:00,"CARI",505.79,27,49.65,74.01,-0.52,2018-08-22
"90",2018-08-22 03:30:00,"CARI",438.05,27,51.05,74.02,-0.5,2018-08-22
"91",2018-08-22 03:45:00,"CARI",491.58,27,48.96,73.99,-0.76,2018-08-22
"92",2018-08-22 04:00:00,"CARI",466.71,27,50.78,73.95,-0.95,2018-08-22
"93",2018-08-22 04:15:00,"CARI",483.41,27,49.76,73.93,-0.97,2018-08-22
"94",2018-08-22 04:30:00,"CARI",472.87,27,49.73,73.88,-1,2018-08-22
"95",2018-08-22 04:45:00,"CARI",443.46,27,49.75,73.87,-1.02,2018-08-22
"96",2018-08-22 05:00:00,"CARI",474.38,27.1,49.63,73.83,-0.95,2018-08-22
"97",2018-08-22 05:15:00,"CARI",481.06,27,46.91,73.81,-1.05,2018-08-22
"98",2018-08-22 05:30:00,"CARI",505.76,27.1,47.13,73.85,-1.05,2018-08-22
"99",2018-08-22 05:45:00,"CARI",451.93,27.1,55.97,73.82,-1.1,2018-08-22
"100",2018-08-22 06:00:00,"CARI",482.85,27.1,56.9,73.8,-1.13,2018-08-22
"101",2018-08-22 06:15:00,"CARI",466.9,27.1,56.65,73.78,-1.11,2018-08-22
