"","valuedatetime","datavalue"
"8709",2018-08-30 10:15:00,28.5
"8710",2018-08-30 10:30:00,28.4
"8711",2018-08-30 10:45:00,28.4
"8712",2018-08-30 11:00:00,28.4
"8713",2018-08-30 13:45:00,NA
"8714",2018-08-30 14:00:00,27.3
"8715",2018-08-30 14:15:00,27.3
"8716",2018-08-30 14:30:00,27.1
"8717",2018-08-30 14:45:00,27
"8718",2018-08-30 15:00:00,26.8
"8719",2018-08-30 15:15:00,26.7
"8720",2018-08-30 15:30:00,26.6
"8721",2018-08-30 15:45:00,26.4
"8722",2018-08-30 16:00:00,26.2
"8723",2018-08-30 16:15:00,26.1
"8724",2018-08-30 16:30:00,25.9
"8725",2018-08-30 16:45:00,25.7
"8726",2018-08-30 17:00:00,25.6
"8727",2018-08-30 17:15:00,25.4
"8728",2018-08-30 17:30:00,25.3
"8729",2018-08-30 17:45:00,25.1
"8730",2018-08-30 18:00:00,24.9
"8731",2018-08-30 18:15:00,24.8
"8732",2018-08-30 18:30:00,24.6
"8733",2018-08-30 18:45:00,24.5
"8734",2018-08-30 19:00:00,24.3
"8735",2018-08-30 19:15:00,24.2
"8736",2018-08-30 19:30:00,24.2
"8737",2018-08-30 19:45:00,24
"8738",2018-08-30 20:00:00,23.9
"8739",2018-08-30 20:15:00,23.9
"8740",2018-08-30 20:30:00,23.8
"8741",2018-08-30 20:45:00,23.7
"8742",2018-08-30 21:00:00,23.8
"8743",2018-08-30 21:15:00,23.9
"8744",2018-08-30 21:30:00,23.7
"8745",2018-08-30 21:45:00,23.8
"8746",2018-08-30 22:00:00,23.9
"8747",2018-08-30 22:15:00,24
"8748",2018-08-30 22:30:00,24
"8749",2018-08-30 22:45:00,24
"8750",2018-08-30 23:00:00,24.1
"8751",2018-08-30 23:15:00,24.2
"8752",2018-08-30 23:30:00,24.3
"8753",2018-08-30 23:45:00,24.5
"8754",2018-08-31 00:00:00,24.5
"8755",2018-08-31 00:15:00,24.6
"8756",2018-08-31 00:30:00,24.7
"8757",2018-08-31 00:45:00,24.8
"8758",2018-08-31 01:00:00,24.8
"8759",2018-08-31 01:15:00,24.9
"8760",2018-08-31 01:30:00,24.9
"8761",2018-08-31 01:45:00,25
"8762",2018-08-31 02:00:00,25.1
"8763",2018-08-31 02:15:00,25
"8764",2018-08-31 02:30:00,25.1
"8765",2018-08-31 02:45:00,25.1
"8766",2018-08-31 03:00:00,25.3
"8767",2018-08-31 03:15:00,25.3
"8768",2018-08-31 03:30:00,25.4
"8769",2018-08-31 03:45:00,25.4
"8770",2018-08-31 04:00:00,25.3
"8771",2018-08-31 04:15:00,25.4
"8772",2018-08-31 04:30:00,25.4
"8773",2018-08-31 04:45:00,25.5
"8774",2018-08-31 05:00:00,25.5
"8775",2018-08-31 05:15:00,25.5
"8776",2018-08-31 05:30:00,25.4
"8777",2018-08-31 05:45:00,25.7
"8778",2018-08-31 06:00:00,25.7
"8779",2018-08-31 06:15:00,25.7
"8780",2018-08-31 06:30:00,25.7
"8781",2018-08-31 06:45:00,25.8
"8782",2018-08-31 07:00:00,25.6
"8783",2018-08-31 07:15:00,25.8
"8784",2018-08-31 07:30:00,25.9
"8785",2018-08-31 07:45:00,25.9
"8786",2018-08-31 08:00:00,25.9
"8787",2018-08-31 08:15:00,26
"8788",2018-08-31 08:30:00,25.9
"8789",2018-08-31 08:45:00,25.9
"8790",2018-08-31 09:00:00,26
"8791",2018-08-31 09:15:00,26
"8792",2018-08-31 09:30:00,26
"8793",2018-08-31 09:45:00,26.1
"8794",2018-08-31 10:00:00,26
"8795",2018-08-31 10:15:00,26
"8796",2018-08-31 10:30:00,26
"8797",2018-08-31 10:45:00,26
"8798",2018-08-31 11:00:00,26.2
"8799",2018-08-31 11:15:00,26.1
"8800",2018-08-31 11:30:00,26
"8801",2018-08-31 11:45:00,26.1
"8802",2018-08-31 12:00:00,26
"8803",2018-08-31 12:15:00,26.1
"8804",2018-08-31 12:30:00,26
"8805",2018-08-31 12:45:00,26
"8806",2018-08-31 13:00:00,26.2
"8807",2018-08-31 13:15:00,26.2
"8808",2018-08-31 13:30:00,26.2
"8809",2018-08-31 13:45:00,26.1
"8810",2018-08-31 14:00:00,26.1
"8811",2018-08-31 14:15:00,26.2
"8812",2018-08-31 14:30:00,26.2
"8813",2018-08-31 14:45:00,26.2
"8814",2018-08-31 15:00:00,26
"8815",2018-08-31 15:15:00,26.1
"8816",2018-08-31 15:30:00,26
"8817",2018-08-31 15:45:00,26.2
"8818",2018-08-31 16:00:00,26.1
"8819",2018-08-31 16:15:00,26.2
"8820",2018-08-31 16:30:00,26.3
"8821",2018-08-31 16:45:00,26.2
"8822",2018-08-31 17:00:00,26.3
"8823",2018-08-31 17:15:00,26.2
"8824",2018-08-31 17:30:00,26.3
"8825",2018-08-31 17:45:00,26.3
"8826",2018-08-31 18:00:00,26.3
"8827",2018-08-31 18:15:00,26.4
"8828",2018-08-31 18:30:00,26.3
"8829",2018-08-31 18:45:00,26.4
"8830",2018-08-31 19:00:00,26.4
"8831",2018-08-31 19:15:00,26.5
"8832",2018-08-31 19:30:00,26.4
"8833",2018-08-31 19:45:00,26.5
"8834",2018-08-31 20:00:00,26.6
"8835",2018-08-31 20:15:00,26.6
"8836",2018-08-31 20:30:00,26.6
"8837",2018-08-31 20:45:00,26.6
"8838",2018-08-31 21:00:00,26.8
"8839",2018-08-31 21:15:00,26.7
"8840",2018-08-31 21:30:00,26.8
"8841",2018-08-31 21:45:00,26.8
"8842",2018-08-31 22:00:00,26.8
"8843",2018-08-31 22:15:00,26.9
"8844",2018-08-31 22:30:00,27
"8845",2018-08-31 22:45:00,26.9
"8846",2018-08-31 23:00:00,27
"8847",2018-08-31 23:15:00,27
"8848",2018-08-31 23:30:00,27.1
"8849",2018-08-31 23:45:00,27.1
"8850",2018-09-01 00:00:00,27.2
"8851",2018-09-01 00:15:00,27.3
"8852",2018-09-01 00:30:00,27.3
"8853",2018-09-01 00:45:00,27.4
"8854",2018-09-01 01:00:00,27.4
"8855",2018-09-01 01:15:00,27.4
"8856",2018-09-01 01:30:00,27.5
"8857",2018-09-01 01:45:00,27.5
"8858",2018-09-01 02:00:00,27.6
"8859",2018-09-01 02:15:00,27.6
"8860",2018-09-01 02:30:00,27.6
"8861",2018-09-01 02:45:00,27.7
"8862",2018-09-01 03:00:00,27.7
"8863",2018-09-01 03:15:00,27.7
"8864",2018-09-01 03:30:00,27.7
"8865",2018-09-01 03:45:00,27.7
"8866",2018-09-01 04:00:00,27.7
"8867",2018-09-01 04:15:00,27.8
"8868",2018-09-01 04:30:00,27.8
"8869",2018-09-01 04:45:00,27.8
"8870",2018-09-01 05:00:00,28
"8871",2018-09-01 05:15:00,27.9
"8872",2018-09-01 05:30:00,28
"8873",2018-09-01 05:45:00,28
"8874",2018-09-01 06:00:00,28
"8875",2018-09-01 06:15:00,28.1
"8876",2018-09-01 06:30:00,28.1
"8877",2018-09-01 06:45:00,28.1
"8878",2018-09-01 07:00:00,28.1
"8879",2018-09-01 07:15:00,28.3
"8880",2018-09-01 07:30:00,28.2
"8881",2018-09-01 07:45:00,28.2
"8882",2018-09-01 08:00:00,28.2
"8883",2018-09-01 08:15:00,28.2
"8884",2018-09-01 08:30:00,28.3
"8885",2018-09-01 08:45:00,28.3
"8886",2018-09-01 09:00:00,28.2
"8887",2018-09-01 09:15:00,28.3
"8888",2018-09-01 09:30:00,28.3
"8889",2018-09-01 09:45:00,28.3
"8890",2018-09-01 10:00:00,28.3
"8891",2018-09-01 10:15:00,28.3
"8892",2018-09-01 10:30:00,28.3
"8893",2018-09-01 10:45:00,28.3
"8894",2018-09-01 11:00:00,28.3
"8895",2018-09-01 11:15:00,28.4
"8896",2018-09-01 11:30:00,28.3
"8897",2018-09-01 11:45:00,28.3
"8898",2018-09-01 12:00:00,28.3
"8899",2018-09-01 12:15:00,28.3
"8900",2018-09-01 12:30:00,28.3
"8901",2018-09-01 12:45:00,28.3
"8902",2018-09-01 13:00:00,28.3
