"","valuedatetime","datavalue"
"1513",2018-06-30 03:00:00,28.9993333333333
"1514",2018-06-30 03:30:00,29.0613333333333
"1515",2018-06-30 04:00:00,29.052
"1516",2018-06-30 04:30:00,29.0146666666667
"1517",2018-06-30 05:00:00,28.9906666666667
"1518",2018-06-30 05:30:00,28.9793333333333
"1519",2018-06-30 06:00:00,28.8746666666667
"1520",2018-06-30 06:30:00,28.704
"1521",2018-06-30 07:00:00,28.5246666666667
"1522",2018-06-30 07:30:00,28.29
"1523",2018-06-30 08:00:00,28.1626666666667
"1524",2018-06-30 08:30:00,28.0126666666667
"1525",2018-06-30 09:00:00,27.7933333333333
"1526",2018-06-30 09:30:00,27.4566666666667
"1527",2018-06-30 10:00:00,27.0813333333333
"1528",2018-06-30 10:30:00,26.8206666666667
"1529",2018-06-30 11:00:00,26.5386666666667
"1530",2018-06-30 11:30:00,26.1453333333333
"1531",2018-06-30 12:00:00,25.886
"1532",2018-06-30 12:30:00,25.6726666666667
"1533",2018-06-30 13:00:00,25.6006666666667
"1534",2018-06-30 13:30:00,25.4846666666667
"1535",2018-06-30 14:00:00,25.2493333333333
"1536",2018-06-30 14:30:00,25.2586666666667
"1537",2018-06-30 15:00:00,25.2946666666667
"1538",2018-06-30 15:30:00,25.0753333333333
"1539",2018-06-30 16:00:00,24.9273333333333
"1540",2018-06-30 16:30:00,25.014
"1541",2018-06-30 17:00:00,25.0073333333333
"1542",2018-06-30 17:30:00,25.0293333333333
"1543",2018-06-30 18:00:00,25.052
"1544",2018-06-30 18:30:00,25.0313333333333
"1545",2018-06-30 19:00:00,25.1606666666667
"1546",2018-06-30 19:30:00,25.2566666666667
"1547",2018-06-30 20:00:00,25.4733333333333
"1548",2018-06-30 20:30:00,25.7153333333333
"1549",2018-06-30 21:00:00,25.89
"1550",2018-06-30 21:30:00,26.178
"1551",2018-06-30 22:00:00,26.4166666666667
"1552",2018-06-30 22:30:00,26.5946666666667
"1553",2018-06-30 23:00:00,26.786
"1554",2018-06-30 23:30:00,26.966
"1555",2018-07-01 00:00:00,27.1666666666667
"1556",2018-07-01 00:30:00,27.296
"1557",2018-07-01 01:00:00,27.4113333333333
"1558",2018-07-01 01:30:00,27.538
"1559",2018-07-01 02:00:00,27.6173333333333
"1560",2018-07-01 02:30:00,27.6973333333333
"1561",2018-07-01 03:00:00,27.6526666666667
"1562",2018-07-01 03:30:00,27.6773333333333
"1563",2018-07-01 04:00:00,27.7046666666667
"1564",2018-07-01 04:30:00,27.6833333333333
"1565",2018-07-01 05:00:00,27.602
"1566",2018-07-01 05:30:00,27.562
"1567",2018-07-01 06:00:00,27.436
"1568",2018-07-01 06:30:00,27.3873333333333
"1569",2018-07-01 07:00:00,27.3373333333333
"1570",2018-07-01 07:30:00,27.288
"1571",2018-07-01 08:00:00,27.2613333333333
"1572",2018-07-01 08:30:00,27.0786666666667
"1573",2018-07-01 09:00:00,26.9506666666667
"1574",2018-07-01 09:30:00,26.7786666666667
"1575",2018-07-01 10:00:00,26.7306666666667
"1576",2018-07-01 10:30:00,26.666
"1577",2018-07-01 11:00:00,26.698
"1578",2018-07-01 11:30:00,26.792
"1579",2018-07-01 12:00:00,26.8973333333333
"1580",2018-07-01 12:30:00,26.9713333333333
"1581",2018-07-01 13:00:00,27.0826666666667
"1582",2018-07-01 13:30:00,27.098
"1583",2018-07-01 14:00:00,27.186
"1584",2018-07-01 14:30:00,27.2786666666667
"1585",2018-07-01 15:00:00,27.242
"1586",2018-07-01 15:30:00,27.3333333333333
