"","valuedatetime","datavalue"
"1",2018-06-29 06:45:00,51.82
"2",2018-06-29 07:00:00,51.81
"3",2018-06-29 07:15:00,51.81
"4",2018-06-29 07:30:00,51.66
"5",2018-06-29 07:45:00,51.59
"6",2018-06-29 08:00:00,51.36
"7",2018-06-29 08:15:00,50.46
"8",2018-06-29 08:30:00,49.99
"9",2018-06-29 08:45:00,50
"10",2018-06-29 09:00:00,50.4
"11",2018-06-29 09:15:00,50.65
"12",2018-06-29 09:30:00,50.72
"13",2018-06-29 09:45:00,50.98
"14",2018-06-29 10:00:00,48.65
"15",2018-06-29 10:15:00,49.66
"16",2018-06-29 10:30:00,50.98
"17",2018-06-29 10:45:00,51.47
"18",2018-06-29 14:15:00,59.57
"19",2018-06-29 14:30:00,58.63
"20",2018-06-29 14:45:00,58.58
"21",2018-06-29 15:00:00,58.85
"22",2018-06-29 15:15:00,59.98
"23",2018-06-29 15:30:00,60.67
"24",2018-06-29 15:45:00,61.12
