"","valuedatetime","datavalue"
"6961",2018-09-22 23:30:00,NA
"6962",2018-09-23 00:00:00,NA
"6963",2018-09-23 00:30:00,NA
"6964",2018-09-23 01:00:00,NA
"6965",2018-09-23 01:30:00,NA
"6966",2018-09-23 02:00:00,NA
"6967",2018-09-23 02:30:00,NA
"6968",2018-09-23 03:00:00,NA
"6969",2018-09-23 03:30:00,NA
"6970",2018-09-23 04:00:00,NA
"6971",2018-09-23 04:30:00,NA
"6972",2018-09-23 05:00:00,NA
"6973",2018-09-23 05:30:00,NA
"6974",2018-09-23 06:00:00,NA
"6975",2018-09-23 06:30:00,NA
"6976",2018-09-23 07:00:00,NA
"6977",2018-09-23 07:30:00,NA
"6978",2018-09-23 08:00:00,NA
"6979",2018-09-23 08:30:00,NA
"6980",2018-09-23 09:00:00,NA
"6981",2018-09-23 09:30:00,NA
"6982",2018-09-23 10:00:00,NA
"6983",2018-09-23 10:30:00,NA
"6984",2018-09-23 11:00:00,NA
"6985",2018-09-23 11:30:00,NA
"6986",2018-09-23 12:00:00,NA
"6987",2018-09-23 12:30:00,NA
"6988",2018-09-23 13:00:00,NA
"6989",2018-09-23 13:30:00,NA
"6990",2018-09-23 14:00:00,NA
"6991",2018-09-23 14:30:00,NA
"6992",2018-09-23 15:00:00,NA
"6993",2018-09-23 15:30:00,NA
"6994",2018-09-23 16:00:00,NA
"6995",2018-09-23 16:30:00,NA
"6996",2018-09-23 17:00:00,NA
"6997",2018-09-23 17:30:00,NA
"6998",2018-09-23 18:00:00,NA
"6999",2018-09-23 18:30:00,NA
"7000",2018-09-23 19:00:00,NA
"7001",2018-09-23 19:30:00,NA
"7002",2018-09-23 20:00:00,NA
"7003",2018-09-23 20:30:00,NA
"7004",2018-09-23 21:00:00,NA
"7005",2018-09-23 21:30:00,NA
"7006",2018-09-23 22:00:00,NA
"7007",2018-09-23 22:30:00,NA
"7008",2018-09-23 23:00:00,NA
"7009",2018-09-23 23:30:00,NA
"7010",2018-09-24 00:00:00,NA
"7011",2018-09-24 00:30:00,NA
"7012",2018-09-24 01:00:00,NA
"7013",2018-09-24 01:30:00,NA
"7014",2018-09-24 02:00:00,NA
"7015",2018-09-24 02:30:00,NA
"7016",2018-09-24 03:00:00,NA
"7017",2018-09-24 03:30:00,NA
"7018",2018-09-24 04:00:00,NA
"7019",2018-09-24 04:30:00,NA
"7020",2018-09-24 05:00:00,NA
"7021",2018-09-24 05:30:00,NA
"7022",2018-09-24 06:00:00,NA
"7023",2018-09-24 06:30:00,NA
"7024",2018-09-24 07:00:00,NA
"7025",2018-09-24 07:30:00,NA
"7026",2018-09-24 08:00:00,NA
"7027",2018-09-24 08:30:00,NA
"7028",2018-09-24 09:00:00,NA
"7029",2018-09-24 09:30:00,NA
"7030",2018-09-24 10:00:00,NA
"7031",2018-09-24 10:30:00,NA
"7032",2018-09-24 11:00:00,NA
"7033",2018-09-24 11:30:00,NA
"7034",2018-09-24 12:00:00,NA
"7035",2018-09-24 12:30:00,NA
"7036",2018-09-24 13:00:00,NA
"7037",2018-09-24 13:30:00,NA
"7038",2018-09-24 14:00:00,NA
"7039",2018-09-24 14:30:00,NA
"7040",2018-09-24 15:00:00,NA
"7041",2018-09-24 15:30:00,NA
"7042",2018-09-24 16:00:00,NA
"7043",2018-09-24 16:30:00,NA
"7044",2018-09-24 17:00:00,NA
"7045",2018-09-24 17:30:00,NA
"7046",2018-09-24 18:00:00,NA
"7047",2018-09-24 18:30:00,NA
"7048",2018-09-24 19:00:00,NA
"7049",2018-09-24 19:30:00,NA
"7050",2018-09-24 20:00:00,NA
"7051",2018-09-24 20:30:00,NA
