"","valuedatetime","datavalue"
"6945",2018-09-22 14:00:00,40.86
"6946",2018-09-22 14:30:00,34.15
"6947",2018-09-22 15:00:00,33.57
"6948",2018-09-22 15:30:00,28.7
"6949",2018-09-22 16:00:00,33.23
"6950",2018-09-22 16:30:00,49
"6951",2018-09-22 17:00:00,25.95
"6952",2018-09-22 17:30:00,35.68
"6953",2018-09-22 18:00:00,44.18
"6954",2018-09-22 18:30:00,32.82
"6955",2018-09-22 19:00:00,38.06
"6956",2018-09-22 19:30:00,51.08
"6957",2018-09-22 20:00:00,33.89
"6958",2018-09-22 20:30:00,29.41
"6959",2018-09-22 21:00:00,47.68
"6960",2018-09-22 21:30:00,52.94
"6961",2018-09-22 22:00:00,65.12
"6962",2018-09-22 22:30:00,57.12
"6963",2018-09-22 23:00:00,54.92
"6964",2018-09-22 23:30:00,55.12
"6965",2018-09-23 00:00:00,34.64
"6966",2018-09-23 00:30:00,37.83
"6967",2018-09-23 01:00:00,37.2
"6968",2018-09-23 01:30:00,46.73
"6969",2018-09-23 02:00:00,52.92
"6970",2018-09-23 02:30:00,48.12
"6971",2018-09-23 03:00:00,68.93
"6972",2018-09-23 03:30:00,36.49
"6973",2018-09-23 04:00:00,53.49
"6974",2018-09-23 04:30:00,34.06
"6975",2018-09-23 05:00:00,46.33
"6976",2018-09-23 05:30:00,36.83
"6977",2018-09-23 06:00:00,45.18
"6978",2018-09-23 06:30:00,54.26
"6979",2018-09-23 07:00:00,60.3
"6980",2018-09-23 07:30:00,44.28
"6981",2018-09-23 08:00:00,78.07
"6982",2018-09-23 08:30:00,44.85
"6983",2018-09-23 09:00:00,47.04
"6984",2018-09-23 09:30:00,97.49
"6985",2018-09-23 10:00:00,65.77
"6986",2018-09-23 10:30:00,84.7
"6987",2018-09-23 11:00:00,47.74
"6988",2018-09-23 11:30:00,42.33
"6989",2018-09-23 12:00:00,49.58
"6990",2018-09-23 12:30:00,49.11
"6991",2018-09-23 13:00:00,58.13
"6992",2018-09-23 13:30:00,65.13
"6993",2018-09-23 14:00:00,84.2
"6994",2018-09-23 14:30:00,53.73
"6995",2018-09-23 15:00:00,42.16
"6996",2018-09-23 15:30:00,52.44
"6997",2018-09-23 16:00:00,50.26
"6998",2018-09-23 16:30:00,51.02
"6999",2018-09-23 17:00:00,70.41
"7000",2018-09-23 17:30:00,74.46
"7001",2018-09-23 18:00:00,67.11
"7002",2018-09-23 18:30:00,57.83
"7003",2018-09-23 19:00:00,74
"7004",2018-09-23 19:30:00,54.41
"7005",2018-09-23 20:00:00,72.94
"7006",2018-09-23 20:30:00,83.69
"7007",2018-09-23 21:00:00,86.86
"7008",2018-09-23 21:30:00,90.19
"7009",2018-09-23 22:00:00,92.69
"7010",2018-09-23 22:30:00,75.65
"7011",2018-09-23 23:00:00,89.88
"7012",2018-09-23 23:30:00,82.88
"7013",2018-09-24 00:00:00,100.66
"7014",2018-09-24 00:30:00,68.84
"7015",2018-09-24 01:00:00,66.75
"7016",2018-09-24 01:30:00,79.48
"7017",2018-09-24 02:00:00,93.59
"7018",2018-09-24 02:30:00,78.73
"7019",2018-09-24 03:00:00,73.12
"7020",2018-09-24 03:30:00,60.84
"7021",2018-09-24 04:00:00,74.54
"7022",2018-09-24 04:30:00,65.67
"7023",2018-09-24 05:00:00,80.67
"7024",2018-09-24 05:30:00,89.92
"7025",2018-09-24 06:00:00,75.03
"7026",2018-09-24 06:30:00,76.07
"7027",2018-09-24 07:00:00,86.03
"7028",2018-09-24 07:30:00,73.83
"7029",2018-09-24 08:00:00,76.14
"7030",2018-09-24 08:30:00,95.17
"7031",2018-09-24 09:00:00,65.65
"7032",2018-09-24 09:30:00,55.7
"7033",2018-09-24 10:00:00,58.39
"7034",2018-09-24 10:30:00,62.02
"7035",2018-09-24 11:00:00,56.53
"7036",2018-09-24 11:30:00,62.88
"7037",2018-09-24 12:00:00,66.5
"7038",2018-09-24 12:30:00,85.99
"7039",2018-09-24 13:00:00,84.75
"7040",2018-09-24 13:30:00,67.95
"7041",2018-09-24 14:00:00,72.9
"7042",2018-09-24 14:30:00,85.61
"7043",2018-09-24 15:00:00,78.78
"7044",2018-09-24 15:30:00,81.29
"7045",2018-09-24 16:00:00,81.7
"7046",2018-09-24 16:30:00,75.33
"7047",2018-09-24 17:00:00,88.94
"7048",2018-09-24 17:30:00,84.94
"7049",2018-09-24 18:00:00,101.89
"7050",2018-09-24 18:30:00,82.05
"7051",2018-09-24 19:00:00,71.99
"7052",2018-09-24 19:30:00,122.95
"7053",2018-09-24 20:00:00,97.83
"7054",2018-09-24 20:30:00,94.67
"7055",2018-09-24 21:00:00,67.38
"7056",2018-09-24 21:30:00,67.12
"7057",2018-09-24 22:00:00,96.52
"7058",2018-09-24 22:30:00,77.74
"7059",2018-09-24 23:00:00,87.2
"7060",2018-09-24 23:30:00,94.81
"7061",2018-09-25 00:00:00,101.25
"7062",2018-09-25 00:30:00,83.02
"7063",2018-09-25 01:00:00,102.64
"7064",2018-09-25 01:30:00,75.18
"7065",2018-09-25 02:00:00,89.63
"7066",2018-09-25 02:30:00,82.72
"7067",2018-09-25 03:00:00,114.75
"7068",2018-09-25 03:30:00,85.44
"7069",2018-09-25 04:00:00,77.98
"7070",2018-09-25 04:30:00,NA
"7071",2018-09-25 05:00:00,NA
"7072",2018-09-25 05:30:00,NA
"7073",2018-09-25 06:00:00,NA
"7074",2018-09-25 06:30:00,NA
"7075",2018-09-25 07:00:00,NA
"7076",2018-09-25 07:30:00,NA
"7077",2018-09-25 08:00:00,NA
"7078",2018-09-25 08:30:00,NA
"7079",2018-09-25 09:00:00,NA
"7080",2018-09-25 09:30:00,NA
"7081",2018-09-25 10:00:00,NA
"7082",2018-09-25 10:30:00,NA
"7083",2018-09-25 11:00:00,NA
"7084",2018-09-25 11:30:00,NA
"7085",2018-09-25 12:00:00,NA
"7086",2018-09-25 12:30:00,NA
"7087",2018-09-25 13:00:00,NA
"7088",2018-09-25 13:30:00,NA
"7089",2018-09-25 14:00:00,NA
"7090",2018-09-25 14:30:00,NA
"7091",2018-09-25 15:00:00,NA
"7092",2018-09-25 15:30:00,NA
"7093",2018-09-25 16:00:00,NA
"7094",2018-09-25 16:30:00,NA
"7095",2018-09-25 17:00:00,NA
"7096",2018-09-25 17:30:00,NA
"7097",2018-09-25 18:00:00,NA
"7098",2018-09-25 18:30:00,NA
"7099",2018-09-25 19:00:00,NA
"7100",2018-09-25 19:30:00,NA
"7101",2018-09-25 20:00:00,NA
"7102",2018-09-25 20:30:00,NA
"7103",2018-09-25 21:00:00,NA
"7104",2018-09-25 21:30:00,NA
"7105",2018-09-25 22:00:00,NA
"7106",2018-09-25 22:30:00,NA
"7107",2018-09-25 23:00:00,NA
"7108",2018-09-25 23:30:00,NA
"7109",2018-09-26 00:00:00,NA
"7110",2018-09-26 00:30:00,NA
"7111",2018-09-26 01:00:00,NA
"7112",2018-09-26 01:30:00,NA
"7113",2018-09-26 02:00:00,NA
"7114",2018-09-26 02:30:00,NA
"7115",2018-09-26 03:00:00,NA
"7116",2018-09-26 03:30:00,NA
"7117",2018-09-26 04:00:00,NA
"7118",2018-09-26 04:30:00,NA
"7119",2018-09-26 05:00:00,NA
"7120",2018-09-26 05:30:00,NA
"7121",2018-09-26 06:00:00,NA
"7122",2018-09-26 06:30:00,NA
"7123",2018-09-26 07:00:00,NA
"7124",2018-09-26 07:30:00,NA
"7125",2018-09-26 08:00:00,NA
"7126",2018-09-26 08:30:00,NA
"7127",2018-09-26 09:00:00,NA
"7128",2018-09-26 09:30:00,NA
"7129",2018-09-26 10:00:00,NA
"7130",2018-09-26 10:30:00,NA
"7131",2018-09-26 11:00:00,NA
"7132",2018-09-26 11:30:00,NA
"7133",2018-09-26 12:00:00,NA
"7134",2018-09-26 12:30:00,NA
"7135",2018-09-26 13:00:00,NA
"7136",2018-09-26 13:30:00,NA
"7137",2018-09-26 14:00:00,NA
