"","valuedatetime","datavalue"
"5845",2018-08-30 16:00:00,90.4
"5846",2018-08-30 16:30:00,90.5
"5847",2018-08-30 17:00:00,90.5
"5848",2018-08-30 17:30:00,90.5
"5849",2018-08-30 18:00:00,90.6
"5850",2018-08-30 18:30:00,90.6
"5851",2018-08-30 19:00:00,90.6
"5852",2018-08-30 19:30:00,90.6
"5853",2018-08-30 20:00:00,90.5
"5854",2018-08-30 20:30:00,90.5
"5855",2018-08-30 21:00:00,90.6
"5856",2018-08-30 21:30:00,90.5
"5857",2018-08-30 22:00:00,90.5
"5858",2018-08-30 22:30:00,90.4
"5859",2018-08-30 23:00:00,90.4
"5860",2018-08-30 23:30:00,90.4
"5861",2018-08-31 00:00:00,90.3
"5862",2018-08-31 00:30:00,90.3
"5863",2018-08-31 01:00:00,90.2
"5864",2018-08-31 01:30:00,90.3
"5865",2018-08-31 02:00:00,90.3
"5866",2018-08-31 02:30:00,90.2
"5867",2018-08-31 03:00:00,90.1
"5868",2018-08-31 03:30:00,89.9
"5869",2018-08-31 04:00:00,89.7
"5870",2018-08-31 04:30:00,89.5
"5871",2018-08-31 05:00:00,89.2
"5872",2018-08-31 05:30:00,89
"5873",2018-08-31 06:00:00,88.8
"5874",2018-08-31 06:30:00,88.6
"5875",2018-08-31 07:00:00,88.4
"5876",2018-08-31 07:30:00,88.2
"5877",2018-08-31 08:00:00,87.9
"5878",2018-08-31 08:30:00,87.7
"5879",2018-08-31 09:00:00,87
"5880",2018-08-31 09:30:00,86.5
"5881",2018-08-31 10:00:00,85.8
"5882",2018-08-31 10:30:00,85.3
"5883",2018-08-31 11:00:00,84.7
"5884",2018-08-31 11:30:00,84.2
"5885",2018-08-31 12:00:00,83.6
"5886",2018-08-31 12:30:00,83.4
"5887",2018-08-31 13:00:00,83
"5888",2018-08-31 13:30:00,82.7
"5889",2018-08-31 14:00:00,82.3
"5890",2018-08-31 14:30:00,82.1
"5891",2018-08-31 15:00:00,81.8
"5892",2018-08-31 15:30:00,81.6
"5893",2018-08-31 16:00:00,81.3
"5894",2018-08-31 16:30:00,81.1
"5895",2018-08-31 17:00:00,81
"5896",2018-08-31 17:30:00,80.8
"5897",2018-08-31 18:00:00,80.8
"5898",2018-08-31 18:30:00,80.7
"5899",2018-08-31 19:00:00,80.7
"5900",2018-08-31 19:30:00,80.6
"5901",2018-08-31 20:00:00,80.7
"5902",2018-08-31 20:30:00,80.7
"5903",2018-08-31 21:00:00,80.6
"5904",2018-08-31 21:30:00,80.7
"5905",2018-08-31 22:00:00,80.7
"5906",2018-08-31 22:30:00,80.8
"5907",2018-08-31 23:00:00,80.8
"5908",2018-08-31 23:30:00,81
"5909",2018-09-01 00:00:00,81.1
"5910",2018-09-01 00:30:00,81.2
"5911",2018-09-01 01:00:00,81.3
"5912",2018-09-01 01:30:00,81.4
"5913",2018-09-01 02:00:00,81.7
"5914",2018-09-01 02:30:00,81.9
"5915",2018-09-01 03:00:00,82
"5916",2018-09-01 03:30:00,82.1
"5917",2018-09-01 04:00:00,82.3
"5918",2018-09-01 04:30:00,82.4
"5919",2018-09-01 05:00:00,82.5
"5920",2018-09-01 05:30:00,82.7
"5921",2018-09-01 06:00:00,82.8
"5922",2018-09-01 06:30:00,83
"5923",2018-09-01 07:00:00,83.1
"5924",2018-09-01 07:30:00,83.3
"5925",2018-09-01 08:00:00,83.5
"5926",2018-09-01 08:30:00,83.7
"5927",2018-09-01 09:00:00,83.9
"5928",2018-09-01 09:30:00,84.1
"5929",2018-09-01 10:00:00,84.2
"5930",2018-09-01 10:30:00,84.4
"5931",2018-09-01 11:00:00,84.6
"5932",2018-09-01 11:30:00,84.7
"5933",2018-09-01 12:00:00,84.8
"5934",2018-09-01 12:30:00,85
"5935",2018-09-01 13:00:00,85.1
"5936",2018-09-01 13:30:00,85.2
"5937",2018-09-01 14:00:00,85.2
"5938",2018-09-01 14:30:00,85.4
"5939",2018-09-01 15:00:00,85.5
"5940",2018-09-01 15:30:00,85.6
"5941",2018-09-01 16:00:00,85.8
"5942",2018-09-01 16:30:00,85.9
"5943",2018-09-01 17:00:00,86
"5944",2018-09-01 17:30:00,86.1
"5945",2018-09-01 18:00:00,86.2
"5946",2018-09-01 18:30:00,86.3
"5947",2018-09-01 19:00:00,86.5
"5948",2018-09-01 19:30:00,86.6
"5949",2018-09-01 20:00:00,86.7
"5950",2018-09-01 20:30:00,86.8
