"","site.ID","datetimeAK","Q","day","fDOM","SPC","Turb","NO3","DateTime","MeanDischarge","nitrateuM","fDOM.QSU.mn","SpCond.uScm.mn","Turbidity.FNU.mn"
"1","VAUL",2019-07-29 13:30:00,102.743442480682,2019-07-29,236.412,523.27,6.692,12.5241592718191,2019-07-29 13:30:00,102.743442480682,12.5241592718191,236.412,523.27,6.692
"2","VAUL",2019-07-29 13:45:00,103.345454838967,2019-07-29,236.488,523.07,6.738,12.4541009359582,2019-07-29 13:45:00,103.345454838967,12.4541009359582,236.488,523.07,6.738
"3","VAUL",2019-07-29 14:00:00,103.746796411157,2019-07-29,236.705,522.93,6.507,12.4287857389664,2019-07-29 14:00:00,103.746796411157,12.4287857389664,236.705,522.93,6.507
"4","VAUL",2019-07-29 14:15:00,103.746796411157,2019-07-29,236.947,522.9,6.539,12.4358504451037,2019-07-29 14:15:00,103.746796411157,12.4358504451037,236.947,522.9,6.539
"5","VAUL",2019-07-29 14:30:00,104.148137983347,2019-07-29,236.952,522.81,6.572,12.3687357367999,2019-07-29 14:30:00,104.148137983347,12.3687357367999,236.952,522.81,6.572
"6","VAUL",2019-07-29 14:45:00,103.947467197252,2019-07-29,236.66,522.63,6.492,12.2980886754276,2019-07-29 14:45:00,103.947467197252,12.2980886754276,236.66,522.63,6.492
"7","VAUL",2019-07-29 15:00:00,103.746796411157,2019-07-29,236.555,522.41,6.418,12.2539342620698,2019-07-29 15:00:00,103.746796411157,12.2539342620698,236.555,522.41,6.418
"8","VAUL",2019-07-29 15:15:00,103.947467197252,2019-07-29,236.78,522.07,6.297,12.317516617305,2019-07-29 15:15:00,103.947467197252,12.317516617305,236.78,522.07,6.297
"9","VAUL",2019-07-29 15:30:00,104.148137983347,2019-07-29,236.92,521.95,6.379,12.2451033793983,2019-07-29 15:30:00,104.148137983347,12.2451033793983,236.92,521.95,6.379
"10","VAUL",2019-07-29 15:45:00,103.947467197252,2019-07-29,236.829,521.77,6.399,12.3157504407706,2019-07-29 15:45:00,103.947467197252,12.3157504407706,236.829,521.77,6.399
"11","VAUL",2019-07-29 16:00:00,103.746796411157,2019-07-29,237.016,521.49,6.41,12.206836221155,2019-07-29 16:00:00,103.746796411157,12.206836221155,237.016,521.49,6.41
"12","VAUL",2019-07-29 16:15:00,103.746796411157,2019-07-29,232.36,521.31,10.471,12.1514960230799,2019-07-29 16:15:00,103.746796411157,12.1514960230799,232.36,521.31,10.471
"13","VAUL",2019-07-29 16:30:00,103.947467197252,2019-07-29,230.286,521.18,11.181,12.1638592588201,2019-07-29 16:30:00,103.947467197252,12.1638592588201,230.286,521.18,11.181
"14","VAUL",2019-07-29 16:45:00,104.148137983347,2019-07-29,235.965,521.02,6.802,12.1856421027433,2019-07-29 16:45:00,104.148137983347,12.1856421027433,235.965,521.02,6.802
"15","VAUL",2019-07-29 17:00:00,103.546125625062,2019-07-29,236.911,520.79,6.202,12.2127234762693,2019-07-29 17:00:00,103.546125625062,12.2127234762693,236.911,520.79,6.202
"16","VAUL",2019-07-29 17:15:00,104.750150341632,2019-07-29,237.198,520.75,6.279,12.0855587657991,2019-07-29 17:15:00,104.750150341632,12.0855587657991,237.198,520.75,6.279
"17","VAUL",2019-07-29 17:30:00,105.552833486013,2019-07-29,235.842,516.4,6.704,12.0896798443791,2019-07-29 17:30:00,105.552833486013,12.0896798443791,235.842,516.4,6.704
"18","VAUL",2019-07-29 17:45:00,107.158199774773,2019-07-29,235.652,515.85,6.878,11.9448533685657,2019-07-29 17:45:00,107.158199774773,11.9448533685657,235.652,515.85,6.878
"19","VAUL",2019-07-29 18:00:00,107.158199774773,2019-07-29,203.583,511.63,35.254,11.5486410993691,2019-07-29 18:00:00,107.158199774773,11.5486410993691,203.583,511.63,35.254
"20","VAUL",2019-07-29 18:15:00,106.756858202583,2019-07-29,214.958,509.98,21.851,11.6393048281303,2019-07-29 18:15:00,106.756858202583,11.6393048281303,214.958,509.98,21.851
"21","VAUL",2019-07-29 18:30:00,106.154845844298,2019-07-29,226.547,510.84,12.335,11.605158748467,2019-07-29 18:30:00,106.154845844298,11.605158748467,226.547,510.84,12.335
"22","VAUL",2019-07-29 18:45:00,106.556187416488,2019-07-29,230.948,511.08,8.398,11.7081857129683,2019-07-29 18:45:00,106.556187416488,11.7081857129683,230.948,511.08,8.398
"23","VAUL",2019-07-29 19:00:00,105.954175058203,2019-07-29,232.178,510.97,7.318,11.7164278701285,2019-07-29 19:00:00,105.954175058203,11.7164278701285,232.178,510.97,7.318
"24","VAUL",2019-07-29 19:15:00,106.154845844298,2019-07-29,232.451,510.77,7.04,11.7505739497917,2019-07-29 19:15:00,106.154845844298,11.7505739497917,232.451,510.77,7.04
"25","VAUL",2019-07-29 19:30:00,106.756858202583,2019-07-29,232.192,510.08,7.03,11.6622651230763,2019-07-29 19:30:00,106.756858202583,11.6622651230763,232.192,510.08,7.03
"26","VAUL",2019-07-29 19:45:00,106.957528988678,2019-07-29,231.507,508.97,7.413,11.6081023760242,2019-07-29 19:45:00,106.957528988678,11.6081023760242,231.507,508.97,7.413
"27","VAUL",2019-07-29 20:00:00,107.158199774773,2019-07-29,230.982,508.05,6.99,11.5456974718119,2019-07-29 20:00:00,107.158199774773,11.5456974718119,230.982,508.05,6.99
"28","VAUL",2019-07-29 20:15:00,107.358870560869,2019-07-29,231.028,507.71,6.863,11.5433425697662,2019-07-29 20:15:00,107.358870560869,11.5433425697662,231.028,507.71,6.863
"29","VAUL",2019-07-29 20:30:00,107.559541346964,2019-07-29,231.008,507.58,6.901,11.5003656074313,2019-07-29 20:30:00,107.559541346964,11.5003656074313,231.008,507.58,6.901
"30","VAUL",2019-07-29 20:45:00,107.960882919154,2019-07-29,231.087,507.71,6.888,11.3808543286097,2019-07-29 20:45:00,107.960882919154,11.3808543286097,231.087,507.71,6.888
"31","VAUL",2019-07-29 21:00:00,107.559541346964,2019-07-29,231.23,508.28,6.791,11.4020484470214,2019-07-29 21:00:00,107.559541346964,11.4020484470214,231.23,508.28,6.791
"32","VAUL",2019-07-29 21:15:00,107.158199774773,2019-07-29,231.363,509.15,6.729,11.5074303135686,2019-07-29 21:15:00,107.158199774773,11.5074303135686,231.363,509.15,6.729
"33","VAUL",2019-07-29 21:30:00,107.760212133059,2019-07-29,231.385,509.79,6.773,11.3484744254807,2019-07-29 21:30:00,107.760212133059,11.3484744254807,231.385,509.79,6.773
"34","VAUL",2019-07-29 21:45:00,106.957528988678,2019-07-29,231.185,509.87,6.64,11.5186160982858,2019-07-29 21:45:00,106.957528988678,11.5186160982858,231.185,509.87,6.64
"35","VAUL",2019-07-29 22:00:00,107.559541346964,2019-07-29,230.794,509.15,6.68,11.415000408273,2019-07-29 22:00:00,107.559541346964,11.415000408273,230.794,509.15,6.68
