"","valuedatetime","datavalue"
"1",2019-08-10 10:30:00,76.14
"2",2019-08-10 10:45:00,75.99
"3",2019-08-10 11:00:00,75.92
"4",2019-08-10 11:15:00,75.74
"5",2019-08-10 11:30:00,75.87
"6",2019-08-10 11:45:00,75.82
"7",2019-08-10 12:00:00,75.49
"8",2019-08-10 12:15:00,75.56
"9",2019-08-10 12:30:00,75.45
"10",2019-08-10 12:45:00,75.14
"11",2019-08-10 13:00:00,75.04
"12",2019-08-10 13:15:00,74.97
"13",2019-08-10 13:30:00,74.93
"14",2019-08-10 13:45:00,74.79
"15",2019-08-10 14:00:00,74.53
"16",2019-08-10 14:15:00,74.61
"17",2019-08-10 14:30:00,74.38
"18",2019-08-10 14:45:00,74.28
"19",2019-08-10 15:00:00,74.29
"20",2019-08-10 15:15:00,73.61
"21",2019-08-10 15:30:00,73.39
"22",2019-08-10 15:45:00,73.37
"23",2019-08-10 16:00:00,73.41
"24",2019-08-10 16:15:00,73.55
"25",2019-08-10 16:30:00,73.47
"26",2019-08-10 16:45:00,74.75
"27",2019-08-10 17:00:00,75.25
"28",2019-08-10 17:15:00,75.73
"29",2019-08-10 17:30:00,76.38
"30",2019-08-10 17:45:00,77.54
"31",2019-08-10 18:00:00,78.17
"32",2019-08-10 18:15:00,78.63
"33",2019-08-10 18:30:00,71.9
"34",2019-08-10 18:45:00,79.81
"35",2019-08-10 19:00:00,80.21
"36",2019-08-10 19:15:00,80.76
"37",2019-08-10 19:30:00,80.92
"38",2019-08-10 19:45:00,81.27
"39",2019-08-10 20:00:00,81.57
"40",2019-08-10 20:15:00,81.96
"41",2019-08-10 20:30:00,81.88
"42",2019-08-10 20:45:00,82.33
"43",2019-08-10 21:00:00,82.43
"44",2019-08-10 21:15:00,82.59
"45",2019-08-10 21:30:00,82.38
"46",2019-08-10 21:45:00,82.9
"47",2019-08-10 22:00:00,82.99
"48",2019-08-10 22:15:00,83.24
"49",2019-08-10 22:30:00,83.04
"50",2019-08-10 22:45:00,83.1
"51",2019-08-10 23:00:00,83.19
"52",2019-08-10 23:15:00,82.97
"53",2019-08-10 23:30:00,83.1
"54",2019-08-10 23:45:00,83.07
"55",2019-08-11 00:00:00,83.18
"56",2019-08-11 00:15:00,83.28
"57",2019-08-11 00:30:00,83.1
"58",2019-08-11 00:45:00,83.03
"59",2019-08-11 01:00:00,82.91
"60",2019-08-11 01:15:00,82.9
"61",2019-08-11 01:30:00,82.89
"62",2019-08-11 01:45:00,82.73
"63",2019-08-11 02:00:00,82.87
"64",2019-08-11 02:15:00,82.2
"65",2019-08-11 02:30:00,82.78
"66",2019-08-11 02:45:00,82.73
"67",2019-08-11 03:00:00,82.47
"68",2019-08-11 03:15:00,82.52
"69",2019-08-11 03:30:00,82.53
"70",2019-08-11 03:45:00,82.47
"71",2019-08-11 04:00:00,82.48
"72",2019-08-11 04:15:00,82.42
"73",2019-08-11 04:30:00,82.32
"74",2019-08-11 04:45:00,82.16
"75",2019-08-11 05:00:00,82.12
"76",2019-08-11 05:15:00,82.14
"77",2019-08-11 05:30:00,82.15
"78",2019-08-11 05:45:00,82.12
"79",2019-08-11 06:00:00,82.09
"80",2019-08-11 06:15:00,82.16
"81",2019-08-11 06:30:00,82.2
"82",2019-08-11 06:45:00,82.22
"83",2019-08-11 07:00:00,79.28
"84",2019-08-11 07:15:00,81.89
"85",2019-08-11 07:30:00,82.05
"86",2019-08-11 07:45:00,82.12
"87",2019-08-11 08:00:00,82.32
"88",2019-08-11 08:15:00,82.1
"89",2019-08-11 08:30:00,82.26
"90",2019-08-11 08:45:00,82.31
"91",2019-08-11 09:00:00,82.3
"92",2019-08-11 09:15:00,82.26
"93",2019-08-11 09:30:00,82.19
"94",2019-08-11 09:45:00,82.15
"95",2019-08-11 10:00:00,82.02
"96",2019-08-11 10:15:00,81.96
"97",2019-08-11 10:30:00,81.75
"98",2019-08-11 10:45:00,81.63
"99",2019-08-11 11:00:00,81.48
"100",2019-08-11 11:15:00,81.52
"101",2019-08-11 11:30:00,81.22
"102",2019-08-11 11:45:00,81.05
"103",2019-08-11 12:00:00,80.84
"104",2019-08-11 12:15:00,80.63
"105",2019-08-11 12:30:00,79.14
"106",2019-08-11 12:45:00,80.12
"107",2019-08-11 13:00:00,80.11
"108",2019-08-11 13:15:00,80.01
"109",2019-08-11 13:30:00,79.77
"110",2019-08-11 13:45:00,79.71
"111",2019-08-11 14:00:00,79.6
"112",2019-08-11 14:15:00,79.44
"113",2019-08-11 14:30:00,79.26
"114",2019-08-11 14:45:00,79.08
"115",2019-08-11 15:00:00,78.75
"116",2019-08-11 15:15:00,78.28
"117",2019-08-11 15:30:00,78.42
"118",2019-08-11 15:45:00,78.28
"119",2019-08-11 16:00:00,78.11
"120",2019-08-11 16:15:00,77.94
"121",2019-08-11 16:30:00,77.75
"122",2019-08-11 16:45:00,77.69
"123",2019-08-11 17:00:00,77.51
"124",2019-08-11 17:15:00,77.46
"125",2019-08-11 17:30:00,77.38
"126",2019-08-11 17:45:00,77.33
"127",2019-08-11 18:00:00,77.21
"128",2019-08-11 18:15:00,76.97
"129",2019-08-11 18:30:00,76.88
"130",2019-08-11 18:45:00,76.67
"131",2019-08-11 19:00:00,76.86
"132",2019-08-11 19:15:00,76.52
"133",2019-08-11 19:30:00,76.49
"134",2019-08-11 19:45:00,76.35
"135",2019-08-11 20:00:00,76.31
