"","valuedatetime","datavalue"
"1",2019-08-13 16:30:00,5.19
"2",2019-08-13 16:45:00,5.53
"3",2019-08-13 17:00:00,5.94
"4",2019-08-13 17:15:00,6.51
"5",2019-08-13 17:30:00,8.39
"6",2019-08-13 17:45:00,9.39
"7",2019-08-13 18:00:00,14.34
"8",2019-08-13 18:15:00,14.97
"9",2019-08-13 18:30:00,15.05
"10",2019-08-13 18:45:00,16.85
"11",2019-08-13 19:00:00,18.62
"12",2019-08-13 19:15:00,17.68
"13",2019-08-13 19:30:00,21.77
"14",2019-08-13 19:45:00,26.36
"15",2019-08-13 20:00:00,26.68
"16",2019-08-13 20:15:00,28.36
"17",2019-08-13 20:30:00,28.62
"18",2019-08-13 20:45:00,29.61
"19",2019-08-13 21:00:00,28.03
"20",2019-08-13 21:15:00,28.68
"21",2019-08-13 21:30:00,27.06
"22",2019-08-13 21:45:00,27.76
"23",2019-08-13 22:00:00,24.1
"24",2019-08-13 22:15:00,21.93
"25",2019-08-13 22:30:00,20.6
"26",2019-08-13 22:45:00,20.45
"27",2019-08-13 23:00:00,19.36
"28",2019-08-13 23:15:00,18.43
"29",2019-08-13 23:30:00,17.49
"30",2019-08-13 23:45:00,16.3
"31",2019-08-14 00:30:00,13.6
"32",2019-08-14 00:45:00,12.67
"33",2019-08-14 01:00:00,12.32
"34",2019-08-14 01:15:00,11.9
"35",2019-08-14 01:30:00,11.18
"36",2019-08-14 01:45:00,10.88
"37",2019-08-14 02:00:00,10.18
"38",2019-08-14 02:15:00,9.78
"39",2019-08-14 02:30:00,9.29
"40",2019-08-14 02:45:00,9.01
"41",2019-08-14 03:00:00,8.63
"42",2019-08-14 03:15:00,8.93
"43",2019-08-14 03:30:00,9.61
"44",2019-08-14 03:45:00,8.58
"45",2019-08-14 04:00:00,7.88
"46",2019-08-14 04:15:00,7.72
"47",2019-08-14 04:30:00,7.67
"48",2019-08-14 04:45:00,7.59
"49",2019-08-14 05:00:00,7.42
"50",2019-08-14 05:15:00,7.73
"51",2019-08-14 05:30:00,7.24
"52",2019-08-14 05:45:00,7.02
"53",2019-08-14 06:00:00,6.31
"54",2019-08-14 06:15:00,6.69
"55",2019-08-14 06:30:00,6.78
"56",2019-08-14 06:45:00,6.32
"57",2019-08-14 07:00:00,6.18
"58",2019-08-14 07:15:00,6.47
"59",2019-08-14 07:30:00,6.03
"60",2019-08-14 07:45:00,6.17
