"","valuedatetime","datavalue"
"13847",2019-09-20 21:15:00,87.5
"13848",2019-09-20 21:30:00,87.5
"13849",2019-09-20 21:45:00,87.72
"13850",2019-09-20 22:00:00,87.73
"13851",2019-09-20 22:15:00,87.73
"13852",2019-09-20 22:30:00,87.74
"13853",2019-09-20 22:45:00,87.79
"13854",2019-09-20 23:00:00,87.79
"13855",2019-09-20 23:15:00,87.78
"13856",2019-09-20 23:30:00,87.79
"13857",2019-09-20 23:45:00,87.81
"13858",2019-09-21 00:00:00,87.86
"13859",2019-09-21 00:15:00,87.83
"13860",2019-09-21 00:30:00,87.86
"13861",2019-09-21 00:45:00,87.85
"13862",2019-09-21 01:00:00,87.89
"13863",2019-09-21 01:15:00,87.82
"13864",2019-09-21 01:30:00,87.81
"13865",2019-09-21 01:45:00,87.84
"13866",2019-09-21 02:00:00,87.79
"13867",2019-09-21 02:15:00,87.76
"13868",2019-09-21 02:30:00,87.79
"13869",2019-09-21 02:45:00,87.7
"13870",2019-09-21 03:00:00,87.76
"13871",2019-09-21 03:15:00,87.6
"13872",2019-09-21 03:30:00,87.69
"13873",2019-09-21 03:45:00,87.69
"13874",2019-09-21 04:00:00,87.64
"13875",2019-09-21 04:15:00,87.61
"13876",2019-09-21 04:30:00,87.51
"13877",2019-09-21 04:45:00,87.56
"13878",2019-09-21 05:00:00,87.48
"13879",2019-09-21 05:15:00,87.48
"13880",2019-09-21 05:30:00,87.3
"13881",2019-09-21 05:45:00,87.3
"13882",2019-09-21 06:00:00,87.29
"13883",2019-09-21 06:15:00,87.25
"13884",2019-09-21 06:30:00,87.16
"13885",2019-09-21 06:45:00,87.13
"13886",2019-09-21 07:00:00,87.05
"13887",2019-09-21 07:15:00,86.93
"13888",2019-09-21 07:30:00,86.85
"13889",2019-09-21 07:45:00,86.73
"13890",2019-09-21 08:00:00,86.64
"13891",2019-09-21 08:15:00,86.56
"13892",2019-09-21 08:30:00,86.49
"13893",2019-09-21 08:45:00,86.39
"13894",2019-09-21 09:00:00,86.29
"13895",2019-09-21 09:15:00,86.15
"13896",2019-09-21 09:30:00,86.08
"13897",2019-09-21 09:45:00,85.97
"13898",2019-09-21 10:00:00,85.88
