"","valuedatetime","datavalue"
"203",2019-05-08 10:30:00,20.5
"204",2019-05-08 10:45:00,20.5
"205",2019-05-08 11:00:00,20.6
"206",2019-05-08 11:15:00,20.6
"207",2019-05-08 11:30:00,20.5
"208",2019-05-08 11:45:00,20.5
"209",2019-05-08 12:00:00,20.5
"210",2019-05-08 12:15:00,20.5
"211",2019-05-08 12:30:00,20.4
"212",2019-05-08 12:45:00,20.4
"213",2019-05-08 13:00:00,20.5
"214",2019-05-08 13:15:00,20.4
"215",2019-05-08 13:30:00,20.3
"216",2019-05-08 13:45:00,20.3
"217",2019-05-08 14:00:00,20.3
"218",2019-05-08 14:15:00,20.3
"219",2019-05-08 14:30:00,20.2
"220",2019-05-08 14:45:00,20.1
"221",2019-05-08 15:00:00,20.1
"222",2019-05-08 15:15:00,20.1
"223",2019-05-08 15:30:00,19.9
"224",2019-05-08 15:45:00,19.9
"225",2019-05-08 16:00:00,19.8
"226",2019-05-08 16:15:00,19.8
"227",2019-05-08 16:30:00,19.8
"228",2019-05-08 16:45:00,19.7
"229",2019-05-08 17:00:00,19.6
"230",2019-05-08 17:15:00,19.5
"231",2019-05-08 17:30:00,19.4
"232",2019-05-08 17:45:00,19.4
"233",2019-05-08 18:00:00,19.3
"234",2019-05-08 18:15:00,19.1
"235",2019-05-08 18:30:00,19.1
"236",2019-05-08 18:45:00,19
"237",2019-05-08 19:00:00,19
"238",2019-05-08 19:15:00,19
"239",2019-05-08 19:30:00,18.9
"240",2019-05-08 19:45:00,18.8
"241",2019-05-08 20:00:00,18.8
"242",2019-05-08 20:15:00,18.7
"243",2019-05-08 20:30:00,18.7
"244",2019-05-08 20:45:00,18.7
"245",2019-05-08 21:00:00,18.7
"246",2019-05-08 21:15:00,18.7
"247",2019-05-08 21:30:00,18.6
"248",2019-05-08 21:45:00,18.6
"249",2019-05-08 22:00:00,18.7
"250",2019-05-08 22:15:00,18.6
"251",2019-05-08 22:30:00,18.7
"252",2019-05-08 22:45:00,18.8
"253",2019-05-08 23:00:00,18.6
"254",2019-05-08 23:15:00,18.7
"255",2019-05-08 23:30:00,18.8
"256",2019-05-08 23:45:00,18.6
"257",2019-05-09 00:00:00,18.8
"258",2019-05-09 00:15:00,18.8
"259",2019-05-09 00:30:00,18.8
"260",2019-05-09 00:45:00,18.8
"261",2019-05-09 01:00:00,18.8
"262",2019-05-09 01:15:00,19
"263",2019-05-09 01:30:00,18.9
"264",2019-05-09 01:45:00,19.1
"265",2019-05-09 02:00:00,19
"266",2019-05-09 02:15:00,19.2
"267",2019-05-09 02:30:00,19.2
"268",2019-05-09 02:45:00,19.2
"269",2019-05-09 03:00:00,19.4
"270",2019-05-09 03:15:00,19.5
"271",2019-05-09 03:30:00,19.2
"272",2019-05-09 03:45:00,19.6
"273",2019-05-09 04:00:00,19.5
"274",2019-05-09 04:15:00,19.9
"275",2019-05-09 04:30:00,19.6
"276",2019-05-09 04:45:00,19.7
"277",2019-05-09 05:00:00,19.9
"278",2019-05-09 05:15:00,20
"279",2019-05-09 05:30:00,20
"280",2019-05-09 05:45:00,20
"281",2019-05-09 06:00:00,20.1
"282",2019-05-09 06:15:00,20.2
"283",2019-05-09 06:30:00,20.1
"284",2019-05-09 06:45:00,20.2
"285",2019-05-09 07:00:00,20.2
"286",2019-05-09 07:15:00,20.3
"287",2019-05-09 07:30:00,20.1
"288",2019-05-09 07:45:00,20.3
"289",2019-05-09 08:00:00,20.4
"290",2019-05-09 08:15:00,20.4
"291",2019-05-09 08:30:00,20.4
"292",2019-05-09 08:45:00,20.4
"293",2019-05-09 09:00:00,20.7
"294",2019-05-09 09:15:00,20.6
"295",2019-05-09 09:30:00,20.6
"296",2019-05-09 09:45:00,20.5
"297",2019-05-09 10:00:00,20.6
"298",2019-05-09 10:15:00,20.6
"299",2019-05-09 10:30:00,20.7
"300",2019-05-09 10:45:00,20.6
"301",2019-05-09 11:00:00,20.7
"302",2019-05-09 11:15:00,20.6
"303",2019-05-09 11:30:00,20.5
"304",2019-05-09 11:45:00,20.5
"305",2019-05-09 12:00:00,20.5
"306",2019-05-09 12:15:00,20.3
"307",2019-05-09 12:30:00,20.3
"308",2019-05-09 12:45:00,20.2
"309",2019-05-09 13:00:00,20.3
"310",2019-05-09 13:15:00,20.2
"311",2019-05-09 13:30:00,20.2
"312",2019-05-09 13:45:00,20
"313",2019-05-09 14:00:00,20.1
"314",2019-05-09 14:15:00,20
"315",2019-05-09 14:30:00,19.9
"316",2019-05-09 14:45:00,20
"317",2019-05-09 15:00:00,19.9
"318",2019-05-09 15:15:00,19.7
"319",2019-05-09 15:30:00,19.9
"320",2019-05-09 15:45:00,19.7
"321",2019-05-09 16:00:00,19.8
"322",2019-05-09 16:15:00,19.7
"323",2019-05-09 16:30:00,19.5
"324",2019-05-09 16:45:00,19.3
"325",2019-05-09 17:00:00,19.4
"326",2019-05-09 17:15:00,19.4
"327",2019-05-09 17:30:00,19.2
"328",2019-05-09 17:45:00,19.3
"329",2019-05-09 18:00:00,19.4
"330",2019-05-09 18:15:00,19.2
"331",2019-05-09 18:30:00,19.1
"332",2019-05-09 18:45:00,19.1
"333",2019-05-09 19:00:00,18.9
"334",2019-05-09 19:15:00,19
"335",2019-05-09 19:30:00,19
"336",2019-05-09 19:45:00,18.9
"337",2019-05-09 20:00:00,19
"338",2019-05-09 20:15:00,19
"339",2019-05-09 20:30:00,19.1
"340",2019-05-09 20:45:00,18.8
"341",2019-05-09 21:00:00,18.9
"342",2019-05-09 21:15:00,19.1
"343",2019-05-09 21:30:00,19.1
"344",2019-05-09 21:45:00,19.1
"345",2019-05-09 22:00:00,19
"346",2019-05-09 22:15:00,19.1
"347",2019-05-09 22:30:00,19.2
"348",2019-05-09 22:45:00,19.2
