"","valuedatetime","datavalue"
"1",2019-07-12 14:15:00,107.08
"2",2019-07-12 14:30:00,106.98
"3",2019-07-12 14:45:00,106.71
"4",2019-07-12 15:00:00,106.55
"5",2019-07-12 15:15:00,106.57
"6",2019-07-12 15:30:00,106.55
"7",2019-07-12 15:45:00,106.54
"8",2019-07-12 16:00:00,106.41
"9",2019-07-12 16:15:00,106.22
"10",2019-07-12 16:30:00,106.07
"11",2019-07-12 16:45:00,105.94
"12",2019-07-12 17:00:00,105.78
"13",2019-07-12 17:15:00,105.57
"14",2019-07-12 17:30:00,105.36
"15",2019-07-12 17:45:00,105.1
"16",2019-07-12 18:00:00,104.9
"17",2019-07-12 18:15:00,104.62
"18",2019-07-12 18:30:00,104.32
"19",2019-07-12 18:45:00,104
"20",2019-07-12 19:00:00,103.79
"21",2019-07-12 19:15:00,103.5
"22",2019-07-12 19:30:00,103.3
"23",2019-07-12 19:45:00,103.07
"24",2019-07-12 20:00:00,102.87
"25",2019-07-12 20:15:00,102.64
"26",2019-07-12 20:30:00,102.46
"27",2019-07-12 20:45:00,102.27
"28",2019-07-12 21:00:00,102.15
"29",2019-07-12 21:15:00,102.03
"30",2019-07-12 21:30:00,101.91
"31",2019-07-12 21:45:00,101.83
"32",2019-07-12 22:00:00,101.78
"33",2019-07-12 22:15:00,101.71
"34",2019-07-12 22:30:00,101.64
"35",2019-07-12 22:45:00,101.58
"36",2019-07-12 23:00:00,101.54
"37",2019-07-12 23:15:00,101.51
"38",2019-07-12 23:30:00,101.45
"39",2019-07-12 23:45:00,101.42
"40",2019-07-13 00:00:00,101.43
"41",2019-07-13 00:15:00,101.39
"42",2019-07-13 00:30:00,101.44
"43",2019-07-13 00:45:00,101.39
"44",2019-07-13 01:00:00,101.44
"45",2019-07-13 01:15:00,101.47
"46",2019-07-13 01:30:00,101.5
"47",2019-07-13 01:45:00,101.56
"48",2019-07-13 02:00:00,101.6
"49",2019-07-13 02:15:00,101.63
"50",2019-07-13 02:30:00,101.7
"51",2019-07-13 02:45:00,101.6
"52",2019-07-13 03:00:00,101.78
"53",2019-07-13 03:15:00,101.84
"54",2019-07-13 03:30:00,101.94
"55",2019-07-13 03:45:00,102.01
"56",2019-07-13 04:00:00,102.08
"57",2019-07-13 04:15:00,102.16
"58",2019-07-13 04:30:00,102.24
"59",2019-07-13 04:45:00,102.44
"60",2019-07-13 05:00:00,102.46
"61",2019-07-13 05:15:00,102.55
"62",2019-07-13 05:30:00,102.62
"63",2019-07-13 05:45:00,102.68
"64",2019-07-13 06:00:00,102.75
"65",2019-07-13 06:15:00,102.8
"66",2019-07-13 06:30:00,102.88
"67",2019-07-13 06:45:00,102.97
"68",2019-07-13 07:00:00,103.01
"69",2019-07-13 07:15:00,103.06
"70",2019-07-13 07:30:00,103.12
"71",2019-07-13 07:45:00,103.13
"72",2019-07-13 08:00:00,103.11
