"","valuedatetime","datavalue"
"1",2019-07-12 14:15:00,23.6
"2",2019-07-12 14:30:00,25.22
"3",2019-07-12 14:45:00,25.87
"4",2019-07-12 15:00:00,25.79
"5",2019-07-12 15:15:00,26.14
"6",2019-07-12 15:30:00,26.78
"7",2019-07-12 15:45:00,27.07
"8",2019-07-12 16:00:00,27.34
"9",2019-07-12 16:15:00,27.7
"10",2019-07-12 16:30:00,27.92
"11",2019-07-12 16:45:00,28.11
"12",2019-07-12 17:00:00,28.19
"13",2019-07-12 17:15:00,28.17
"14",2019-07-12 17:30:00,28.27
"15",2019-07-12 17:45:00,28.21
"16",2019-07-12 18:00:00,28.19
"17",2019-07-12 18:15:00,28.07
"18",2019-07-12 18:30:00,28.1
"19",2019-07-12 18:45:00,28.21
"20",2019-07-12 19:00:00,28.18
"21",2019-07-12 19:15:00,28.34
"22",2019-07-12 19:30:00,28.43
"23",2019-07-12 19:45:00,28.62
"24",2019-07-12 20:00:00,28.88
"25",2019-07-12 20:15:00,29.1
"26",2019-07-12 20:30:00,29.17
"27",2019-07-12 20:45:00,29.33
"28",2019-07-12 21:00:00,29.42
"29",2019-07-12 21:15:00,29.52
"30",2019-07-12 21:30:00,29.65
"31",2019-07-12 21:45:00,29.67
"32",2019-07-12 22:00:00,29.76
"33",2019-07-12 22:15:00,29.75
"34",2019-07-12 22:30:00,29.81
"35",2019-07-12 22:45:00,29.9
"36",2019-07-12 23:00:00,29.97
"37",2019-07-12 23:15:00,30.08
"38",2019-07-12 23:30:00,30.16
"39",2019-07-12 23:45:00,30.26
"40",2019-07-13 00:00:00,30.4
"41",2019-07-13 00:15:00,30.51
"42",2019-07-13 00:30:00,30.46
"43",2019-07-13 00:45:00,30.53
"44",2019-07-13 01:00:00,30.54
"45",2019-07-13 01:15:00,30.59
"46",2019-07-13 01:30:00,30.67
"47",2019-07-13 01:45:00,30.72
"48",2019-07-13 02:00:00,30.7
"49",2019-07-13 02:15:00,30.74
"50",2019-07-13 02:30:00,30.73
"51",2019-07-13 02:45:00,30.79
"52",2019-07-13 03:00:00,31.23
"53",2019-07-13 03:15:00,30.89
"54",2019-07-13 03:30:00,30.79
"55",2019-07-13 03:45:00,30.87
"56",2019-07-13 04:00:00,30.82
"57",2019-07-13 04:15:00,30.88
"58",2019-07-13 04:30:00,30.81
"59",2019-07-13 04:45:00,30.95
"60",2019-07-13 05:00:00,29.24
"61",2019-07-13 05:15:00,30.83
"62",2019-07-13 05:30:00,31.03
"63",2019-07-13 05:45:00,30.96
"64",2019-07-13 06:00:00,30.97
"65",2019-07-13 06:15:00,30.99
"66",2019-07-13 06:30:00,31.01
"67",2019-07-13 06:45:00,31.02
"68",2019-07-13 07:00:00,31.05
"69",2019-07-13 07:15:00,31.03
"70",2019-07-13 07:30:00,31.09
"71",2019-07-13 07:45:00,31.15
"72",2019-07-13 08:00:00,31.23
