"","valuedatetime","datavalue"
"1",2019-08-02 12:30:00,86.3
"2",2019-08-02 12:45:00,86.12
"3",2019-08-02 13:00:00,85.96
"4",2019-08-02 13:15:00,85.8
"5",2019-08-02 13:30:00,85.69
"6",2019-08-02 13:45:00,85.55
"7",2019-08-02 14:00:00,85.42
"8",2019-08-02 14:15:00,85.15
"9",2019-08-02 14:30:00,84.92
"10",2019-08-02 14:45:00,84.65
"11",2019-08-02 15:00:00,84.1
"12",2019-08-02 15:15:00,83.58
"13",2019-08-02 15:30:00,82.94
"14",2019-08-02 15:45:00,82.36
"15",2019-08-02 16:00:00,81.7
"16",2019-08-02 16:15:00,80.81
"17",2019-08-02 16:30:00,79.92
"18",2019-08-02 16:45:00,78.73
"19",2019-08-02 17:00:00,77.28
"20",2019-08-02 17:15:00,75.64
"21",2019-08-02 17:30:00,74.32
"22",2019-08-02 17:45:00,72.89
"23",2019-08-02 18:00:00,71.18
"24",2019-08-02 18:15:00,69.75
"25",2019-08-02 18:30:00,68.13
"26",2019-08-02 18:45:00,66.63
"27",2019-08-02 19:00:00,65.02
"28",2019-08-02 19:15:00,63.55
"29",2019-08-02 19:30:00,62
"30",2019-08-02 19:45:00,60.12
"31",2019-08-02 20:00:00,57.95
"32",2019-08-02 20:15:00,55.93
"33",2019-08-02 20:30:00,54.3
"34",2019-08-02 20:45:00,52.85
"35",2019-08-02 21:00:00,51.47
"36",2019-08-02 21:15:00,50.32
"37",2019-08-02 21:30:00,49.03
"38",2019-08-02 21:45:00,48.22
"39",2019-08-02 22:00:00,47.57
"40",2019-08-02 22:15:00,46.88
"41",2019-08-02 22:30:00,46.19
"42",2019-08-02 22:45:00,45.46
"43",2019-08-02 23:00:00,44.92
"44",2019-08-02 23:15:00,44.43
"45",2019-08-02 23:30:00,43.96
"46",2019-08-02 23:45:00,43.43
"47",2019-08-03 00:00:00,43.01
"48",2019-08-03 00:15:00,42.54
"49",2019-08-03 00:30:00,42.25
"50",2019-08-03 00:45:00,42.01
"51",2019-08-03 01:00:00,41.76
"52",2019-08-03 01:15:00,41.69
"53",2019-08-03 01:30:00,41.54
"54",2019-08-03 01:45:00,41.41
"55",2019-08-03 02:00:00,41.34
"56",2019-08-03 02:15:00,41.38
"57",2019-08-03 02:30:00,41.36
"58",2019-08-03 02:45:00,41.39
"59",2019-08-03 03:00:00,41.38
"60",2019-08-03 03:15:00,41.45
"61",2019-08-03 03:30:00,41.51
"62",2019-08-03 03:45:00,41.54
"63",2019-08-03 04:00:00,41.55
"64",2019-08-03 04:15:00,41.59
"65",2019-08-03 04:30:00,41.67
"66",2019-08-03 04:45:00,41.72
"67",2019-08-03 05:00:00,41.82
"68",2019-08-03 05:15:00,41.85
"69",2019-08-03 05:30:00,41.97
"70",2019-08-03 05:45:00,42.04
"71",2019-08-03 06:00:00,42.03
"72",2019-08-03 06:15:00,42.09
"73",2019-08-03 06:30:00,42.19
"74",2019-08-03 06:45:00,42.3
"75",2019-08-03 07:00:00,42.38
"76",2019-08-03 07:15:00,42.46
"77",2019-08-03 07:30:00,42.49
"78",2019-08-03 07:45:00,42.5
"79",2019-08-03 08:00:00,42.55
"80",2019-08-03 08:15:00,42.63
"81",2019-08-03 08:30:00,42.65
"82",2019-08-03 08:45:00,42.61
"83",2019-08-03 09:00:00,42.54
