"","valuedatetime","datavalue"
"8551",2019-08-03 09:30:00,34.2
"8552",2019-08-03 09:45:00,34
"8553",2019-08-03 10:00:00,33.8
"8554",2019-08-03 10:15:00,33.7
"8555",2019-08-03 10:30:00,33.4
"8556",2019-08-03 10:45:00,32.9
"8557",2019-08-03 11:00:00,32.7
"8558",2019-08-03 11:15:00,32.3
"8559",2019-08-03 11:30:00,31.8
"8560",2019-08-03 11:45:00,31.3
"8561",2019-08-03 12:00:00,30.8
"8562",2019-08-03 12:15:00,30.3
"8563",2019-08-03 12:30:00,29.9
"8564",2019-08-03 12:45:00,29.4
"8565",2019-08-03 13:00:00,29
"8566",2019-08-03 13:15:00,28.6
"8567",2019-08-03 13:30:00,28.4
"8568",2019-08-03 13:45:00,28.1
"8569",2019-08-03 14:00:00,28
"8570",2019-08-03 14:15:00,28.2
"8571",2019-08-03 14:30:00,27.9
"8572",2019-08-03 14:45:00,28.2
"8573",2019-08-03 15:00:00,28
"8574",2019-08-03 15:15:00,28.4
"8575",2019-08-03 15:30:00,28.4
"8576",2019-08-03 15:45:00,28.8
"8577",2019-08-03 16:00:00,28.5
"8578",2019-08-03 16:15:00,28.7
"8579",2019-08-03 16:30:00,28.9
"8580",2019-08-03 16:45:00,29.1
"8581",2019-08-03 17:00:00,29.2
"8582",2019-08-03 17:15:00,29.4
"8583",2019-08-03 17:30:00,29.4
"8584",2019-08-03 17:45:00,29.4
"8585",2019-08-03 18:00:00,29.3
"8586",2019-08-03 18:15:00,29.6
"8587",2019-08-03 18:30:00,29.7
"8588",2019-08-03 18:45:00,29.7
"8589",2019-08-03 19:00:00,29.7
"8590",2019-08-03 19:15:00,29.9
"8591",2019-08-03 19:30:00,29.9
"8592",2019-08-03 19:45:00,29.9
"8593",2019-08-03 20:00:00,30.1
"8594",2019-08-03 20:15:00,30.1
"8595",2019-08-03 20:30:00,30.1
"8596",2019-08-03 20:45:00,30.3
"8597",2019-08-03 21:00:00,30.2
"8598",2019-08-03 21:15:00,30.4
"8599",2019-08-03 21:30:00,30.4
"8600",2019-08-03 21:45:00,30.5
"8601",2019-08-03 22:00:00,30.6
"8602",2019-08-03 22:15:00,30.7
"8603",2019-08-03 22:30:00,30.8
"8604",2019-08-03 22:45:00,30.9
"8605",2019-08-03 23:00:00,31.1
"8606",2019-08-03 23:15:00,31.1
"8607",2019-08-03 23:30:00,31.2
"8608",2019-08-03 23:45:00,31.3
"8609",2019-08-04 00:00:00,31.4
"8610",2019-08-04 00:15:00,31.5
"8611",2019-08-04 00:30:00,31.6
"8612",2019-08-04 00:45:00,31.7
"8613",2019-08-04 01:00:00,31.9
"8614",2019-08-04 01:15:00,31.9
"8615",2019-08-04 01:30:00,32
"8616",2019-08-04 01:45:00,32.1
"8617",2019-08-04 02:00:00,32.2
"8618",2019-08-04 02:15:00,32.3
"8619",2019-08-04 02:30:00,32.4
"8620",2019-08-04 02:45:00,32.4
"8621",2019-08-04 03:00:00,32.5
"8622",2019-08-04 03:15:00,32.7
"8623",2019-08-04 03:30:00,32.8
"8624",2019-08-04 03:45:00,32.8
"8625",2019-08-04 04:00:00,32.9
"8626",2019-08-04 04:15:00,32.9
"8627",2019-08-04 04:30:00,33
"8628",2019-08-04 04:45:00,33
"8629",2019-08-04 05:00:00,33.1
"8630",2019-08-04 05:15:00,33.2
"8631",2019-08-04 05:30:00,33.3
"8632",2019-08-04 05:45:00,33.3
"8633",2019-08-04 06:00:00,33.3
"8634",2019-08-04 06:15:00,33.4
"8635",2019-08-04 06:30:00,33.4
"8636",2019-08-04 06:45:00,33.5
"8637",2019-08-04 07:00:00,33.6
"8638",2019-08-04 07:15:00,33.6
"8639",2019-08-04 07:30:00,33.7
"8640",2019-08-04 07:45:00,33.7
"8641",2019-08-04 08:00:00,33.7
"8642",2019-08-04 08:15:00,33.8
"8643",2019-08-04 08:30:00,33.8
"8644",2019-08-04 08:45:00,33.8
"8645",2019-08-04 09:00:00,33.9
"8646",2019-08-04 09:15:00,33.9
"8647",2019-08-04 09:30:00,33.9
"8648",2019-08-04 09:45:00,33.9
"8649",2019-08-04 10:00:00,33.9
"8650",2019-08-04 10:15:00,34
"8651",2019-08-04 10:30:00,34
"8652",2019-08-04 10:45:00,34.1
"8653",2019-08-04 11:00:00,34
"8654",2019-08-04 11:15:00,34
"8655",2019-08-04 11:30:00,34.1
"8656",2019-08-04 11:45:00,34.1
"8657",2019-08-04 12:00:00,34.1
"8658",2019-08-04 12:15:00,34.1
"8659",2019-08-04 12:30:00,34.2
"8660",2019-08-04 12:45:00,34.2
"8661",2019-08-04 13:00:00,34.2
"8662",2019-08-04 13:15:00,34.2
"8663",2019-08-04 13:30:00,34.1
"8664",2019-08-04 13:45:00,34.2
"8665",2019-08-04 14:00:00,34.2
"8666",2019-08-04 14:15:00,34.2
"8667",2019-08-04 14:30:00,34.2
"8668",2019-08-04 14:45:00,34.2
"8669",2019-08-04 15:00:00,34.2
"8670",2019-08-04 15:15:00,34.2
"8671",2019-08-04 15:30:00,34.3
"8672",2019-08-04 15:45:00,34.3
"8673",2019-08-04 16:00:00,34.3
"8674",2019-08-04 16:15:00,34.3
"8675",2019-08-04 16:30:00,34.2
"8676",2019-08-04 16:45:00,34.3
"8677",2019-08-04 17:00:00,34.2
"8678",2019-08-04 17:15:00,34.3
"8679",2019-08-04 17:30:00,34.3
"8680",2019-08-04 17:45:00,34.3
"8681",2019-08-04 18:00:00,34.4
"8682",2019-08-04 18:15:00,34.4
"8683",2019-08-04 18:30:00,34.4
"8684",2019-08-04 18:45:00,34.4
"8685",2019-08-04 19:00:00,34.3
"8686",2019-08-04 19:15:00,34.4
"8687",2019-08-04 19:30:00,34.4
"8688",2019-08-04 19:45:00,34.4
"8689",2019-08-04 20:00:00,34.4
"8690",2019-08-04 20:15:00,34.4
"8691",2019-08-04 20:30:00,34.4
"8692",2019-08-04 20:45:00,34.5
"8693",2019-08-04 21:00:00,34.4
"8694",2019-08-04 21:15:00,34.5
"8695",2019-08-04 21:30:00,34.5
"8696",2019-08-04 21:45:00,34.5
"8697",2019-08-04 22:00:00,34.5
"8698",2019-08-04 22:15:00,34.5
"8699",2019-08-04 22:30:00,34.5
"8700",2019-08-04 22:45:00,34.5
"8701",2019-08-04 23:00:00,34.3
"8702",2019-08-04 23:15:00,34.3
"8703",2019-08-04 23:30:00,34.4
"8704",2019-08-04 23:45:00,34.5
"8705",2019-08-05 00:00:00,34.4
"8706",2019-08-05 00:15:00,34.5
"8707",2019-08-05 00:30:00,34.4
"8708",2019-08-05 00:45:00,34.5
"8709",2019-08-05 01:00:00,34.3
"8710",2019-08-05 01:15:00,34.5
"8711",2019-08-05 01:30:00,34.3
"8712",2019-08-05 01:45:00,34.6
"8713",2019-08-05 02:00:00,34.7
"8714",2019-08-05 02:15:00,34.5
"8715",2019-08-05 02:30:00,34.3
"8716",2019-08-05 02:45:00,34.4
"8717",2019-08-05 03:00:00,34.5
"8718",2019-08-05 03:15:00,34.5
"8719",2019-08-05 03:30:00,34.5
"8720",2019-08-05 03:45:00,34.6
"8721",2019-08-05 04:00:00,34.7
"8722",2019-08-05 04:15:00,34.8
"8723",2019-08-05 04:30:00,34.5
"8724",2019-08-05 04:45:00,34.5
"8725",2019-08-05 05:00:00,34.6
"8726",2019-08-05 05:15:00,34.6
"8727",2019-08-05 05:30:00,34.8
"8728",2019-08-05 05:45:00,34.7
"8729",2019-08-05 06:00:00,34.6
"8730",2019-08-05 06:15:00,34.6
"8731",2019-08-05 06:30:00,34.6
"8732",2019-08-05 06:45:00,34.6
