"","valuedatetime","datavalue"
"68",2019-06-01 08:30:00,41.8236363636364
"69",2019-06-01 08:45:00,35.7127272727273
"70",2019-06-01 09:00:00,39.7290909090909
"71",2019-06-01 09:15:00,49.8036363636364
"72",2019-06-01 09:30:00,48.2009090909091
"73",2019-06-01 09:45:00,51.4554545454545
"74",2019-06-01 10:00:00,NA
"75",2019-06-01 10:15:00,63.0809090909091
"76",2019-06-01 10:30:00,65.1709090909091
"77",2019-06-01 10:45:00,74.4409090909091
"78",2019-06-01 11:00:00,NA
"79",2019-06-01 11:15:00,86.8963636363636
"80",2019-06-01 11:30:00,86.8272727272727
"81",2019-06-01 11:45:00,104.37
"82",2019-06-01 12:00:00,NA
"83",2019-06-01 12:15:00,115.298181818182
"84",2019-06-01 12:30:00,119.390909090909
"85",2019-06-01 12:45:00,145.125454545455
"86",2019-06-01 13:00:00,145.072727272727
"87",2019-06-01 13:15:00,171.450909090909
"88",2019-06-01 13:30:00,182.122727272727
"89",2019-06-01 13:45:00,196.072727272727
"90",2019-06-01 14:00:00,223.613636363636
"91",2019-06-01 14:15:00,NA
"92",2019-06-01 14:30:00,262.358181818182
"93",2019-06-01 14:45:00,NA
"94",2019-06-01 15:00:00,NA
"95",2019-06-01 15:15:00,NA
"96",2019-06-01 15:30:00,NA
"97",2019-06-01 15:45:00,NA
"98",2019-06-01 16:00:00,NA
"99",2019-06-01 16:15:00,NA
"100",2019-06-01 16:30:00,458.302727272727
"101",2019-06-01 16:45:00,NA
"102",2019-06-01 17:00:00,NA
"103",2019-06-01 17:15:00,NA
"104",2019-06-01 17:30:00,NA
"105",2019-06-01 17:45:00,NA
"106",2019-06-01 18:00:00,NA
"107",2019-06-01 18:15:00,NA
"108",2019-06-01 18:30:00,NA
"109",2019-06-01 18:45:00,NA
"110",2019-06-01 19:00:00,NA
"111",2019-06-01 19:15:00,NA
"112",2019-06-01 19:30:00,NA
"113",2019-06-01 19:45:00,NA
"114",2019-06-01 20:00:00,NA
"115",2019-06-01 20:15:00,NA
"116",2019-06-01 20:30:00,NA
"117",2019-06-01 20:45:00,NA
"118",2019-06-01 21:00:00,NA
"119",2019-06-01 21:15:00,NA
"120",2019-06-01 21:30:00,NA
"121",2019-06-01 21:45:00,NA
"122",2019-06-01 22:00:00,NA
"123",2019-06-01 22:15:00,NA
"124",2019-06-01 22:30:00,NA
"125",2019-06-01 22:45:00,NA
"126",2019-06-01 23:00:00,NA
"127",2019-06-01 23:15:00,NA
"128",2019-06-01 23:30:00,NA
"129",2019-06-01 23:45:00,NA
"130",2019-06-02 00:00:00,NA
"131",2019-06-02 00:15:00,NA
"132",2019-06-02 00:30:00,NA
"133",2019-06-02 00:45:00,NA
"134",2019-06-02 01:00:00,NA
"135",2019-06-02 01:15:00,NA
"136",2019-06-02 01:30:00,NA
"137",2019-06-02 01:45:00,NA
"138",2019-06-02 02:00:00,NA
"139",2019-06-02 02:15:00,NA
"140",2019-06-02 02:30:00,NA
"141",2019-06-02 02:45:00,NA
"142",2019-06-02 03:00:00,NA
"143",2019-06-02 03:15:00,NA
"144",2019-06-02 03:30:00,NA
"145",2019-06-02 03:45:00,NA
"146",2019-06-02 04:00:00,NA
"147",2019-06-02 04:15:00,NA
"148",2019-06-02 04:30:00,NA
"149",2019-06-02 04:45:00,NA
"150",2019-06-02 05:00:00,NA
"151",2019-06-02 05:15:00,NA
"152",2019-06-02 05:30:00,NA
"153",2019-06-02 05:45:00,NA
"154",2019-06-02 06:00:00,NA
"155",2019-06-02 06:15:00,NA
"156",2019-06-02 06:30:00,NA
"157",2019-06-02 06:45:00,NA
"158",2019-06-02 07:00:00,NA
"159",2019-06-02 07:15:00,NA
"160",2019-06-02 07:30:00,NA
