"","valuedatetime","datavalue"
"1",2019-10-02 06:30:00,11.98
"2",2019-10-02 06:45:00,13.1925
"3",2019-10-02 07:00:00,11.8775
"4",2019-10-02 07:15:00,11.695
"5",2019-10-02 07:30:00,12.8725
"6",2019-10-02 07:45:00,13.3175
"7",2019-10-02 08:00:00,12.8375
"8",2019-10-02 08:15:00,13.575
"9",2019-10-02 08:30:00,12.6925
"10",2019-10-02 08:45:00,13.6625
"11",2019-10-02 09:00:00,13.1225
"12",2019-10-02 09:15:00,14.01
"13",2019-10-02 09:30:00,13.358
"14",2019-10-02 09:45:00,14.13
"15",2019-10-02 10:00:00,13.815
"16",2019-10-02 10:15:00,15.7275
"17",2019-10-02 10:30:00,13.702
"18",2019-10-02 10:45:00,14.694
"19",2019-10-02 11:00:00,15.232
"20",2019-10-02 11:15:00,15.894
"21",2019-10-02 11:30:00,14.488
"22",2019-10-02 11:45:00,16.118
"23",2019-10-02 12:00:00,14.358
"24",2019-10-02 12:15:00,14.354
"25",2019-10-02 12:30:00,16.692
"26",2019-10-02 12:45:00,14.31
"27",2019-10-02 13:00:00,15.796
"28",2019-10-02 13:15:00,16.248
"29",2019-10-02 13:30:00,17.952
"30",2019-10-02 13:45:00,16.132
"31",2019-10-02 14:00:00,16.47
"32",2019-10-02 14:15:00,17.426
"33",2019-10-02 14:30:00,19.926
"34",2019-10-02 14:45:00,16.568
"35",2019-10-02 15:00:00,17.568
"36",2019-10-02 15:15:00,16.446
"37",2019-10-02 15:30:00,17.652
"38",2019-10-02 15:45:00,17.466
"39",2019-10-02 16:00:00,16.656
"40",2019-10-02 16:15:00,16.386
"41",2019-10-02 16:30:00,17.434
"42",2019-10-02 16:45:00,17.588
"43",2019-10-02 17:00:00,18.014
"44",2019-10-02 17:15:00,17.882
"45",2019-10-02 17:30:00,17.228
"46",2019-10-02 17:45:00,18.704
"47",2019-10-02 18:00:00,18.03
"48",2019-10-02 18:15:00,20.39
"49",2019-10-02 18:30:00,17.864
"50",2019-10-02 18:45:00,24.652
"51",2019-10-02 19:00:00,18.096
"52",2019-10-02 19:15:00,17.156
"53",2019-10-02 19:30:00,17.76
"54",2019-10-02 19:45:00,18.732
"55",2019-10-02 20:00:00,17.412
"56",2019-10-02 20:15:00,20.558
"57",2019-10-02 20:30:00,17.21
"58",2019-10-02 20:45:00,18.238
"59",2019-10-02 21:00:00,18.936
"60",2019-10-02 21:15:00,18.946
"61",2019-10-02 21:30:00,19.192
"62",2019-10-02 21:45:00,18.698
"63",2019-10-02 22:00:00,18.196
"64",2019-10-02 22:15:00,17.856
"65",2019-10-02 22:30:00,18.892
"66",2019-10-02 22:45:00,19.846
"67",2019-10-02 23:00:00,17.98
"68",2019-10-02 23:15:00,18.838
"69",2019-10-02 23:30:00,19.146
"70",2019-10-02 23:45:00,20.192
"71",2019-10-03 00:00:00,19.12
"72",2019-10-03 00:15:00,18.85
"73",2019-10-03 00:30:00,18.352
"74",2019-10-03 00:45:00,17.846
"75",2019-10-03 01:00:00,19.02
"76",2019-10-03 01:15:00,19.4333333333333
"77",2019-10-03 01:30:00,20.6166666666667
"78",2019-10-03 01:45:00,18.008
"79",2019-10-03 02:00:00,17.875
"80",2019-10-03 02:15:00,18.2733333333333
"81",2019-10-03 02:30:00,19.365
"82",2019-10-03 02:45:00,19.3983333333333
"83",2019-10-03 03:00:00,18.9583333333333
"84",2019-10-03 03:15:00,19.65
"85",2019-10-03 03:30:00,20.5516666666667
"86",2019-10-03 03:45:00,21.4466666666667
"87",2019-10-03 04:00:00,19.4783333333333
"88",2019-10-03 04:15:00,21.4766666666667
"89",2019-10-03 04:30:00,18.9916666666667
"90",2019-10-03 04:45:00,18.4016666666667
"91",2019-10-03 05:00:00,17.9383333333333
"92",2019-10-03 05:15:00,38.97
"93",2019-10-03 05:30:00,19.2183333333333
"94",2019-10-03 05:45:00,18.8333333333333
"95",2019-10-03 06:00:00,19.4771428571429
"96",2019-10-03 06:15:00,18.41
"97",2019-10-03 06:30:00,18.945
"98",2019-10-03 06:45:00,19.095
"99",2019-10-03 07:00:00,18.5866666666667
"100",2019-10-03 07:15:00,18.0733333333333
"101",2019-10-03 07:30:00,18.53
"102",2019-10-03 07:45:00,18.3666666666667
"103",2019-10-03 08:00:00,17.4033333333333
"104",2019-10-03 08:15:00,20.995
"105",2019-10-03 08:30:00,18.1666666666667
"106",2019-10-03 08:45:00,17.4166666666667
"107",2019-10-03 09:00:00,18.5542857142857
"108",2019-10-03 09:15:00,16.5585714285714
"109",2019-10-03 09:30:00,16.9757142857143
"110",2019-10-03 09:45:00,15.70625
"111",2019-10-03 10:00:00,15.14
"112",2019-10-03 10:15:00,15.5416666666667
"113",2019-10-03 10:30:00,16.2516666666667
"114",2019-10-03 10:45:00,14.95
"115",2019-10-03 11:00:00,15.225
"116",2019-10-03 11:15:00,14.955
"117",2019-10-03 11:30:00,14.0333333333333
"118",2019-10-03 11:45:00,14.2983333333333
"119",2019-10-03 12:00:00,14.825
"120",2019-10-03 12:15:00,14.0366666666667
"121",2019-10-03 12:30:00,13.6733333333333
"122",2019-10-03 12:45:00,13.42
"123",2019-10-03 13:00:00,13.3666666666667
"124",2019-10-03 13:15:00,13.2716666666667
"125",2019-10-03 13:30:00,12.925
"126",2019-10-03 13:45:00,12.9266666666667
"127",2019-10-03 14:00:00,12.605
"128",2019-10-03 14:15:00,12.8983333333333
"129",2019-10-03 14:30:00,13.2933333333333
"130",2019-10-03 14:45:00,12.2685714285714
"131",2019-10-03 15:00:00,12.05
"132",2019-10-03 15:15:00,12.0733333333333
"133",2019-10-03 15:30:00,12.8016666666667
"134",2019-10-03 15:45:00,12.6516666666667
"135",2019-10-03 16:00:00,12.45
"136",2019-10-03 16:15:00,12.6685714285714
"137",2019-10-03 16:30:00,12.6257142857143
"138",2019-10-03 16:45:00,11.2328571428571
"139",2019-10-03 17:00:00,12.6542857142857
"140",2019-10-03 17:15:00,12.5157142857143
"141",2019-10-03 17:30:00,12.2316666666667
"142",2019-10-03 17:45:00,12.25
"143",2019-10-03 18:00:00,11.8885714285714
"144",2019-10-03 18:15:00,11.7714285714286
"145",2019-10-03 18:30:00,12.5071428571429
"146",2019-10-03 18:45:00,11.7528571428571
"147",2019-10-03 19:00:00,12.3414285714286
"148",2019-10-03 19:15:00,12.5214285714286
"149",2019-10-03 19:30:00,12.1414285714286
"150",2019-10-03 19:45:00,12.0085714285714
"151",2019-10-03 20:00:00,11.9314285714286
"152",2019-10-03 20:15:00,12.5157142857143
"153",2019-10-03 20:30:00,12.5714285714286
"154",2019-10-03 20:45:00,12.4371428571429
"155",2019-10-03 21:00:00,12.3542857142857
"156",2019-10-03 21:15:00,12.4557142857143
"157",2019-10-03 21:30:00,10.93
"158",2019-10-03 21:45:00,12.2642857142857
"159",2019-10-03 22:00:00,12.3228571428571
"160",2019-10-03 22:15:00,11.8871428571429
"161",2019-10-03 22:30:00,12.4485714285714
"162",2019-10-03 22:45:00,11.97
"163",2019-10-03 23:00:00,12.2714285714286
"164",2019-10-03 23:15:00,12.5342857142857
"165",2019-10-03 23:30:00,10.8857142857143
"166",2019-10-03 23:45:00,12.0985714285714
"167",2019-10-04 00:00:00,12.5171428571429
"168",2019-10-04 00:15:00,11.8057142857143
"169",2019-10-04 00:30:00,12.8328571428571
"170",2019-10-04 00:45:00,10.8214285714286
"171",2019-10-04 01:00:00,12.3
"172",2019-10-04 01:15:00,12.1357142857143
"173",2019-10-04 01:30:00,12.3357142857143
"174",2019-10-04 01:45:00,12.0085714285714
"175",2019-10-04 02:00:00,11.8528571428571
"176",2019-10-04 02:15:00,11.5542857142857
"177",2019-10-04 02:30:00,11.87
"178",2019-10-04 02:45:00,12.86
"179",2019-10-04 03:00:00,11.9271428571429
"180",2019-10-04 03:15:00,11.7385714285714
"181",2019-10-04 03:30:00,11.1528571428571
"182",2019-10-04 03:45:00,11.4942857142857
"183",2019-10-04 04:00:00,11.4457142857143
"184",2019-10-04 04:15:00,12.0757142857143
"185",2019-10-04 04:30:00,11.28
"186",2019-10-04 04:45:00,11.7728571428571
"187",2019-10-04 05:00:00,11.6166666666667
"188",2019-10-04 05:15:00,12.1185714285714
"189",2019-10-04 05:30:00,11.6557142857143
"190",2019-10-04 05:45:00,11.9142857142857
"191",2019-10-04 06:00:00,11.11
"192",2019-10-04 06:15:00,11.1557142857143
"193",2019-10-04 06:30:00,11.4142857142857
"194",2019-10-04 06:45:00,11.9785714285714
"195",2019-10-04 07:00:00,12.44
"196",2019-10-04 07:15:00,11.89
"197",2019-10-04 07:30:00,11.84625
"198",2019-10-04 07:45:00,11.5128571428571
"199",2019-10-04 08:00:00,11.6375
"200",2019-10-04 08:15:00,11.84875
"201",2019-10-04 08:30:00,11.7785714285714
"202",2019-10-04 08:45:00,11.4
"203",2019-10-04 09:00:00,11.55625
"204",2019-10-04 09:15:00,11.02
"205",2019-10-04 09:30:00,11.0575
"206",2019-10-04 09:45:00,11.06625
"207",2019-10-04 10:00:00,11.11125
"208",2019-10-04 10:15:00,10.745
"209",2019-10-04 10:30:00,10.4925
"210",2019-10-04 10:45:00,10.49875
"211",2019-10-04 11:00:00,10.815
"212",2019-10-04 11:15:00,11.7675
"213",2019-10-04 11:30:00,10.5275
"214",2019-10-04 11:45:00,10.40375
"215",2019-10-04 12:00:00,10.30375
"216",2019-10-04 12:15:00,9.945
"217",2019-10-04 12:30:00,10.53625
"218",2019-10-04 12:45:00,10.06
"219",NA,NA
"220",NA,NA
"221",NA,NA
"222",NA,NA
"223",NA,NA
"224",NA,NA
"225",NA,NA
"226",NA,NA
"227",NA,NA
"228",NA,NA
"229",NA,NA
"230",NA,NA
"231",NA,NA
"232",NA,NA
"233",NA,NA
"234",NA,NA
"235",NA,NA
"236",NA,NA
"237",NA,NA
"238",NA,NA
"239",NA,NA
"240",NA,NA
"241",NA,NA
"242",NA,NA
"243",NA,NA
"244",NA,NA
"245",NA,NA
"246",NA,NA
"247",NA,NA
"248",NA,NA
"249",NA,NA
"250",NA,NA
"251",NA,NA
"252",NA,NA
"253",NA,NA
"254",NA,NA
"255",NA,NA
"256",NA,NA
"257",NA,NA
"258",NA,NA
"259",NA,NA
"260",NA,NA
"261",NA,NA
"262",NA,NA
"263",NA,NA
"264",NA,NA
"265",NA,NA
"266",NA,NA
"267",NA,NA
"268",NA,NA
"269",NA,NA
"270",NA,NA
"271",NA,NA
"272",NA,NA
"273",NA,NA
"274",NA,NA
"275",NA,NA
"276",NA,NA
"277",NA,NA
"278",NA,NA
"279",NA,NA
"280",NA,NA
"281",NA,NA
"282",NA,NA
"283",NA,NA
"284",NA,NA
"285",NA,NA
"286",NA,NA
"287",NA,NA
"288",NA,NA
"289",NA,NA
"290",NA,NA
"291",NA,NA
"292",NA,NA
"293",NA,NA
"294",NA,NA
"295",NA,NA
"296",NA,NA
"297",NA,NA
"298",NA,NA
"299",NA,NA
"300",NA,NA
"301",NA,NA
"302",NA,NA
"303",NA,NA
"304",NA,NA
"305",NA,NA
"306",NA,NA
"307",NA,NA
"308",NA,NA
"309",NA,NA
"310",NA,NA
"311",NA,NA
"312",NA,NA
"313",NA,NA
"314",NA,NA
"315",NA,NA
"316",NA,NA
"317",NA,NA
"318",NA,NA
"319",NA,NA
"320",NA,NA
"321",NA,NA
"322",NA,NA
"323",NA,NA
"324",NA,NA
"325",NA,NA
"326",NA,NA
"327",NA,NA
"328",NA,NA
"329",NA,NA
"330",NA,NA
"331",NA,NA
"332",NA,NA
"333",NA,NA
"334",NA,NA
"335",NA,NA
"336",NA,NA
"337",NA,NA
"338",NA,NA
"339",NA,NA
"340",NA,NA
"341",NA,NA
"342",NA,NA
"343",NA,NA
"344",NA,NA
"345",NA,NA
"346",NA,NA
"347",NA,NA
"348",NA,NA
"349",NA,NA
"350",NA,NA
"351",NA,NA
"352",NA,NA
"353",NA,NA
"354",NA,NA
"355",NA,NA
"356",NA,NA
"357",NA,NA
"358",NA,NA
"359",NA,NA
"360",NA,NA
"361",NA,NA
"362",NA,NA
"363",NA,NA
"364",NA,NA
"365",NA,NA
"366",NA,NA
"367",NA,NA
"368",NA,NA
"369",NA,NA
"370",NA,NA
"371",NA,NA
"372",NA,NA
"373",NA,NA
"374",NA,NA
"375",NA,NA
"376",NA,NA
"377",NA,NA
"378",NA,NA
"379",NA,NA
"380",NA,NA
"381",NA,NA
"382",NA,NA
"383",NA,NA
"384",NA,NA
"385",NA,NA
"386",NA,NA
"387",NA,NA
"388",NA,NA
"389",NA,NA
"390",NA,NA
"391",NA,NA
"392",NA,NA
"393",NA,NA
"394",NA,NA
"395",NA,NA
"396",NA,NA
"397",NA,NA
"398",NA,NA
"399",NA,NA
"400",NA,NA
"401",NA,NA
"402",NA,NA
"403",NA,NA
"404",NA,NA
"405",NA,NA
"406",NA,NA
"407",NA,NA
"408",NA,NA
"409",NA,NA
"410",NA,NA
"411",NA,NA
"412",NA,NA
"413",NA,NA
"414",NA,NA
"415",NA,NA
"416",NA,NA
"417",NA,NA
"418",NA,NA
"419",NA,NA
"420",NA,NA
"421",NA,NA
"422",NA,NA
"423",NA,NA
"424",NA,NA
"425",NA,NA
"426",NA,NA
"427",NA,NA
"428",NA,NA
"429",NA,NA
"430",NA,NA
"431",NA,NA
"432",NA,NA
"433",NA,NA
"434",NA,NA
"435",NA,NA
"436",NA,NA
"437",NA,NA
"438",NA,NA
"439",NA,NA
"440",NA,NA
"441",NA,NA
"442",NA,NA
"443",NA,NA
"444",NA,NA
"445",NA,NA
"446",NA,NA
"447",NA,NA
"448",NA,NA
"449",NA,NA
"450",NA,NA
"451",NA,NA
"452",NA,NA
"453",NA,NA
"454",NA,NA
"455",NA,NA
"456",NA,NA
"457",NA,NA
"458",NA,NA
"459",NA,NA
"460",NA,NA
"461",NA,NA
"462",NA,NA
"463",NA,NA
"464",NA,NA
"465",NA,NA
"466",NA,NA
"467",NA,NA
"468",NA,NA
"469",NA,NA
"470",NA,NA
"471",NA,NA
"472",NA,NA
"473",NA,NA
"474",NA,NA
"475",NA,NA
"476",NA,NA
"477",NA,NA
"478",NA,NA
"479",NA,NA
"480",NA,NA
"481",NA,NA
"482",NA,NA
"483",NA,NA
"484",NA,NA
"485",NA,NA
"486",NA,NA
"487",NA,NA
"488",NA,NA
"489",NA,NA
"490",NA,NA
"491",NA,NA
"492",NA,NA
"493",NA,NA
"494",NA,NA
"495",NA,NA
"496",NA,NA
"497",NA,NA
"498",NA,NA
"499",NA,NA
"500",NA,NA
"501",NA,NA
"502",NA,NA
"503",NA,NA
"504",NA,NA
"505",NA,NA
"506",NA,NA
"507",NA,NA
"508",NA,NA
"509",NA,NA
"510",NA,NA
"511",NA,NA
"512",NA,NA
"513",NA,NA
"514",NA,NA
"515",NA,NA
"516",NA,NA
"517",NA,NA
"518",NA,NA
"519",NA,NA
"520",NA,NA
"521",NA,NA
"522",NA,NA
"523",NA,NA
"524",NA,NA
"525",NA,NA
"526",NA,NA
"527",NA,NA
"528",NA,NA
"529",NA,NA
"530",NA,NA
"531",NA,NA
"532",NA,NA
"533",NA,NA
"534",NA,NA
"535",NA,NA
"536",NA,NA
"537",NA,NA
"538",NA,NA
"539",NA,NA
"540",NA,NA
"541",NA,NA
"542",NA,NA
"543",NA,NA
"544",NA,NA
"545",NA,NA
"546",NA,NA
"547",NA,NA
"548",NA,NA
"549",NA,NA
"550",NA,NA
"551",NA,NA
"552",NA,NA
"553",NA,NA
"554",NA,NA
"555",NA,NA
