"","valuedatetime","datavalue"
"1",2019-10-02 11:30:00,102
"2",2019-10-02 11:45:00,101.9
"3",2019-10-02 12:00:00,101.8
"4",2019-10-02 12:15:00,101.7
"5",2019-10-02 12:30:00,101.6
"6",2019-10-02 12:45:00,101.5
"7",2019-10-02 13:00:00,101.4
"8",2019-10-02 13:15:00,101.3
"9",2019-10-02 13:30:00,101.2
"10",2019-10-02 13:45:00,101.1
"11",2019-10-02 14:00:00,101
"12",2019-10-02 14:15:00,100.9
"13",2019-10-02 14:30:00,100.8
"14",2019-10-02 14:45:00,100.7
"15",2019-10-02 15:00:00,100.6
"16",2019-10-02 15:15:00,100.5
"17",2019-10-02 15:30:00,100.4
"18",2019-10-02 15:45:00,100.2
"19",2019-10-02 16:00:00,100.1
"20",2019-10-02 16:15:00,100
"21",2019-10-02 16:30:00,99.9
"22",2019-10-02 16:45:00,99.7
"23",2019-10-02 17:00:00,99.6
"24",2019-10-02 17:15:00,99.5
"25",2019-10-02 17:30:00,99.4
"26",2019-10-02 17:45:00,99.3
"27",2019-10-02 18:00:00,99.1
"28",2019-10-02 18:15:00,99
"29",2019-10-02 18:30:00,98.8
"30",2019-10-02 18:45:00,98.7
"31",2019-10-02 19:00:00,98.5
"32",2019-10-02 19:15:00,98.3
"33",2019-10-02 19:30:00,98.1
"34",2019-10-02 19:45:00,97.9
"35",2019-10-02 20:00:00,97.7
"36",2019-10-02 20:15:00,97.5
"37",2019-10-02 20:30:00,97.3
"38",2019-10-02 20:45:00,97.1
"39",2019-10-02 21:00:00,96.8
"40",2019-10-02 21:15:00,96.6
"41",2019-10-02 21:30:00,96.4
"42",2019-10-02 21:45:00,96.2
"43",2019-10-02 22:00:00,96
"44",2019-10-02 22:15:00,95.8
"45",2019-10-02 22:30:00,95.6
"46",2019-10-02 22:45:00,95.4
"47",2019-10-02 23:00:00,95.2
"48",2019-10-02 23:15:00,95
"49",2019-10-02 23:30:00,94.8
"50",2019-10-02 23:45:00,94.6
"51",2019-10-03 00:00:00,94.4
"52",2019-10-03 00:15:00,94.3
"53",2019-10-03 00:30:00,94.1
"54",2019-10-03 00:45:00,93.9
"55",2019-10-03 01:00:00,93.8
"56",2019-10-03 01:15:00,93.6
"57",2019-10-03 01:30:00,93.4
"58",2019-10-03 01:45:00,93.2
"59",2019-10-03 02:00:00,93.1
"60",2019-10-03 02:15:00,92.9
"61",2019-10-03 02:30:00,92.7
"62",2019-10-03 02:45:00,92.6
"63",2019-10-03 03:00:00,92.4
"64",2019-10-03 03:15:00,92.3
"65",2019-10-03 03:30:00,92.1
"66",2019-10-03 03:45:00,91.9
"67",2019-10-03 04:00:00,91.7
"68",2019-10-03 04:15:00,91.5
"69",2019-10-03 04:30:00,91.3
"70",2019-10-03 04:45:00,91.2
"71",2019-10-03 05:00:00,91
"72",2019-10-03 05:15:00,90.8
"73",2019-10-03 05:30:00,90.6
"74",2019-10-03 05:45:00,90.4
"75",2019-10-03 06:00:00,90.3
"76",2019-10-03 06:15:00,90.2
"77",2019-10-03 06:30:00,90
"78",2019-10-03 06:45:00,89.8
"79",2019-10-03 07:00:00,89.6
"80",2019-10-03 07:15:00,89.5
"81",2019-10-03 07:30:00,89.3
"82",2019-10-03 07:45:00,89.2
"83",2019-10-03 08:00:00,89
"84",2019-10-03 08:15:00,88.9
"85",2019-10-03 08:30:00,88.7
"86",2019-10-03 08:45:00,88.6
"87",2019-10-03 09:00:00,88.4
"88",2019-10-03 09:15:00,88.3
"89",2019-10-03 09:30:00,88.1
"90",2019-10-03 09:45:00,87.9
"91",2019-10-03 10:00:00,87.8
"92",2019-10-03 10:15:00,87.7
"93",2019-10-03 10:30:00,87.5
"94",2019-10-03 10:45:00,87.4
"95",2019-10-03 11:00:00,87.3
"96",2019-10-03 11:15:00,87.1
"97",2019-10-03 11:30:00,87
"98",2019-10-03 11:45:00,86.9
"99",2019-10-03 12:00:00,86.8
"100",2019-10-03 12:15:00,86.7
"101",2019-10-03 12:30:00,86.6
"102",2019-10-03 12:45:00,86.6
"103",2019-10-03 13:00:00,86.5
"104",2019-10-03 13:15:00,86.5
"105",2019-10-03 13:30:00,86.5
"106",2019-10-03 13:45:00,86.4
"107",2019-10-03 14:00:00,86.3
"108",2019-10-03 14:15:00,86.2
