"","valuedatetime","datavalue"
"4738",2020-06-19 13:00:00,28.5
"4739",2020-06-19 13:15:00,28.5
"4740",2020-06-19 13:30:00,28.5
"4741",2020-06-19 13:45:00,28.5
"4742",2020-06-19 14:00:00,28.4
"4743",2020-06-19 14:15:00,28.5
"4744",2020-06-19 14:30:00,28.4
"4745",2020-06-19 14:45:00,28.4
"4746",2020-06-19 15:00:00,28.4
"4747",2020-06-19 15:15:00,28.3
"4748",2020-06-19 15:30:00,28.2
"4749",2020-06-19 15:45:00,28.2
"4750",2020-06-19 16:00:00,28.2
"4751",2020-06-19 16:15:00,28.2
"4752",2020-06-19 16:30:00,28.1
"4753",2020-06-19 16:45:00,28.1
"4754",2020-06-19 17:00:00,28.1
"4755",2020-06-19 17:15:00,28
"4756",2020-06-19 17:30:00,28
"4757",2020-06-19 17:45:00,27.9
"4758",2020-06-19 18:00:00,27.9
"4759",2020-06-19 18:15:00,27.9
"4760",2020-06-19 18:30:00,27.8
"4761",2020-06-19 18:45:00,27.8
"4762",2020-06-19 19:00:00,27.8
"4763",2020-06-19 19:15:00,27.7
"4764",2020-06-19 19:30:00,27.7
"4765",2020-06-19 19:45:00,27.7
"4766",2020-06-19 20:00:00,27.6
"4767",2020-06-19 20:15:00,27.6
"4768",2020-06-19 20:30:00,27.6
"4769",2020-06-19 20:45:00,27.6
"4770",2020-06-19 21:00:00,27.5
"4771",2020-06-19 21:15:00,27.5
"4772",2020-06-19 21:30:00,27.5
"4773",2020-06-19 21:45:00,27.4
"4774",2020-06-19 22:00:00,27.4
"4775",2020-06-19 22:15:00,27.4
"4776",2020-06-19 22:30:00,27.3
"4777",2020-06-19 22:45:00,26.8
"4778",2020-06-19 23:00:00,26.7
"4779",2020-06-19 23:15:00,26.6
"4780",2020-06-19 23:30:00,26.4
"4781",2020-06-19 23:45:00,26.2
"4782",2020-06-20 00:00:00,25.9
"4783",2020-06-20 00:15:00,25.8
"4784",2020-06-20 00:30:00,25.5
"4785",2020-06-20 00:45:00,25.4
"4786",2020-06-20 01:00:00,25.1
"4787",2020-06-20 01:15:00,24.9
"4788",2020-06-20 01:30:00,24.8
"4789",2020-06-20 01:45:00,24.6
"4790",2020-06-20 02:00:00,24.6
"4791",2020-06-20 02:15:00,24.5
"4792",2020-06-20 02:30:00,24.4
"4793",2020-06-20 02:45:00,24.3
"4794",2020-06-20 03:00:00,24.3
"4795",2020-06-20 03:15:00,24.2
"4796",2020-06-20 03:30:00,24
"4797",2020-06-20 03:45:00,23.8
"4798",2020-06-20 04:00:00,23.8
"4799",2020-06-20 04:15:00,23.6
"4800",2020-06-20 04:30:00,23.6
"4801",2020-06-20 04:45:00,23.5
"4802",2020-06-20 05:00:00,23.5
"4803",2020-06-20 05:15:00,23.4
"4804",2020-06-20 05:30:00,23.4
"4805",2020-06-20 05:45:00,23.4
"4806",2020-06-20 06:00:00,23.4
"4807",2020-06-20 06:15:00,23.4
"4808",2020-06-20 06:30:00,23.4
"4809",2020-06-20 06:45:00,23.4
"4810",2020-06-20 07:00:00,23.5
"4811",2020-06-20 07:15:00,23.4
"4812",2020-06-20 07:30:00,23.5
"4813",2020-06-20 07:45:00,23.5
"4814",2020-06-20 08:00:00,23.5
"4815",2020-06-20 08:15:00,23.5
"4816",2020-06-20 08:30:00,23.6
"4817",2020-06-20 08:45:00,23.5
"4818",2020-06-20 09:00:00,23.6
"4819",2020-06-20 09:15:00,23.5
"4820",2020-06-20 09:30:00,23.6
"4821",2020-06-20 09:45:00,23.6
"4822",2020-06-20 10:00:00,23.6
"4823",2020-06-20 10:15:00,23.6
"4824",2020-06-20 10:30:00,23.6
"4825",2020-06-20 10:45:00,23.7
"4826",2020-06-20 11:00:00,23.8
"4827",2020-06-20 11:15:00,23.8
"4828",2020-06-20 11:30:00,23.8
"4829",2020-06-20 11:45:00,23.9
"4830",2020-06-20 12:00:00,24
"4831",2020-06-20 12:15:00,24
"4832",2020-06-20 12:30:00,23.9
"4833",2020-06-20 12:45:00,23.9
"4834",2020-06-20 13:00:00,24
"4835",2020-06-20 13:15:00,24.1
"4836",2020-06-20 13:30:00,24.1
"4837",2020-06-20 13:45:00,24.1
"4838",2020-06-20 14:00:00,24.1
"4839",2020-06-20 14:15:00,24.2
"4840",2020-06-20 14:30:00,24.3
