"","valuedatetime","datavalue"
"4842",2020-06-20 15:00:00,157.954666666667
"4843",2020-06-20 15:15:00,157.830666666667
"4844",2020-06-20 15:30:00,157.904
"4845",2020-06-20 15:45:00,157.688
"4846",2020-06-20 16:00:00,157.483333333333
"4847",2020-06-20 16:15:00,157.298
"4848",2020-06-20 16:30:00,157.046
"4849",2020-06-20 16:45:00,156.755333333333
"4850",2020-06-20 17:00:00,156.424
"4851",2020-06-20 17:15:00,155.544666666667
"4852",2020-06-20 17:30:00,155.551333333333
"4853",2020-06-20 17:45:00,155.234
"4854",2020-06-20 18:00:00,137.804
"4855",2020-06-20 18:15:00,154.550666666667
"4856",2020-06-20 18:30:00,153.794
"4857",2020-06-20 18:45:00,153.862666666667
"4858",2020-06-20 19:00:00,153.432
"4859",2020-06-20 19:15:00,152.819333333333
"4860",2020-06-20 19:30:00,152.574666666667
"4861",2020-06-20 19:45:00,151.912
"4862",2020-06-20 20:00:00,151.478
"4863",2020-06-20 20:15:00,151.052666666667
"4864",2020-06-20 20:30:00,150.494666666667
"4865",2020-06-20 20:45:00,149.78
"4866",2020-06-20 21:00:00,149.251333333333
"4867",2020-06-20 21:15:00,148.644666666667
"4868",2020-06-20 21:30:00,148.214
"4869",2020-06-20 21:45:00,147.526
"4870",2020-06-20 22:00:00,146.871333333333
"4871",2020-06-20 22:15:00,145.97
"4872",2020-06-20 22:30:00,144.922
"4873",2020-06-20 22:45:00,144.228
"4874",2020-06-20 23:00:00,144.088666666667
"4875",2020-06-20 23:15:00,143.626666666667
"4876",2020-06-20 23:30:00,142.416
"4877",2020-06-20 23:45:00,142.862
"4878",2020-06-21 00:00:00,142.700666666667
"4879",2020-06-21 00:15:00,142.560666666667
"4880",2020-06-21 00:30:00,143.008666666667
"4881",2020-06-21 00:45:00,144.302666666667
"4882",2020-06-21 01:00:00,144.919333333333
"4883",2020-06-21 01:15:00,145.675333333333
"4884",2020-06-21 01:30:00,147.614666666667
"4885",2020-06-21 01:45:00,149.280666666667
"4886",2020-06-21 02:00:00,150.643333333333
"4887",2020-06-21 02:15:00,153.21
"4888",2020-06-21 02:30:00,154.976666666667
"4889",2020-06-21 02:45:00,157.919333333333
"4890",2020-06-21 03:00:00,159.601333333333
"4891",2020-06-21 03:15:00,162.864666666667
"4892",2020-06-21 03:30:00,164.744
"4893",2020-06-21 03:45:00,155.387333333333
"4894",2020-06-21 04:00:00,155.192666666667
"4895",2020-06-21 04:15:00,151.867333333333
"4896",2020-06-21 04:30:00,149.92
"4897",2020-06-21 04:45:00,154.573333333333
"4898",2020-06-21 05:00:00,153.221333333333
"4899",2020-06-21 05:15:00,149.644666666667
"4900",2020-06-21 05:30:00,152.505333333333
"4901",2020-06-21 05:45:00,155.130666666667
"4902",2020-06-21 06:00:00,156.55
"4903",2020-06-21 06:15:00,158.85
"4904",2020-06-21 06:30:00,161.262666666667
"4905",2020-06-21 06:45:00,163.276
"4906",2020-06-21 07:00:00,165.170666666667
"4907",2020-06-21 07:15:00,166.834666666667
"4908",2020-06-21 07:30:00,167.888666666667
"4909",2020-06-21 07:45:00,168.802666666667
"4910",2020-06-21 08:00:00,169.477333333333
"4911",2020-06-21 08:15:00,170.078
"4912",2020-06-21 08:30:00,170.852666666667
"4913",2020-06-21 08:45:00,169.548
"4914",2020-06-21 09:00:00,166.390666666667
"4915",2020-06-21 09:15:00,154.318181818182
"4916",2020-06-21 09:30:00,NA
"4917",2020-06-21 09:45:00,NA
"4918",2020-06-21 10:00:00,NA
"4919",2020-06-21 10:15:00,NA
"4920",2020-06-21 10:30:00,NA
"4921",2020-06-21 10:45:00,NA
"4922",2020-06-21 11:00:00,NA
"4923",2020-06-21 11:15:00,NA
"4924",2020-06-21 11:30:00,NA
"4925",2020-06-21 11:45:00,NA
"4926",2020-06-21 12:00:00,NA
"4927",2020-06-21 12:15:00,NA
"4928",2020-06-21 12:30:00,NA
"4929",2020-06-21 12:45:00,NA
"4930",2020-06-21 13:00:00,NA
"4931",2020-06-21 13:15:00,NA
"4932",2020-06-21 13:30:00,NA
"4933",2020-06-21 13:45:00,NA
"4934",2020-06-21 14:00:00,NA
"4935",2020-06-21 14:15:00,NA
"4936",2020-06-21 14:30:00,NA
"4937",2020-06-21 14:45:00,NA
"4938",2020-06-21 15:00:00,NA
"4939",2020-06-21 15:15:00,NA
"4940",2020-06-21 15:30:00,NA
"4941",2020-06-21 15:45:00,NA
"4942",2020-06-21 16:00:00,NA
"4943",2020-06-21 16:15:00,NA
"4944",2020-06-21 16:30:00,NA
"4945",2020-06-21 16:45:00,NA
"4946",2020-06-21 17:00:00,NA
"4947",2020-06-21 17:15:00,NA
"4948",2020-06-21 17:30:00,NA
"4949",2020-06-21 17:45:00,NA
"4950",2020-06-21 18:00:00,NA
"4951",2020-06-21 18:15:00,NA
"4952",2020-06-21 18:30:00,NA
"4953",2020-06-21 18:45:00,NA
"4954",2020-06-21 19:00:00,NA
"4955",2020-06-21 19:15:00,NA
"4956",2020-06-21 19:30:00,NA
"4957",2020-06-21 19:45:00,NA
"4958",2020-06-21 20:00:00,NA
"4959",2020-06-21 20:15:00,NA
"4960",2020-06-21 20:30:00,NA
"4961",2020-06-21 20:45:00,NA
"4962",2020-06-21 21:00:00,NA
"4963",2020-06-21 21:15:00,NA
"4964",2020-06-21 21:30:00,NA
"4965",2020-06-21 21:45:00,NA
"4966",2020-06-21 22:00:00,NA
"4967",2020-06-21 22:15:00,NA
"4968",2020-06-21 22:30:00,NA
"4969",2020-06-21 22:45:00,NA
"4970",2020-06-21 23:00:00,NA
"4971",2020-06-21 23:15:00,NA
"4972",2020-06-21 23:30:00,NA
"4973",2020-06-21 23:45:00,NA
"4974",2020-06-22 00:00:00,NA
"4975",2020-06-22 00:15:00,NA
"4976",2020-06-22 00:30:00,NA
"4977",2020-06-22 00:45:00,NA
"4978",2020-06-22 01:00:00,NA
"4979",2020-06-22 01:15:00,NA
"4980",2020-06-22 01:30:00,NA
"4981",2020-06-22 01:45:00,NA
"4982",2020-06-22 02:00:00,NA
"4983",2020-06-22 02:15:00,NA
"4984",2020-06-22 02:30:00,NA
"4985",2020-06-22 02:45:00,NA
"4986",2020-06-22 03:00:00,NA
