"","valuedatetime","datavalue"
"1126",2020-06-15 17:15:00,99.7
"1127",2020-06-15 17:30:00,99.6
"1128",2020-06-15 17:45:00,99.5272727272727
"1129",2020-06-15 18:00:00,99.4727272727273
"1130",2020-06-15 18:15:00,99.3909090909091
"1131",2020-06-15 18:30:00,99.3818181818182
"1132",2020-06-15 18:45:00,99.3636363636364
"1133",2020-06-15 19:00:00,99.2909090909091
"1134",2020-06-15 19:15:00,99.2727272727273
"1135",2020-06-15 19:30:00,99.2545454545455
"1136",2020-06-15 19:45:00,99.2
"1137",2020-06-15 20:00:00,99.2090909090909
"1138",2020-06-15 20:15:00,99.1818181818182
"1139",2020-06-15 20:30:00,99.1818181818182
"1140",2020-06-15 20:45:00,99.1818181818182
"1141",2020-06-15 21:00:00,99.1818181818182
"1142",2020-06-15 21:15:00,99.1818181818182
"1143",2020-06-15 21:30:00,99.1727272727273
"1144",2020-06-15 21:45:00,99.1545454545455
"1145",2020-06-15 22:00:00,99.1363636363636
"1146",2020-06-15 22:15:00,99.1545454545455
"1147",2020-06-15 22:30:00,99.0909090909091
"1148",2020-06-15 22:45:00,99.1181818181818
"1149",2020-06-15 23:00:00,99.1
"1150",2020-06-15 23:15:00,99.1
"1151",2020-06-15 23:30:00,99.1
"1152",2020-06-15 23:45:00,99.1
"1153",2020-06-16 00:00:00,99.1272727272727
"1154",2020-06-16 00:15:00,99.1181818181818
"1155",2020-06-16 00:30:00,99.1727272727273
"1156",2020-06-16 00:45:00,99.1818181818182
"1157",2020-06-16 01:00:00,99.2545454545455
"1158",2020-06-16 01:15:00,99.2545454545455
"1159",2020-06-16 01:30:00,99.2727272727273
"1160",2020-06-16 01:45:00,99.2727272727273
"1161",2020-06-16 02:00:00,99.2727272727273
"1162",2020-06-16 02:15:00,99.2818181818182
"1163",2020-06-16 02:30:00,99.3
"1164",2020-06-16 02:45:00,99.3636363636364
"1165",2020-06-16 03:00:00,99.3636363636364
"1166",2020-06-16 03:15:00,99.3636363636364
"1167",2020-06-16 03:30:00,99.3818181818182
"1168",2020-06-16 03:45:00,99.4
"1169",2020-06-16 04:00:00,99.4636363636364
"1170",2020-06-16 04:15:00,99.4818181818182
"1171",2020-06-16 04:30:00,99.4818181818182
"1172",2020-06-16 04:45:00,99.5545454545454
"1173",2020-06-16 05:00:00,99.5545454545454
"1174",2020-06-16 05:15:00,99.5727272727273
"1175",2020-06-16 05:30:00,99.5636363636364
"1176",2020-06-16 05:45:00,99.5727272727273
"1177",2020-06-16 06:00:00,99.5727272727273
"1178",2020-06-16 06:15:00,99.5636363636364
"1179",2020-06-16 06:30:00,99.5727272727273
"1180",2020-06-16 06:45:00,99.5636363636364
"1181",2020-06-16 07:00:00,99.5727272727273
"1182",2020-06-16 07:15:00,99.5636363636364
"1183",2020-06-16 07:30:00,99.5363636363636
"1184",2020-06-16 07:45:00,99.5727272727273
"1185",2020-06-16 08:00:00,99.5636363636364
"1186",2020-06-16 08:15:00,99.5727272727273
"1187",2020-06-16 08:30:00,99.5454545454545
"1188",2020-06-16 08:45:00,99.5545454545454
"1189",2020-06-16 09:00:00,99.5181818181818
"1190",2020-06-16 09:15:00,NA
"1191",2020-06-16 09:30:00,NA
"1192",2020-06-16 09:45:00,NA
"1193",2020-06-16 10:00:00,NA
"1194",2020-06-16 10:15:00,NA
"1195",2020-06-16 10:30:00,NA
"1196",2020-06-16 10:45:00,NA
"1197",2020-06-16 11:00:00,NA
"1198",2020-06-16 11:15:00,NA
"1199",2020-06-16 11:30:00,NA
"1200",2020-06-16 11:45:00,NA
"1201",2020-06-16 12:00:00,NA
"1202",2020-06-16 12:15:00,NA
"1203",2020-06-16 12:30:00,NA
"1204",2020-06-16 12:45:00,NA
"1205",2020-06-16 13:00:00,NA
"1206",2020-06-16 13:15:00,NA
"1207",2020-06-16 13:30:00,NA
"1208",2020-06-16 13:45:00,NA
"1209",2020-06-16 14:00:00,NA
"1210",2020-06-16 14:15:00,NA
"1211",2020-06-16 14:30:00,NA
"1212",2020-06-16 14:45:00,NA
"1213",2020-06-16 15:00:00,NA
"1214",2020-06-16 15:15:00,NA
"1215",2020-06-16 15:30:00,NA
"1216",2020-06-16 15:45:00,NA
"1217",2020-06-16 16:00:00,NA
"1218",2020-06-16 16:15:00,NA
"1219",2020-06-16 16:30:00,NA
"1220",2020-06-16 16:45:00,NA
"1221",2020-06-16 17:00:00,NA
"1222",2020-06-16 17:15:00,NA
"1223",2020-06-16 17:30:00,NA
"1224",2020-06-16 17:45:00,111.990909090909
"1225",2020-06-16 18:00:00,111.9
"1226",2020-06-16 18:15:00,111.872727272727
"1227",2020-06-16 18:30:00,111.845454545455
"1228",2020-06-16 18:45:00,111.781818181818
"1229",2020-06-16 19:00:00,111.763636363636
"1230",2020-06-16 19:15:00,111.681818181818
"1231",2020-06-16 19:30:00,111.6
"1232",2020-06-16 19:45:00,111.581818181818
"1233",2020-06-16 20:00:00,111.5
"1234",2020-06-16 20:15:00,111.472727272727
"1235",2020-06-16 20:30:00,111.390909090909
"1236",2020-06-16 20:45:00,111.363636363636
"1237",2020-06-16 21:00:00,111.281818181818
"1238",2020-06-16 21:15:00,111.181818181818
"1239",2020-06-16 21:30:00,111.1
"1240",2020-06-16 21:45:00,111.063636363636
"1241",2020-06-16 22:00:00,110.990909090909
"1242",2020-06-16 22:15:00,110.963636363636
"1243",2020-06-16 22:30:00,110.918181818182
"1244",2020-06-16 22:45:00,110.963636363636
