"","valuedatetime","datavalue"
"12252",2021-07-23 20:35:00,NA
"12253",2021-07-23 20:40:00,NA
"12254",2021-07-23 20:45:00,133.5
"12255",2021-07-23 20:50:00,NA
"12256",2021-07-23 20:55:00,NA
"12257",2021-07-23 21:00:00,133.6
"12258",2021-07-23 21:05:00,NA
"12259",2021-07-23 21:10:00,NA
"12260",2021-07-23 21:15:00,133.7
"12261",2021-07-23 21:20:00,NA
"12262",2021-07-23 21:25:00,NA
"12263",2021-07-23 21:30:00,133.7
"12264",2021-07-23 21:35:00,NA
"12265",2021-07-23 21:40:00,NA
"12266",2021-07-23 21:45:00,133.7
"12267",2021-07-23 21:50:00,NA
"12268",2021-07-23 21:55:00,NA
"12269",2021-07-23 22:00:00,133.6
"12270",2021-07-23 22:05:00,NA
"12271",2021-07-23 22:10:00,NA
"12272",2021-07-23 22:15:00,133.6
"12273",2021-07-23 22:20:00,NA
"12274",2021-07-23 22:25:00,NA
"12275",2021-07-23 22:30:00,133.8
"12276",2021-07-23 22:35:00,NA
"12277",2021-07-23 22:40:00,NA
"12278",2021-07-23 22:45:00,133.9
"12279",2021-07-23 22:50:00,NA
"12280",2021-07-23 22:55:00,NA
"12281",2021-07-23 23:00:00,134
"12282",2021-07-23 23:05:00,NA
"12283",2021-07-23 23:10:00,NA
"12284",2021-07-23 23:15:00,134
"12285",2021-07-23 23:20:00,NA
"12286",2021-07-23 23:25:00,NA
"12287",2021-07-23 23:30:00,134
"12288",2021-07-23 23:35:00,NA
"12289",2021-07-23 23:40:00,NA
"12290",2021-07-23 23:45:00,134.1
"12291",2021-07-23 23:50:00,NA
"12292",2021-07-23 23:55:00,NA
"12293",2021-07-24 00:00:00,134.2
"12294",2021-07-24 00:05:00,NA
"12295",2021-07-24 00:10:00,NA
"12296",2021-07-24 00:15:00,134.3
"12297",2021-07-24 00:20:00,NA
"12298",2021-07-24 00:25:00,NA
"12299",2021-07-24 00:30:00,134.4
"12300",2021-07-24 00:35:00,NA
"12301",2021-07-24 00:40:00,NA
"12302",2021-07-24 00:45:00,134.5
"12303",2021-07-24 00:50:00,NA
"12304",2021-07-24 00:55:00,NA
"12305",2021-07-24 01:00:00,134.6
"12306",2021-07-24 01:05:00,NA
"12307",2021-07-24 01:10:00,NA
"12308",2021-07-24 01:15:00,134.7
"12309",2021-07-24 01:20:00,NA
"12310",2021-07-24 01:25:00,NA
"12311",2021-07-24 01:30:00,134.8
"12312",2021-07-24 01:35:00,NA
"12313",2021-07-24 01:40:00,NA
"12314",2021-07-24 01:45:00,134.9
"12315",2021-07-24 01:50:00,NA
"12316",2021-07-24 01:55:00,NA
"12317",2021-07-24 02:00:00,134.9
"12318",2021-07-24 02:05:00,NA
"12319",2021-07-24 02:10:00,NA
"12320",2021-07-24 02:15:00,135
"12321",2021-07-24 02:20:00,NA
"12322",2021-07-24 02:25:00,NA
"12323",2021-07-24 02:30:00,135
"12324",2021-07-24 02:35:00,NA
"12325",2021-07-24 02:40:00,NA
"12326",2021-07-24 02:45:00,135.1
"12327",2021-07-24 02:50:00,NA
"12328",2021-07-24 02:55:00,NA
"12329",2021-07-24 03:00:00,135.2
"12330",2021-07-24 03:05:00,NA
"12331",2021-07-24 03:10:00,NA
"12332",2021-07-24 03:15:00,135.1
"12333",2021-07-24 03:20:00,NA
"12334",2021-07-24 03:25:00,NA
"12335",2021-07-24 03:30:00,135.1
"12336",2021-07-24 03:35:00,NA
"12337",2021-07-24 03:40:00,NA
"12338",2021-07-24 03:45:00,135.1
"12339",2021-07-24 03:50:00,NA
"12340",2021-07-24 03:55:00,NA
"12341",2021-07-24 04:00:00,135.2
"12342",2021-07-24 04:05:00,NA
"12343",2021-07-24 04:10:00,NA
"12344",2021-07-24 04:15:00,135.2
"12345",2021-07-24 04:20:00,NA
"12346",2021-07-24 04:25:00,NA
"12347",2021-07-24 04:30:00,134.9
"12348",2021-07-24 04:35:00,NA
"12349",2021-07-24 04:40:00,NA
"12350",2021-07-24 04:45:00,134.7
"12351",2021-07-24 04:50:00,NA
"12352",2021-07-24 04:55:00,NA
"12353",2021-07-24 05:00:00,134.7
"12354",2021-07-24 05:05:00,NA
"12355",2021-07-24 05:10:00,NA
"12356",2021-07-24 05:15:00,134.5
"12357",2021-07-24 05:20:00,NA
"12358",2021-07-24 05:25:00,NA
"12359",2021-07-24 05:30:00,134
"12360",2021-07-24 05:35:00,NA
"12361",2021-07-24 05:40:00,NA
"12362",2021-07-24 05:45:00,133.7
"12363",2021-07-24 05:50:00,NA
"12364",2021-07-24 05:55:00,NA
"12365",2021-07-24 06:00:00,133.6
"12366",2021-07-24 06:05:00,NA
"12367",2021-07-24 06:10:00,NA
"12368",2021-07-24 06:15:00,133.3
"12369",2021-07-24 06:20:00,NA
"12370",2021-07-24 06:25:00,NA
"12371",2021-07-24 06:30:00,133.1
"12372",2021-07-24 06:35:00,NA
"12373",2021-07-24 06:40:00,NA
"12374",2021-07-24 06:45:00,133.1
"12375",2021-07-24 06:50:00,NA
"12376",2021-07-24 06:55:00,NA
"12377",2021-07-24 07:00:00,133.1
"12378",2021-07-24 07:05:00,NA
"12379",2021-07-24 07:10:00,NA
