"","valuedatetime","datavalue"
"18590",2021-08-14 20:35:00,NA
"18591",2021-08-14 20:40:00,NA
"18592",2021-08-14 20:45:00,NA
"18593",2021-08-14 20:50:00,NA
"18594",2021-08-14 20:55:00,NA
"18595",2021-08-14 21:00:00,NA
"18596",2021-08-14 21:05:00,NA
"18597",2021-08-14 21:10:00,NA
"18598",2021-08-14 21:15:00,NA
"18599",2021-08-14 21:20:00,NA
"18600",2021-08-14 21:25:00,NA
"18601",2021-08-14 21:30:00,NA
"18602",2021-08-14 21:35:00,NA
"18603",2021-08-14 21:40:00,NA
"18604",2021-08-14 21:45:00,NA
"18605",2021-08-14 21:50:00,NA
"18606",2021-08-14 21:55:00,NA
"18607",2021-08-14 22:00:00,NA
"18608",2021-08-14 22:05:00,NA
"18609",2021-08-14 22:10:00,NA
"18610",2021-08-14 22:15:00,NA
"18611",2021-08-14 22:20:00,NA
"18612",2021-08-14 22:25:00,NA
"18613",2021-08-14 22:30:00,NA
"18614",2021-08-14 22:35:00,NA
"18615",2021-08-14 22:40:00,NA
"18616",2021-08-14 22:45:00,NA
"18617",2021-08-14 22:50:00,NA
"18618",2021-08-14 22:55:00,NA
"18619",2021-08-14 23:00:00,NA
"18620",2021-08-14 23:05:00,NA
"18621",2021-08-14 23:10:00,NA
"18622",2021-08-14 23:15:00,NA
"18623",2021-08-14 23:20:00,NA
"18624",2021-08-14 23:25:00,NA
"18625",2021-08-14 23:30:00,NA
"18626",2021-08-14 23:35:00,NA
"18627",2021-08-14 23:40:00,NA
"18628",2021-08-14 23:45:00,NA
"18629",2021-08-14 23:50:00,NA
"18630",2021-08-14 23:55:00,NA
"18631",2021-08-15 00:00:00,NA
"18632",2021-08-15 00:05:00,NA
"18633",2021-08-15 00:10:00,NA
"18634",2021-08-15 00:15:00,NA
"18635",2021-08-15 00:20:00,NA
"18636",2021-08-15 00:25:00,NA
"18637",2021-08-15 00:30:00,NA
"18638",2021-08-15 00:35:00,NA
"18639",2021-08-15 00:40:00,NA
"18640",2021-08-15 00:45:00,NA
"18641",2021-08-15 00:50:00,NA
"18642",2021-08-15 00:55:00,NA
"18643",2021-08-15 01:00:00,NA
"18644",2021-08-15 01:05:00,NA
"18645",2021-08-15 01:10:00,NA
"18646",2021-08-15 01:15:00,NA
"18647",2021-08-15 01:20:00,NA
"18648",2021-08-15 01:25:00,NA
"18649",2021-08-15 01:30:00,NA
"18650",2021-08-15 01:35:00,NA
"18651",2021-08-15 01:40:00,NA
"18652",2021-08-15 01:45:00,NA
"18653",2021-08-15 01:50:00,NA
"18654",2021-08-15 01:55:00,NA
"18655",2021-08-15 02:00:00,NA
"18656",2021-08-15 02:05:00,NA
"18657",2021-08-15 02:10:00,NA
"18658",2021-08-15 02:15:00,NA
"18659",2021-08-15 02:20:00,NA
"18660",2021-08-15 02:25:00,NA
"18661",2021-08-15 02:30:00,NA
"18662",2021-08-15 02:35:00,NA
"18663",2021-08-15 02:40:00,NA
"18664",2021-08-15 02:45:00,NA
"18665",2021-08-15 02:50:00,NA
"18666",2021-08-15 02:55:00,NA
"18667",2021-08-15 03:00:00,NA
"18668",2021-08-15 03:05:00,NA
"18669",2021-08-15 03:10:00,NA
"18670",2021-08-15 03:15:00,NA
"18671",2021-08-15 03:20:00,NA
"18672",2021-08-15 03:25:00,NA
"18673",2021-08-15 03:30:00,NA
"18674",2021-08-15 03:35:00,NA
"18675",2021-08-15 03:40:00,NA
"18676",2021-08-15 03:45:00,NA
"18677",2021-08-15 03:50:00,NA
"18678",2021-08-15 03:55:00,NA
"18679",2021-08-15 04:00:00,NA
"18680",2021-08-15 04:05:00,NA
"18681",2021-08-15 04:10:00,NA
"18682",2021-08-15 04:15:00,NA
"18683",2021-08-15 04:20:00,NA
"18684",2021-08-15 04:25:00,NA
"18685",2021-08-15 04:30:00,NA
"18686",2021-08-15 04:35:00,NA
"18687",2021-08-15 04:40:00,NA
"18688",2021-08-15 04:45:00,NA
"18689",2021-08-15 04:50:00,NA
"18690",2021-08-15 04:55:00,NA
"18691",2021-08-15 05:00:00,NA
"18692",2021-08-15 05:05:00,NA
"18693",2021-08-15 05:10:00,NA
"18694",2021-08-15 05:15:00,NA
"18695",2021-08-15 05:20:00,NA
"18696",2021-08-15 05:25:00,NA
"18697",2021-08-15 05:30:00,NA
"18698",2021-08-15 05:35:00,NA
"18699",2021-08-15 05:40:00,NA
"18700",2021-08-15 05:45:00,NA
"18701",2021-08-15 05:50:00,NA
"18702",2021-08-15 05:55:00,NA
"18703",2021-08-15 06:00:00,NA
"18704",2021-08-15 06:05:00,NA
"18705",2021-08-15 06:10:00,NA
"18706",2021-08-15 06:15:00,NA
"18707",2021-08-15 06:20:00,NA
"18708",2021-08-15 06:25:00,NA
"18709",2021-08-15 06:30:00,NA
"18710",2021-08-15 06:35:00,NA
"18711",2021-08-15 06:40:00,NA
"18712",2021-08-15 06:45:00,NA
"18713",2021-08-15 06:50:00,NA
"18714",2021-08-15 06:55:00,NA
"18715",2021-08-15 07:00:00,NA
"18716",2021-08-15 07:05:00,NA
"18717",2021-08-15 07:10:00,NA
"18718",2021-08-15 07:15:00,NA
"18719",2021-08-15 07:20:00,NA
"18720",2021-08-15 07:25:00,NA
"18721",2021-08-15 07:30:00,NA
"18722",2021-08-15 07:35:00,NA
"18723",2021-08-15 07:40:00,NA
"18724",2021-08-15 07:45:00,NA
"18725",2021-08-15 07:50:00,NA
"18726",2021-08-15 07:55:00,NA
"18727",2021-08-15 08:00:00,NA
"18728",2021-08-15 08:05:00,NA
"18729",2021-08-15 08:10:00,NA
"18730",2021-08-15 08:15:00,NA
"18731",2021-08-15 08:20:00,NA
"18732",2021-08-15 08:25:00,NA
"18733",2021-08-15 08:30:00,NA
"18734",2021-08-15 08:35:00,NA
"18735",2021-08-15 08:40:00,NA
