"","valuedatetime","datavalue"
"10608",2022-08-19 02:45:00,2.67363636363636
"10609",2022-08-19 03:00:00,2.93909090909091
"10610",2022-08-19 03:15:00,3.14272727272727
"10611",2022-08-19 03:30:00,2.66454545454545
"10612",2022-08-19 03:45:00,2.69272727272727
"10613",2022-08-19 04:00:00,2.85636363636364
"10614",2022-08-19 04:15:00,2.54636363636364
"10615",2022-08-19 04:30:00,2.62727272727273
"10616",2022-08-19 04:45:00,3.02909090909091
"10617",2022-08-19 05:00:00,2.71090909090909
"10618",2022-08-19 05:15:00,2.63636363636364
"10619",2022-08-19 05:30:00,2.86545454545455
"10620",2022-08-19 05:45:00,3.02090909090909
"10621",2022-08-19 06:00:00,2.67090909090909
"10622",2022-08-19 06:15:00,2.84636363636364
"10623",2022-08-19 06:30:00,2.81727272727273
"10624",2022-08-19 06:45:00,3.00636363636364
"10625",2022-08-19 07:00:00,2.79636363636364
"10626",2022-08-19 07:15:00,2.84181818181818
"10627",2022-08-19 07:30:00,2.86454545454545
"10628",2022-08-19 07:45:00,2.52454545454545
"10629",2022-08-19 08:00:00,2.71818181818182
"10630",2022-08-19 08:15:00,2.86090909090909
"10631",2022-08-19 08:30:00,2.79181818181818
"10632",2022-08-19 08:45:00,2.81454545454545
"10633",2022-08-19 09:00:00,2.80545454545455
"10634",2022-08-19 09:15:00,2.85454545454545
"10635",2022-08-19 09:30:00,3.24818181818182
"10636",2022-08-19 09:45:00,2.51363636363636
"10637",2022-08-19 10:00:00,2.78181818181818
"10638",2022-08-19 10:15:00,2.56636363636364
"10639",2022-08-19 10:30:00,2.30818181818182
"10640",2022-08-19 10:45:00,2.81272727272727
"10641",2022-08-19 11:00:00,2.8
"10642",2022-08-19 11:15:00,2.69
"10643",2022-08-19 11:30:00,2.53181818181818
"10644",2022-08-19 11:45:00,2.34181818181818
"10645",2022-08-19 12:00:00,2.48333333333333
"10646",2022-08-19 12:15:00,NA
"10647",2022-08-19 12:30:00,NA
"10648",2022-08-19 12:45:00,NA
"10649",2022-08-19 13:00:00,NA
"10650",2022-08-19 13:15:00,NA
"10651",2022-08-19 13:30:00,NA
"10652",2022-08-19 13:45:00,NA
"10653",2022-08-19 14:00:00,NA
"10654",2022-08-19 14:15:00,NA
"10655",2022-08-19 14:30:00,2.58
"10656",2022-08-19 14:45:00,2.70636363636364
"10657",2022-08-19 15:00:00,2.59181818181818
"10658",2022-08-19 15:15:00,2.74090909090909
"10659",2022-08-19 15:30:00,2.62636363636364
"10660",2022-08-19 15:45:00,2.71636363636364
"10661",2022-08-19 16:00:00,2.56727272727273
"10662",2022-08-19 16:15:00,3.27727272727273
"10663",2022-08-19 16:30:00,2.69454545454545
"10664",2022-08-19 16:45:00,2.76363636363636
"10665",2022-08-19 17:00:00,2.66636363636364
"10666",2022-08-19 17:15:00,2.76363636363636
"10667",2022-08-19 17:30:00,2.87272727272727
"10668",2022-08-19 17:45:00,2.6
"10669",2022-08-19 18:00:00,2.78636363636364
"10670",2022-08-19 18:15:00,2.87545454545455
"10671",2022-08-19 18:30:00,2.79909090909091
"10672",2022-08-19 18:45:00,2.92181818181818
"10673",2022-08-19 19:00:00,2.88636363636364
"10674",2022-08-19 19:15:00,3.26454545454545
"10675",2022-08-19 19:30:00,3.13636363636364
"10676",2022-08-19 19:45:00,3.07909090909091
"10677",2022-08-19 20:00:00,3.15
"10678",2022-08-19 20:15:00,3.04
"10679",2022-08-19 20:30:00,3.14090909090909
"10680",2022-08-19 20:45:00,3.10727272727273
"10681",2022-08-19 21:00:00,3.14272727272727
"10682",2022-08-19 21:15:00,3.14454545454545
"10683",2022-08-19 21:30:00,3.37272727272727
"10684",2022-08-19 21:45:00,3.41818181818182
"10685",2022-08-19 22:00:00,3.38090909090909
"10686",2022-08-19 22:15:00,3.48363636363636
"10687",2022-08-19 22:30:00,3.58181818181818
"10688",2022-08-19 22:45:00,3.51181818181818
"10689",2022-08-19 23:00:00,3.59454545454545
"10690",2022-08-19 23:15:00,3.81909090909091
"10691",2022-08-19 23:30:00,3.81545454545455
"10692",2022-08-19 23:45:00,4.74545454545455
"10693",2022-08-20 00:00:00,3.77
"10694",2022-08-20 00:15:00,4.08909090909091
"10695",2022-08-20 00:30:00,4.12181818181818
"10696",2022-08-20 00:45:00,3.81181818181818
"10697",2022-08-20 01:00:00,3.60272727272727
"10698",2022-08-20 01:15:00,3.95
"10699",2022-08-20 01:30:00,3.55
"10700",2022-08-20 01:45:00,3.60727272727273
"10701",2022-08-20 02:00:00,3.87
"10702",2022-08-20 02:15:00,3.41181818181818
"10703",2022-08-20 02:30:00,3.88090909090909
"10704",2022-08-20 02:45:00,3.83454545454545
"10705",2022-08-20 03:00:00,3.43090909090909
"10706",2022-08-20 03:15:00,3.38272727272727
"10707",2022-08-20 03:30:00,3.59181818181818
"10708",2022-08-20 03:45:00,3.10272727272727
"10709",2022-08-20 04:00:00,3.31545454545455
"10710",2022-08-20 04:15:00,3.36090909090909
