"response_var","site.ID","pf","burn","Pf_Prob_1m_mean_x","pctburn_lg","SLOPE_MEAN","NDVI_p50__mean","Hyst_index_mn","Hyst_index_md","Hyst_index_SD","Hyst_index_CV","Flush_index_mn","Flush_index_md","Flush_index_SD","Flush_index_CV","Beta_index_mn","Beta_index_md","Beta_index_SD","Beta_index_CV"
"NO3","CARI","medium","unburned",29.3,0,11.29107044,0.226663862,0.164583383768028,0.18090909090909,0.445523748326039,270.697890714157,0.5667,0.5667,NA,NA,-0.451412889124569,-0.131065891523828,1.09850990606947,-243.349255755595
"NO3","FRCH","medium","unburned",32.9,7.34,12.34739776,0.212593913,0.260025976589337,0.239271597967258,0.352725702826565,135.650179052545,-0.137955263157895,-0.1144,0.220891883419785,-160.118489402587,-0.132941524251596,-0.160632746463011,0.414730660451298,-311.964724931547
"NO3","MOOS","high","burned",38.4,65.7,10.21119216,0.223090712,0.24738842715541,0.25998336106488,0.364260114317128,147.242180446985,-0.0734857142857143,-0.0524,0.179097747852156,-243.717775070974,-0.278825764976848,-0.263723628690169,0.364300593957863,-130.655283591928
"NO3","POKE","low","burned",25.3,32.97,11.54780238,0.231690279,0.22214382554035,0.262078250987171,0.346836461673252,156.131488610857,-0.0854125,-0.04995,0.406451662790033,-475.869062245026,-0.112739967001677,-0.308586497212211,0.965590936808262,-856.476157025926
"NO3","STRT","medium","burned",30.8,67.35,13.65744347,0.226596282,0.342291217673997,0.509738168059922,0.38196909432265,111.59184770158,-0.2109875,-0.3092,0.439305316664845,-208.21390682616,-0.1665077263141,-0.296463189515256,0.491856591420865,-295.39565659135
"NO3","VAUL","high","unburned",58.4,0,9.408608243,0.215417079,0.194251765821684,0.282845528455287,0.352474974008431,181.452648585954,-0.117668181818182,-0.02095,0.21378348723787,-181.683343733655,-0.337694696557665,-0.279360169879168,0.519265513308004,-153.767743053476
"SPC","CARI","medium","unburned",29.3,0,11.29107044,0.226663862,0.485546539156529,0.516482493232572,0.304966537022094,62.8089199341981,0.031,0.031,0.00862670273047588,27.8280733241157,-0.444109632854375,-0.321846226134964,1.19847493277213,-269.860152563976
"SPC","FRCH","medium","unburned",32.9,7.34,12.34739776,0.212593913,0.506980696849342,0.592105263157976,0.304883341570446,60.1370709901105,-0.398772727272727,-0.4107,0.345340468118717,-86.6008241036335,-0.237967829000765,-0.28045355316501,0.626781895313205,-263.389340460466
"SPC","MOOS","high","burned",38.4,65.7,10.21119216,0.223090712,0.507705383983414,0.646588932598699,0.386210220282993,76.0697507780634,-0.217321428571429,-0.12925,0.417498473840732,-192.111047946434,-0.18494213658509,-0.159324812040984,0.596821122908123,-322.70694711777
"SPC","POKE","low","burned",25.3,32.97,11.54780238,0.231690279,0.575702363435761,0.616279069767449,0.251873225830999,43.7505978484843,-0.393033333333333,-0.4033,0.375588101985328,-95.5613863078606,-0.365765756279954,-0.284771240234336,0.293111792974671,-80.136477497452
"SPC","STRT","medium","burned",30.8,67.35,13.65744347,0.226596282,0.464796069950084,0.57703553756187,0.305504960816375,65.7288175541553,-0.535188888888889,-0.7948,0.580839509771082,-108.529814768197,-0.363176820735961,-0.338064407281453,0.449341621665182,-123.725302940483
"SPC","VAUL","high","unburned",58.4,0,9.408608243,0.215417079,0.575913665289091,0.703047385743635,0.371445740833152,64.4967749891293,-0.419433333333333,-0.5279,0.466630158375862,-111.252521268981,-0.390353627197566,-0.269396286953717,0.990084410770732,-253.637814993232
"abs","FRCH","medium","unburned",32.9,7.34,12.34739776,0.212593913,-0.345536096635359,-0.40922213969951,0.224837516983271,-65.069183559291,NA,NA,NA,NA,0.959737357169341,0.950506074405491,0.570456240319718,59.4387866699518
"abs","MOOS","high","burned",38.4,65.7,10.21119216,0.223090712,-0.397477026002994,-0.471252924486037,0.269306838002587,-67.7540638538837,NA,NA,NA,NA,1.02045335126807,1.02245978019794,0.590064747359891,57.8237845587595
"abs","POKE","low","burned",25.3,32.97,11.54780238,0.231690279,-0.134632799044516,-0.172565056009798,0.258186970240315,-191.771226679277,NA,NA,NA,NA,0.948876408197825,0.88686530537422,0.631970271952636,66.6019585367203
"abs","STRT","medium","burned",30.8,67.35,13.65744347,0.226596282,-0.300418899207439,-0.311732303406359,0.261165755704064,-86.9338634796506,NA,NA,NA,NA,1.29352667438451,1.30430934676744,0.81095097985304,62.693023337838
"abs","VAUL","high","unburned",58.4,0,9.408608243,0.215417079,-0.21602736586707,-0.19711625657457,0.22156518003478,-102.563478078568,NA,NA,NA,NA,1.1861268011115,1.12218565622723,0.804607388024466,67.8348543570957
